#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0415745            -1.38117
                6.01            0.041294            -1.38411
                6.02           0.0410154            -1.38705
                6.03           0.0407386            -1.38999
                6.04           0.0404638            -1.39293
                6.05           0.0401907            -1.39587
                6.06           0.0399196            -1.39881
                6.07           0.0396502            -1.40175
                6.08           0.0393827            -1.40469
                6.09            0.039117            -1.40763
                 6.1           0.0388531            -1.41057
                6.11           0.0385909            -1.41351
                6.12           0.0383306            -1.41645
                6.13           0.0380719            -1.41939
                6.14           0.0378151            -1.42233
                6.15           0.0375599            -1.42528
                6.16           0.0373065            -1.42822
                6.17           0.0370548            -1.43116
                6.18           0.0368048             -1.4341
                6.19           0.0365565            -1.43704
                 6.2           0.0363099            -1.43998
                6.21           0.0360649            -1.44292
                6.22           0.0358216            -1.44586
                6.23           0.0355799             -1.4488
                6.24           0.0353398            -1.45174
                6.25           0.0351014            -1.45468
                6.26           0.0348646            -1.45762
                6.27           0.0346294            -1.46056
                6.28           0.0343957             -1.4635
                6.29           0.0341637            -1.46644
                 6.3           0.0339332            -1.46938
                6.31           0.0337042            -1.47232
                6.32           0.0334768            -1.47526
                6.33            0.033251             -1.4782
                6.34           0.0330266            -1.48114
                6.35           0.0328038            -1.48408
                6.36           0.0325825            -1.48702
                6.37           0.0323626            -1.48996
                6.38           0.0321443             -1.4929
                6.39           0.0319274            -1.49584
                 6.4            0.031712            -1.49878
                6.41           0.0314981            -1.50172
                6.42           0.0312855            -1.50466
                6.43           0.0310745             -1.5076
                6.44           0.0308648            -1.51054
                6.45           0.0306566            -1.51348
                6.46           0.0304497            -1.51642
                6.47           0.0302443            -1.51936
                6.48           0.0300402             -1.5223
                6.49           0.0298375            -1.52524
                 6.5           0.0296362            -1.52818
                6.51           0.0294362            -1.53112
                6.52           0.0292376            -1.53406
                6.53           0.0290404              -1.537
                6.54           0.0288444            -1.53994
                6.55           0.0286498            -1.54288
                6.56           0.0284565            -1.54582
                6.57           0.0282645            -1.54876
                6.58           0.0280738             -1.5517
                6.59           0.0278843            -1.55464
                 6.6           0.0276962            -1.55758
                6.61           0.0275093            -1.56052
                6.62           0.0273237            -1.56346
                6.63           0.0271393             -1.5664
                6.64           0.0269562            -1.56934
                6.65           0.0267743            -1.57228
                6.66           0.0265936            -1.57522
                6.67           0.0264141            -1.57816
                6.68           0.0262359             -1.5811
                6.69           0.0260588            -1.58404
                 6.7            0.025883            -1.58699
                6.71           0.0257083            -1.58993
                6.72           0.0255348            -1.59287
                6.73           0.0253625            -1.59581
                6.74           0.0251913            -1.59875
                6.75           0.0250213            -1.60169
                6.76           0.0248525            -1.60463
                6.77           0.0246847            -1.60757
                6.78           0.0245181            -1.61051
                6.79           0.0243527            -1.61345
                 6.8           0.0241883            -1.61639
                6.81            0.024025            -1.61934
                6.82           0.0238629            -1.62228
                6.83           0.0237018            -1.62522
                6.84           0.0235418            -1.62816
                6.85           0.0233829             -1.6311
                6.86           0.0232251            -1.63404
                6.87           0.0230683            -1.63698
                6.88           0.0229126            -1.63993
                6.89           0.0227579            -1.64287
                 6.9           0.0226043            -1.64581
                6.91           0.0224517            -1.64875
                6.92           0.0223001            -1.65169
                6.93           0.0221495            -1.65464
                6.94               0.022            -1.65758
                6.95           0.0218515            -1.66052
                6.96           0.0217039            -1.66346
                6.97           0.0215574             -1.6664
                6.98           0.0214118            -1.66935
                6.99           0.0212672            -1.67229
                   7           0.0211236            -1.67523
                7.01            0.020981            -1.67817
                7.02           0.0208393            -1.68112
                7.03           0.0206985            -1.68406
                7.04           0.0205588              -1.687
                7.05           0.0204199            -1.68995
                7.06            0.020282            -1.69289
                7.07            0.020145            -1.69583
                7.08           0.0200089            -1.69878
                7.09           0.0198738            -1.70172
                 7.1           0.0197395            -1.70466
                7.11           0.0196061            -1.70761
                7.12           0.0194737            -1.71055
                7.13           0.0193421             -1.7135
                7.14           0.0192114            -1.71644
                7.15           0.0190816            -1.71938
                7.16           0.0189527            -1.72233
                7.17           0.0188246            -1.72527
                7.18           0.0186974            -1.72822
                7.19            0.018571            -1.73116
                 7.2           0.0184455            -1.73411
                7.21           0.0183208            -1.73705
                7.22            0.018197               -1.74
                7.23            0.018074            -1.74295
                7.24           0.0179518            -1.74589
                7.25           0.0178304            -1.74884
                7.26           0.0177099            -1.75178
                7.27           0.0175901            -1.75473
                7.28           0.0174712            -1.75768
                7.29            0.017353            -1.76062
                 7.3           0.0172357            -1.76357
                7.31           0.0171191            -1.76652
                7.32           0.0170033            -1.76947
                7.33           0.0168883            -1.77241
                7.34            0.016774            -1.77536
                7.35           0.0166605            -1.77831
                7.36           0.0165478            -1.78126
                7.37           0.0164358            -1.78421
                7.38           0.0163246            -1.78716
                7.39           0.0162141            -1.79011
                 7.4           0.0161043            -1.79306
                7.41           0.0159953            -1.79601
                7.42            0.015887            -1.79896
                7.43           0.0157795            -1.80191
                7.44           0.0156726            -1.80486
                7.45           0.0155665            -1.80781
                7.46            0.015461            -1.81076
                7.47           0.0153563            -1.81371
                7.48           0.0152523            -1.81667
                7.49           0.0151489            -1.81962
                 7.5           0.0150463            -1.82257
                7.51           0.0149443            -1.82552
                7.52            0.014843            -1.82848
                7.53           0.0147424            -1.83143
                7.54           0.0146425            -1.83439
                7.55           0.0145432            -1.83734
                7.56           0.0144445             -1.8403
                7.57           0.0143466            -1.84325
                7.58           0.0142493            -1.84621
                7.59           0.0141526            -1.84916
                 7.6           0.0140566            -1.85212
                7.61           0.0139612            -1.85508
                7.62           0.0138664            -1.85804
                7.63           0.0137723            -1.86099
                7.64           0.0136787            -1.86395
                7.65           0.0135859            -1.86691
                7.66           0.0134936            -1.86987
                7.67           0.0134019            -1.87283
                7.68           0.0133108            -1.87579
                7.69           0.0132204            -1.87876
                 7.7           0.0131305            -1.88172
                7.71           0.0130412            -1.88468
                7.72           0.0129526            -1.88764
