#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0731334            -1.13588
                6.01           0.0722974            -1.14088
                6.02           0.0714709            -1.14587
                6.03           0.0706539            -1.15086
                6.04           0.0698462            -1.15586
                6.05           0.0690477            -1.16085
                6.06           0.0682584            -1.16584
                6.07           0.0674781            -1.17084
                6.08           0.0667067            -1.17583
                6.09           0.0659442            -1.18082
                 6.1           0.0651903            -1.18582
                6.11           0.0644451            -1.19081
                6.12           0.0637085             -1.1958
                6.13           0.0629802             -1.2008
                6.14           0.0622603            -1.20579
                6.15           0.0615486            -1.21078
                6.16            0.060845            -1.21577
                6.17           0.0601495            -1.22077
                6.18            0.059462            -1.22576
                6.19           0.0587823            -1.23075
                 6.2           0.0581104            -1.23575
                6.21           0.0574462            -1.24074
                6.22           0.0567895            -1.24573
                6.23           0.0561404            -1.25072
                6.24           0.0554987            -1.25572
                6.25           0.0548643            -1.26071
                6.26           0.0542372             -1.2657
                6.27           0.0536173            -1.27069
                6.28           0.0530045            -1.27569
                6.29           0.0523986            -1.28068
                 6.3           0.0517997            -1.28567
                6.31           0.0512077            -1.29066
                6.32           0.0506224            -1.29566
                6.33           0.0500438            -1.30065
                6.34           0.0494718            -1.30564
                6.35           0.0489064            -1.31063
                6.36           0.0483474            -1.31563
                6.37           0.0477949            -1.32062
                6.38           0.0472486            -1.32561
                6.39           0.0467086             -1.3306
                 6.4           0.0461748             -1.3356
                6.41            0.045647            -1.34059
                6.42           0.0451253            -1.34558
                6.43           0.0446096            -1.35057
                6.44           0.0440998            -1.35556
                6.45           0.0435958            -1.36056
                6.46           0.0430975            -1.36555
                6.47            0.042605            -1.37054
                6.48           0.0421181            -1.37553
                6.49           0.0416368            -1.38052
                 6.5           0.0411609            -1.38551
                6.51           0.0406905            -1.39051
                6.52           0.0402255             -1.3955
                6.53           0.0397658            -1.40049
                6.54           0.0393114            -1.40548
                6.55           0.0388621            -1.41047
                6.56            0.038418            -1.41547
                6.57            0.037979            -1.42046
                6.58           0.0375449            -1.42545
                6.59           0.0371159            -1.43044
                 6.6           0.0366917            -1.43543
                6.61           0.0362724            -1.44042
                6.62           0.0358579            -1.44541
                6.63           0.0354482            -1.45041
                6.64           0.0350431             -1.4554
                6.65           0.0346426            -1.46039
                6.66           0.0342468            -1.46538
                6.67           0.0338554            -1.47037
                6.68           0.0334685            -1.47536
                6.69           0.0330861            -1.48035
                 6.7            0.032708            -1.48535
                6.71           0.0323343            -1.49034
                6.72           0.0319648            -1.49533
                6.73           0.0315995            -1.50032
                6.74           0.0312384            -1.50531
                6.75           0.0308815             -1.5103
                6.76           0.0305286            -1.51529
                6.77           0.0301797            -1.52028
                6.78           0.0298349            -1.52528
                6.79            0.029494            -1.53027
                 6.8            0.029157            -1.53526
                6.81           0.0288238            -1.54025
                6.82           0.0284944            -1.54524
                6.83           0.0281688            -1.55023
                6.84            0.027847            -1.55522
                6.85           0.0275288            -1.56021
                6.86           0.0272142             -1.5652
                6.87           0.0269032             -1.5702
                6.88           0.0265958            -1.57519
                6.89           0.0262919            -1.58018
                 6.9           0.0259915            -1.58517
                6.91           0.0256945            -1.59016
                6.92           0.0254009            -1.59515
                6.93           0.0251107            -1.60014
                6.94           0.0248238            -1.60513
                6.95           0.0245401            -1.61012
                6.96           0.0242597            -1.61511
                6.97           0.0239825            -1.62011
                6.98           0.0237085             -1.6251
                6.99           0.0234376            -1.63009
                   7           0.0231698            -1.63508
                7.01            0.022905            -1.64007
                7.02           0.0226433            -1.64506
                7.03           0.0223846            -1.65005
                7.04           0.0221288            -1.65504
                7.05           0.0218759            -1.66003
                7.06            0.021626            -1.66502
                7.07           0.0213789            -1.67002
                7.08           0.0211346            -1.67501
                7.09           0.0208931               -1.68
                 7.1           0.0206543            -1.68499
                7.11           0.0204183            -1.68998
                7.12            0.020185            -1.69497
                7.13           0.0199543            -1.69996
                7.14           0.0197263            -1.70495
                7.15           0.0195009            -1.70995
                7.16           0.0192781            -1.71494
                7.17           0.0190578            -1.71993
                7.18             0.01884            -1.72492
                7.19           0.0186247            -1.72991
                 7.2           0.0184119             -1.7349
                7.21           0.0182015            -1.73989
                7.22           0.0179935            -1.74489
                7.23           0.0177878            -1.74988
                7.24           0.0175846            -1.75487
                7.25           0.0173836            -1.75986
                7.26           0.0171849            -1.76485
                7.27           0.0169885            -1.76984
                7.28           0.0167944            -1.77484
                7.29           0.0166024            -1.77983
                 7.3           0.0164127            -1.78482
                7.31           0.0162251            -1.78981
                7.32           0.0160397             -1.7948
                7.33           0.0158564             -1.7998
                7.34           0.0156751            -1.80479
                7.35            0.015496            -1.80978
                7.36           0.0153188            -1.81477
                7.37           0.0151438            -1.81977
                7.38           0.0149707            -1.82476
                7.39           0.0147995            -1.82975
                 7.4           0.0146304            -1.83475
                7.41           0.0144631            -1.83974
                7.42           0.0142978            -1.84473
                7.43           0.0141343            -1.84972
                7.44           0.0139728            -1.85472
                7.45            0.013813            -1.85971
                7.46           0.0136551            -1.86471
                7.47            0.013499             -1.8697
                7.48           0.0133446            -1.87469
                7.49           0.0131921            -1.87969
                 7.5           0.0130412            -1.88468
                7.51           0.0128921            -1.88968
