#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         392.641         194.962         1.40977        0.496541        0.509802               0           1e-30               0           1e-30
            8.3         293.401         230.896         2.02837        0.786965        0.807981               0           1e-30               0           1e-30
            8.5         219.086         273.256         2.91842         1.24726         1.28056               0           1e-30               0           1e-30
            8.7         163.408         323.019         4.19902         1.97677         2.02956               0           1e-30               0           1e-30
            8.9         121.659         381.155         6.04154         3.13296         3.21663               0           1e-30               0           1e-30
            9.1         90.3184         448.468         8.69256         4.96541         5.09802               0           1e-30               0           1e-30
            9.3         66.7479         525.282         12.5068         7.86965         8.07981               0           1e-30               0           1e-30
            9.5         48.9757         610.853         17.9948         12.4726         12.8056               0           1e-30               0           1e-30
            9.7         35.5296         702.338         25.8909         19.7677         20.2956               0           1e-30               0           1e-30
            9.9         25.3161         793.146         37.2518         31.3296         32.1663               0           1e-30               0           1e-30
           10.1         17.5341         870.639         53.5979         49.6541         50.9802               0           1e-30               0           1e-30
           10.3          11.613         913.906         77.1165         78.6965         80.7981               1         698.494               1         698.494
           10.5         7.16943         894.211         110.955         124.726         128.056               0           1e-30               0           1e-30
           10.7         3.96496          783.78         159.642         197.677         202.956               0           1e-30               0           1e-30
           10.9         1.84742         578.791         229.693         313.296         321.663               1         920.514               0           1e-30
           11.1        0.659974         327.704         330.482         496.541         509.802               1          570.53               0           1e-30
           11.3        0.156279         122.986         475.497         786.965         807.981               2         3051.22               1         1812.36
           11.5       0.0194957          24.221         684.144         1242.37         1280.56               3         2156.03               0           1e-30
           11.7      0.00088308         1.65656         984.345         1875.89         2029.56               2         1617.76               0           1e-30
           11.9     7.93556e-06       0.0212688         1416.27         2680.19         3216.63               0           1e-30               0           1e-30
           12.1     5.40879e-09     1.95984e-05         2037.73         3623.44         5098.02               0           1e-30               0           1e-30
           12.3     6.14678e-14     2.84922e-10         2931.89          4635.3         8079.81               0           1e-30               0           1e-30
           12.5     1.06151e-21     5.95607e-18          4218.4         5610.93         12805.6               0           1e-30               0           1e-30
           12.7     6.25946e-34      4.0228e-30         6069.42         6426.75         20295.6               0           1e-30               0           1e-30
           12.9      3.0758e-53     2.14243e-49         8732.68         6965.43         32166.3               0           1e-30               0           1e-30
           13.1     9.11214e-84     6.50916e-80         12564.6         7143.39         50980.2               0           1e-30               0           1e-30
