#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         167.793         107.294         1.41662         0.63944        0.738765               0           1e-30               0           1e-30
            8.3         126.256         127.954         2.03823         1.01344         1.17086               0           1e-30               0           1e-30
            8.5          94.913         152.449          2.9326          1.6062         1.85569               0           1e-30               0           1e-30
            8.7         71.2359         181.342         4.21942         2.54566         2.94108               0           1e-30               0           1e-30
            8.9         53.3218         215.132          6.0709          4.0346          4.6613               0           1e-30               0           1e-30
            9.1         39.7385         254.104          8.7348          6.3944         7.38765               0           1e-30               0           1e-30
            9.3         29.4086          298.04         12.5676         10.1344         11.7086               0           1e-30               0           1e-30
            9.5         21.5243         345.723         18.0823          16.062         18.5569               0           1e-30               0           1e-30
            9.7         15.4845         394.182         26.0168         25.4566         29.4108               0           1e-30               0           1e-30
            9.9         10.8494          437.73         37.4329          40.346          46.613               0           1e-30               0           1e-30
           10.1         7.30708         467.244         53.8584          63.944         73.8765               0           1e-30               0           1e-30
           10.3         4.64541         470.787         77.4913         101.344         117.086               0           1e-30               0           1e-30
           10.5         2.72263         437.309         111.494          160.62         185.569               1         1315.11               1         1315.11
           10.7         1.43028           364.1         160.418         254.566         294.108               0           1e-30               0           1e-30
           10.9        0.654286         263.978         230.809          403.46          466.13               0           1e-30               0           1e-30
           11.1        0.255195         163.182         332.088          639.44         738.765               0           1e-30               0           1e-30
           11.3       0.0849183           86.06         477.808         1013.44         1170.86               0           1e-30               0           1e-30
           11.5       0.0247145         39.6965         687.469          1606.2         1855.69               1         921.254               0           1e-30
           11.7      0.00632504         16.0069         989.129         2530.72         2941.08               1         702.773               0           1e-30
           11.9      0.00133311         5.07035         1423.16         3803.39          4661.3               0           1e-30               0           1e-30
           12.1     0.000202032         1.09274         2047.64         5408.74         7387.65               0           1e-30               0           1e-30
           12.3     1.77284e-05         0.12903         2946.14         7278.16         11708.6               0           1e-30               0           1e-30
           12.5     6.35455e-07      0.00588887          4238.9         9267.17         18556.9               0           1e-30               0           1e-30
           12.7     5.34913e-09     5.97249e-05         6098.92         11165.4         29410.8               0           1e-30               0           1e-30
           12.9      4.4377e-12      5.6488e-08         8775.12         12729.1           46613               0           1e-30               0           1e-30
           13.1     9.21891e-17     1.26591e-12         12625.6         13731.7         73876.5               0           1e-30               0           1e-30
