#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0684511            -1.16462
                6.01           0.0677634              -1.169
                6.02           0.0670828            -1.17339
                6.03           0.0664092            -1.17777
                6.04           0.0657426            -1.18215
                6.05           0.0650828            -1.18653
                6.06           0.0644298            -1.19091
                6.07           0.0637835            -1.19529
                6.08           0.0631439            -1.19967
                6.09           0.0625108            -1.20404
                 6.1           0.0618843            -1.20842
                6.11           0.0612642            -1.21279
                6.12           0.0606505            -1.21717
                6.13            0.060043            -1.22154
                6.14           0.0594418            -1.22591
                6.15           0.0588468            -1.23028
                6.16           0.0582579            -1.23465
                6.17            0.057675            -1.23901
                6.18           0.0570981            -1.24338
                6.19           0.0565272            -1.24774
                 6.2           0.0559621            -1.25211
                6.21           0.0554027            -1.25647
                6.22           0.0548491            -1.26083
                6.23           0.0543012            -1.26519
                6.24           0.0537589            -1.26955
                6.25           0.0532222            -1.27391
                6.26           0.0526909            -1.27826
                6.27           0.0521651            -1.28262
                6.28           0.0516446            -1.28697
                6.29           0.0511295            -1.29133
                 6.3           0.0506197            -1.29568
                6.31           0.0501151            -1.30003
                6.32           0.0496156            -1.30438
                6.33           0.0491212            -1.30873
                6.34           0.0486319            -1.31308
                6.35           0.0481476            -1.31743
                6.36           0.0476682            -1.32177
                6.37           0.0471938            -1.32612
                6.38           0.0467241            -1.33046
                6.39           0.0462593             -1.3348
                 6.4           0.0457992            -1.33914
                6.41           0.0453438            -1.34348
                6.42            0.044893            -1.34782
                6.43           0.0444469            -1.35216
                6.44           0.0440053             -1.3565
                6.45           0.0435681            -1.36083
                6.46           0.0431355            -1.36517
                6.47           0.0427072             -1.3695
                6.48           0.0422833            -1.37383
                6.49           0.0418638            -1.37816
                 6.5           0.0414485            -1.38249
                6.51           0.0410374            -1.38682
                6.52           0.0406305            -1.39115
                6.53           0.0402277            -1.39547
                6.54            0.039829             -1.3998
                6.55           0.0394344            -1.40412
                6.56           0.0390438            -1.40845
                6.57           0.0386572            -1.41277
                6.58           0.0382745            -1.41709
                6.59           0.0378957            -1.42141
                 6.6           0.0375207            -1.42573
                6.61           0.0371495            -1.43005
                6.62           0.0367821            -1.43436
                6.63           0.0364184            -1.43868
                6.64           0.0360584            -1.44299
                6.65           0.0357021            -1.44731
                6.66           0.0353494            -1.45162
                6.67           0.0350002            -1.45593
                6.68           0.0346546            -1.46024
                6.69           0.0343125            -1.46455
                 6.7           0.0339738            -1.46886
                6.71           0.0336386            -1.47316
                6.72           0.0333068            -1.47747
                6.73           0.0329783            -1.48177
                6.74           0.0326531            -1.48608
                6.75           0.0323313            -1.49038
                6.76           0.0320127            -1.49468
                6.77           0.0316973            -1.49898
                6.78           0.0313851            -1.50328
                6.79            0.031076            -1.50757
                 6.8           0.0307701            -1.51187
                6.81           0.0304673            -1.51617
                6.82           0.0301675            -1.52046
                6.83           0.0298707            -1.52475
                6.84            0.029577            -1.52905
                6.85           0.0292862            -1.53334
                6.86           0.0289983            -1.53763
                6.87           0.0287133            -1.54192
                6.88           0.0284312             -1.5462
                6.89            0.028152            -1.55049
                 6.9           0.0278756            -1.55478
                6.91           0.0276019            -1.55906
                6.92            0.027331            -1.56334
                6.93           0.0270628            -1.56763
                6.94           0.0267974            -1.57191
                6.95           0.0265346            -1.57619
                6.96           0.0262744            -1.58047
                6.97           0.0260169            -1.58475
                6.98           0.0257619            -1.58902
                6.99           0.0255095             -1.5933
                   7           0.0252597            -1.59757
                7.01           0.0250123            -1.60185
                7.02           0.0247674            -1.60612
                7.03            0.024525            -1.61039
                7.04           0.0242851            -1.61466
                7.05           0.0240475            -1.61893
                7.06           0.0238123             -1.6232
                7.07           0.0235795            -1.62747
                7.08            0.023349            -1.63173
                7.09           0.0231208              -1.636
                 7.1           0.0228949            -1.64026
                7.11           0.0226713            -1.64452
                7.12           0.0224499            -1.64878
                7.13           0.0222308            -1.65305
                7.14           0.0220138            -1.65731
                7.15            0.021799            -1.66156
                7.16           0.0215863            -1.66582
                7.17           0.0213758            -1.67008
                7.18           0.0211674            -1.67433
                7.19            0.020961            -1.67859
                 7.2           0.0207567            -1.68284
                7.21           0.0205545            -1.68709
                7.22           0.0203543            -1.69134
                7.23           0.0201561            -1.69559
                7.24           0.0199598            -1.69984
                7.25           0.0197655            -1.70409
                7.26           0.0195732            -1.70834
                7.27           0.0193828            -1.71258
                7.28           0.0191942            -1.71683
                7.29           0.0190076            -1.72107
                 7.3           0.0188228            -1.72532
                7.31           0.0186399            -1.72956
                7.32           0.0184587             -1.7338
                7.33           0.0182794            -1.73804
                7.34           0.0181019            -1.74228
                7.35           0.0179261            -1.74651
                7.36           0.0177521            -1.75075
                7.37           0.0175798            -1.75499
                7.38           0.0174092            -1.75922
                7.39           0.0172404            -1.76345
                 7.4           0.0170732            -1.76769
                7.41           0.0169076            -1.77192
                7.42           0.0167437            -1.77615
                7.43           0.0165815            -1.78038
                7.44           0.0164208            -1.78461
                7.45           0.0162618            -1.78883
                7.46           0.0161043            -1.79306
                7.47           0.0159484            -1.79728
                7.48            0.015794            -1.80151
                7.49           0.0156411            -1.80573
                 7.5           0.0154898            -1.80995
                7.51             0.01534            -1.81418
                7.52           0.0151916             -1.8184
                7.53           0.0150448            -1.82261
                7.54           0.0148993            -1.82683
                7.55           0.0147554            -1.83105
                7.56           0.0146128            -1.83527
                7.57           0.0144716            -1.83948
                7.58           0.0143319             -1.8437
                7.59           0.0141935            -1.84791
                 7.6           0.0140565            -1.85212
                7.61           0.0139209            -1.85633
                7.62           0.0137866            -1.86054
                7.63           0.0136536            -1.86475
                7.64           0.0135219            -1.86896
                7.65           0.0133915            -1.87317
                7.66           0.0132624            -1.87738
                7.67           0.0131346            -1.88158
                7.68           0.0130081            -1.88579
                7.69           0.0128828            -1.88999
                 7.7           0.0127587            -1.89419
                7.71           0.0126359             -1.8984
                7.72           0.0125142             -1.9026
                7.73           0.0123938             -1.9068
                7.74           0.0122745              -1.911
                7.75           0.0121564            -1.91519
                7.76           0.0120395            -1.91939
                7.77           0.0119237            -1.92359
                7.78           0.0118091            -1.92778
                7.79           0.0116956            -1.93198
                 7.8           0.0115832            -1.93617
                7.81           0.0114719            -1.94036
                7.82           0.0113617            -1.94456
                7.83           0.0112526            -1.94875
                7.84           0.0111446            -1.95294
                7.85           0.0110376            -1.95713
                7.86           0.0109316            -1.96131
                7.87           0.0108267             -1.9655
                7.88           0.0107229            -1.96969
                7.89             0.01062            -1.97387
                 7.9           0.0105182            -1.97806
                7.91           0.0104173            -1.98224
