#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0075116            -2.12427
                6.01          0.00748385            -2.12587
                6.02           0.0074562            -2.12748
                6.03          0.00742866            -2.12909
                6.04          0.00740121             -2.1307
                6.05          0.00737387             -2.1323
                6.06          0.00734663            -2.13391
                6.07          0.00731949            -2.13552
                6.08          0.00729245            -2.13713
                6.09          0.00726551            -2.13873
                 6.1          0.00723867            -2.14034
                6.11          0.00721192            -2.14195
                6.12          0.00718528            -2.14356
                6.13          0.00715874            -2.14516
                6.14          0.00713229            -2.14677
                6.15          0.00710594            -2.14838
                6.16          0.00707969            -2.14999
                6.17          0.00705354            -2.15159
                6.18          0.00702748             -2.1532
                6.19          0.00700152            -2.15481
                 6.2          0.00697566            -2.15641
                6.21          0.00694989            -2.15802
                6.22          0.00692421            -2.15963
                6.23          0.00689863            -2.16124
                6.24          0.00687315            -2.16284
                6.25          0.00684776            -2.16445
                6.26          0.00682246            -2.16606
                6.27          0.00679726            -2.16767
                6.28          0.00677215            -2.16927
                6.29          0.00674713            -2.17088
                 6.3          0.00672221            -2.17249
                6.31          0.00669737             -2.1741
                6.32          0.00667263             -2.1757
                6.33          0.00664798            -2.17731
                6.34          0.00662342            -2.17892
                6.35          0.00659896            -2.18052
                6.36          0.00657458            -2.18213
                6.37          0.00655029            -2.18374
                6.38          0.00652609            -2.18535
                6.39          0.00650198            -2.18695
                 6.4          0.00647796            -2.18856
                6.41          0.00645403            -2.19017
                6.42          0.00643019            -2.19178
                6.43          0.00640644            -2.19338
                6.44          0.00638277            -2.19499
                6.45          0.00635919             -2.1966
                6.46           0.0063357            -2.19821
                6.47           0.0063123            -2.19981
                6.48          0.00628898            -2.20142
                6.49          0.00626574            -2.20303
                 6.5           0.0062426            -2.20463
                6.51          0.00621954            -2.20624
                6.52          0.00619656            -2.20785
                6.53          0.00617367            -2.20946
                6.54          0.00615086            -2.21106
                6.55          0.00612814            -2.21267
                6.56           0.0061055            -2.21428
                6.57          0.00608294            -2.21589
                6.58          0.00606047            -2.21749
                6.59          0.00603808             -2.2191
                 6.6          0.00601578            -2.22071
                6.61          0.00599355            -2.22232
                6.62          0.00597141            -2.22392
                6.63          0.00594935            -2.22553
                6.64          0.00592737            -2.22714
                6.65          0.00590547            -2.22875
                6.66          0.00588365            -2.23035
                6.67          0.00586192            -2.23196
                6.68          0.00584026            -2.23357
                6.69          0.00581868            -2.23518
                 6.7          0.00579719            -2.23678
                6.71          0.00577577            -2.23839
                6.72          0.00575443               -2.24
                6.73          0.00573317            -2.24161
                6.74          0.00571199            -2.24321
                6.75          0.00569088            -2.24482
                6.76          0.00566986            -2.24643
                6.77          0.00564891            -2.24804
                6.78          0.00562804            -2.24964
                6.79          0.00560724            -2.25125
                 6.8          0.00558653            -2.25286
                6.81          0.00556589            -2.25447
                6.82          0.00554532            -2.25607
                6.83          0.00552483            -2.25768
                6.84          0.00550442            -2.25929
                6.85          0.00548408             -2.2609
                6.86          0.00546382             -2.2625
                6.87          0.00544363            -2.26411
                6.88          0.00542351            -2.26572
                6.89          0.00540347            -2.26733
                 6.9           0.0053835            -2.26893
                6.91          0.00536361            -2.27054
                6.92          0.00534379            -2.27215
                6.93          0.00532404            -2.27376
                6.94          0.00530437            -2.27537
                6.95          0.00528477            -2.27697
                6.96          0.00526524            -2.27858
                6.97          0.00524578            -2.28019
                6.98          0.00522639             -2.2818
                6.99          0.00520708            -2.28341
                   7          0.00518783            -2.28501
                7.01          0.00516866            -2.28662
                7.02          0.00514956            -2.28823
                7.03          0.00513053            -2.28984
                7.04          0.00511156            -2.29145
                7.05          0.00509267            -2.29305
                7.06          0.00507385            -2.29466
                7.07          0.00505509            -2.29627
                7.08          0.00503641            -2.29788
                7.09          0.00501779            -2.29949
                 7.1          0.00499924             -2.3011
                7.11          0.00498076             -2.3027
                7.12          0.00496235            -2.30431
                7.13          0.00494401            -2.30592
                7.14          0.00492573            -2.30753
                7.15          0.00490752            -2.30914
                7.16          0.00488938            -2.31075
                7.17           0.0048713            -2.31236
                7.18          0.00485329            -2.31396
                7.19          0.00483534            -2.31557
                 7.2          0.00481747            -2.31718
                7.21          0.00479965            -2.31879
                7.22           0.0047819             -2.3204
                7.23          0.00476422            -2.32201
                7.24           0.0047466            -2.32362
                7.25          0.00472905            -2.32523
                7.26          0.00471156            -2.32684
                7.27          0.00469414            -2.32844
                7.28          0.00467678            -2.33005
                7.29          0.00465948            -2.33166
                 7.3          0.00464224            -2.33327
                7.31          0.00462507            -2.33488
                7.32          0.00460796            -2.33649
                7.33          0.00459092             -2.3381
                7.34          0.00457394            -2.33971
                7.35          0.00455701            -2.34132
                7.36          0.00454015            -2.34293
                7.37          0.00452336            -2.34454
                7.38          0.00450662            -2.34615
                7.39          0.00448994            -2.34776
                 7.4          0.00447333            -2.34937
                7.41          0.00445678            -2.35098
                7.42          0.00444028            -2.35259
                7.43          0.00442385             -2.3542
                7.44          0.00440748            -2.35581
                7.45          0.00439116            -2.35742
                7.46          0.00437491            -2.35903
                7.47          0.00435871            -2.36064
                7.48          0.00434258            -2.36225
                7.49           0.0043265            -2.36386
                 7.5          0.00431048            -2.36547
                7.51          0.00429452            -2.36709
                7.52          0.00427862             -2.3687
                7.53          0.00426277            -2.37031
                7.54          0.00424698            -2.37192
                7.55          0.00423125            -2.37353
                7.56          0.00421558            -2.37514
                7.57          0.00419996            -2.37675
                7.58           0.0041844            -2.37837
                7.59           0.0041689            -2.37998
                 7.6          0.00415345            -2.38159
                7.61          0.00413806             -2.3832
                7.62          0.00412273            -2.38482
                7.63          0.00410745            -2.38643
                7.64          0.00409222            -2.38804
                7.65          0.00407705            -2.38965
                7.66          0.00406194            -2.39127
                7.67          0.00404688            -2.39288
                7.68          0.00403187            -2.39449
                7.69          0.00401692            -2.39611
                 7.7          0.00400203            -2.39772
                7.71          0.00398718            -2.39933
                7.72          0.00397239            -2.40095
                7.73          0.00395765            -2.40256
                7.74          0.00394297            -2.40418
                7.75          0.00392834            -2.40579
                7.76          0.00391376            -2.40741
                7.77          0.00389923            -2.40902
                7.78          0.00388476            -2.41064
                7.79          0.00387033            -2.41225
                 7.8          0.00385596            -2.41387
                7.81          0.00384164            -2.41548
                7.82          0.00382737             -2.4171
                7.83          0.00381316            -2.41872
                7.84          0.00379899            -2.42033
                7.85          0.00378487            -2.42195
                7.86          0.00377081            -2.42357
                7.87          0.00375679            -2.42518
                7.88          0.00374283             -2.4268
                7.89          0.00372891            -2.42842
                 7.9          0.00371504            -2.43004
                7.91          0.00370123            -2.43165
                7.92          0.00368746            -2.43327
                7.93          0.00367374            -2.43489
                7.94          0.00366007            -2.43651
                7.95          0.00364644            -2.43813
                7.96          0.00363287            -2.43975
                7.97          0.00361934            -2.44137
                7.98          0.00360586            -2.44299
                7.99          0.00359243            -2.44461
                   8          0.00357904            -2.44623
                8.01          0.00356571            -2.44785
                8.02          0.00355242            -2.44948
                8.03          0.00353917             -2.4511
                8.04          0.00352597            -2.45272
                8.05          0.00351282            -2.45434
                8.06          0.00349971            -2.45597
                8.07          0.00348665            -2.45759
                8.08          0.00347364            -2.45922
                8.09          0.00346067            -2.46084
                 8.1          0.00344774            -2.46246
                8.11          0.00343486            -2.46409
                8.12          0.00342203            -2.46572
                8.13          0.00340924            -2.46734
                8.14          0.00339649            -2.46897
                8.15          0.00338379             -2.4706
                8.16          0.00337113            -2.47222
                8.17          0.00335851            -2.47385
                8.18          0.00334594            -2.47548
                8.19          0.00333341            -2.47711
                 8.2          0.00332092            -2.47874
                8.21          0.00330848            -2.48037
                8.22          0.00329607              -2.482
                8.23          0.00328371            -2.48363
                8.24          0.00327139            -2.48527
                8.25          0.00325912             -2.4869
                8.26          0.00324688            -2.48853
                8.27          0.00323469            -2.49017
                8.28          0.00322253             -2.4918
                8.29          0.00321042            -2.49344
                 8.3          0.00319835            -2.49507
                8.31          0.00318631            -2.49671
                8.32          0.00317432            -2.49835
                8.33          0.00316237            -2.49999
                8.34          0.00315046            -2.50163
                8.35          0.00313858            -2.50327
                8.36          0.00312675            -2.50491
                8.37          0.00311495            -2.50655
                8.38          0.00310319            -2.50819
                8.39          0.00309147            -2.50983
                 8.4          0.00307979            -2.51148
                8.41          0.00306815            -2.51312
                8.42          0.00305655            -2.51477
                8.43          0.00304498            -2.51642
                8.44          0.00303345            -2.51806
                8.45          0.00302195            -2.51971
                8.46          0.00301049            -2.52136
                8.47          0.00299907            -2.52301
                8.48          0.00298769            -2.52466
                8.49          0.00297634            -2.52632
                 8.5          0.00296502            -2.52797
                8.51          0.00295375            -2.52963
                8.52           0.0029425            -2.53128
                8.53          0.00293129            -2.53294
                8.54          0.00292012             -2.5346
                8.55          0.00290898            -2.53626
                8.56          0.00289788            -2.53792
                8.57           0.0028868            -2.53958
                8.58          0.00287577            -2.54125
                8.59          0.00286476            -2.54291
                 8.6          0.00285379            -2.54458
                8.61          0.00284285            -2.54625
                8.62          0.00283194            -2.54792
                8.63          0.00282107            -2.54959
                8.64          0.00281023            -2.55126
                8.65          0.00279942            -2.55293
                8.66          0.00278864            -2.55461
                8.67          0.00277789            -2.55629
                8.68          0.00276717            -2.55796
                8.69          0.00275648            -2.55964
                 8.7          0.00274583            -2.56133
                8.71           0.0027352            -2.56301
                8.72           0.0027246             -2.5647
                8.73          0.00271404            -2.56638
                8.74           0.0027035            -2.56807
                8.75          0.00269299            -2.56977
                8.76          0.00268251            -2.57146
                8.77          0.00267205            -2.57315
                8.78          0.00266163            -2.57485
                8.79          0.00265123            -2.57655
                 8.8          0.00264086            -2.57825
                8.81          0.00263052            -2.57996
                8.82           0.0026202            -2.58167
                8.83          0.00260991            -2.58337
                8.84          0.00259964            -2.58509
                8.85           0.0025894             -2.5868
                8.86          0.00257919            -2.58852
                8.87            0.002569            -2.59024
                8.88          0.00255884            -2.59196
                8.89           0.0025487            -2.59368
                 8.9          0.00253858            -2.59541
                8.91          0.00252849            -2.59714
                8.92          0.00251842            -2.59887
                8.93          0.00250838            -2.60061
                8.94          0.00249835            -2.60235
                8.95          0.00248835            -2.60409
                8.96          0.00247837            -2.60583
                8.97          0.00246842            -2.60758
                8.98          0.00245848            -2.60933
                8.99          0.00244856            -2.61109
                   9          0.00243867            -2.61285
                9.01          0.00242879            -2.61461
                9.02          0.00241894            -2.61638
