#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         729.041         212.035         1.04066        0.290841        0.232645               0           1e-30               0           1e-30
            8.3         569.044         262.302          1.4973        0.460952        0.368718               0           1e-30               0           1e-30
            8.5         443.839          324.25         2.15431        0.730559        0.584379               0           1e-30               0           1e-30
            8.7         345.631         400.191         3.09962         1.15786        0.926178               0           1e-30               0           1e-30
            8.9         268.367         492.475         4.45973         1.83508         1.46789               0           1e-30               0           1e-30
            9.1          207.34          603.03         6.41665         2.90841         2.32645               0           1e-30               0           1e-30
            9.3         158.889         732.403         9.23227         4.60952         3.68718               0           1e-30               0           1e-30
            9.5         120.184         878.018         13.2834         7.30559         5.84379               0           1e-30               0           1e-30
            9.7         89.0858         1031.49         19.1121         11.5786         9.26178               0           1e-30               0           1e-30
            9.9         64.0714         1175.76         27.4985         18.3508         14.6789               1         178.801               1         178.801
           10.1         44.2219         1286.15         39.5648         29.0841         23.2645               0           1e-30               0           1e-30
           10.3         29.1777         1344.95         56.9257         46.0952         36.8718               3         488.588               0           1e-30
           10.5         18.8366         1376.12         81.9047         73.0559         58.4379               3         693.451               0           1e-30
           10.7         12.5097         1448.45         117.844         115.786         92.6178               5          1516.9               0           1e-30
           10.9         8.14698         1495.04         169.554         183.508         146.789               5          1925.4               1         1170.55
           11.1           3.904         1132.38         243.954         290.056         232.645               1         463.548               0           1e-30
           11.3        0.875005         384.582         351.001          439.52         368.718               4         1385.67               0           1e-30
           11.5       0.0519533         32.7407          505.02         630.196         584.379               0           1e-30               0           1e-30
           11.7      0.00048719        0.416553         726.622         855.012         926.178               0           1e-30               0           1e-30
           11.9     3.77937e-06      0.00414848         1045.46         1097.66         1467.89               0           1e-30               0           1e-30
           12.1     1.10554e-08     1.47414e-05         1504.21         1333.42         2326.45               0           1e-30               0           1e-30
           12.3     1.35021e-12     2.06949e-09         2164.26         1532.72         3687.18               0           1e-30               0           1e-30
           12.5     1.04638e-18      1.7444e-15         3113.93         1667.09         5843.79               0           1e-30               0           1e-30
           12.7     2.66749e-28     4.57676e-25         4480.32         1715.75         9261.78               0           1e-30               0           1e-30
           12.9     2.05371e-43     3.43155e-40         6446.27         1670.91         14678.9               0           1e-30               0           1e-30
           13.1     2.82096e-67     4.34356e-64         9274.89         1539.74         23264.5               0           1e-30               0           1e-30
