#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         5027.41         1837.65         1.24812        0.365526        0.325297               0           1e-30               0           1e-30
            8.3         3507.52         2031.98          1.7958         0.57932        0.515561               0           1e-30               0           1e-30
            8.5            2446         2245.82         2.58379         0.91816         0.81711               0           1e-30               0           1e-30
            8.7         1704.48         2480.34         3.71755         1.45519         1.29503               0           1e-30               0           1e-30
            8.9         1186.39         2736.19         5.34881         2.30631         2.05249               0           1e-30               0           1e-30
            9.1         824.263          3012.9         7.69586         3.65526         3.25297               0           1e-30               0           1e-30
            9.3         571.016         3308.01         11.0728          5.7932         5.15561               0           1e-30               0           1e-30
            9.5         393.779         3615.52         15.9315          9.1816          8.1711               0           1e-30               0           1e-30
            9.7         269.619         3923.46         22.9223         14.5519         12.9503               0           1e-30               0           1e-30
            9.9         182.556         4210.32         32.9805         23.0631         20.5249               1         302.389               1         302.389
           10.1         121.484         4440.56         47.4523         36.5526         32.5297               0           1e-30               0           1e-30
           10.3         78.7219         4560.52         68.2743          57.932         51.5561               3         1261.48               3         1261.48
           10.5         49.0019         4499.16          98.233          91.816          81.711               4         1591.28               2             760
           10.7         28.7392         4182.08         141.337         145.519         129.503               4         1984.78               0           1e-30
           10.9         15.4742         3568.83         203.356         230.631         205.249               7         2559.94               0           1e-30
           11.1          7.4126          2709.5         292.589         365.526         325.297               6         2398.95               0           1e-30
           11.3         3.06483         1763.99         420.976          575.56         515.561               7         3747.39               0           1e-30
           11.5         1.07878         931.908           605.7         863.853          817.11               1         689.133               0           1e-30
           11.7        0.328798         403.383          871.48         1226.84         1295.03               0           1e-30               0           1e-30
           11.9       0.0887172         146.267         1253.88         1648.69         2052.49               0           1e-30               0           1e-30
           12.1       0.0204436         42.8593         1804.09         2096.46         3252.97               0           1e-30               0           1e-30
           12.3       0.0035948           9.068         2595.72         2522.53         5155.61               0           1e-30               0           1e-30
           12.5     0.000401607         1.15342         3734.71         2872.01          8171.1               0           1e-30               0           1e-30
           12.7     2.14622e-05       0.0664061          5373.5          3094.1         12950.3               0           1e-30               0           1e-30
           12.9      3.5097e-07      0.00110702         7731.39         3154.16         20524.9               0           1e-30               0           1e-30
           13.1     8.66643e-10     2.63678e-06         11123.9         3042.52         32529.7               0           1e-30               0           1e-30
