#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0971731            -1.01245
                6.01           0.0959271            -1.01806
                6.02           0.0946976            -1.02366
                6.03           0.0934842            -1.02926
                6.04           0.0922868            -1.03486
                6.05           0.0911052            -1.04046
                6.06           0.0899391            -1.04605
                6.07           0.0887884            -1.05164
                6.08           0.0876527            -1.05723
                6.09            0.086532            -1.06282
                 6.1            0.085426            -1.06841
                6.11           0.0843345            -1.07399
                6.12           0.0832574            -1.07958
                6.13           0.0821943            -1.08516
                6.14           0.0811452            -1.09074
                6.15           0.0801099            -1.09631
                6.16            0.079088            -1.10189
                6.17           0.0780796            -1.10746
                6.18           0.0770844            -1.11303
                6.19           0.0761022             -1.1186
                 6.2           0.0751328            -1.12417
                6.21           0.0741761            -1.12974
                6.22           0.0732319             -1.1353
                6.23              0.0723            -1.14086
                6.24           0.0713803            -1.14642
                6.25           0.0704725            -1.15198
                6.26           0.0695766            -1.15754
                6.27           0.0686924            -1.16309
                6.28           0.0678197            -1.16864
                6.29           0.0669584             -1.1742
                 6.3           0.0661083            -1.17974
                6.31           0.0652692            -1.18529
                6.32           0.0644411            -1.19084
                6.33           0.0636237            -1.19638
                6.34           0.0628169            -1.20192
                6.35           0.0620207            -1.20746
                6.36           0.0612347              -1.213
                6.37            0.060459            -1.21854
                6.38           0.0596933            -1.22407
                6.39           0.0589376            -1.22961
                 6.4           0.0581916            -1.23514
                6.41           0.0574554            -1.24067
                6.42           0.0567286             -1.2462
                6.43           0.0560113            -1.25172
                6.44           0.0553032            -1.25725
                6.45           0.0546044            -1.26277
                6.46           0.0539145            -1.26829
                6.47           0.0532336            -1.27381
                6.48           0.0525614            -1.27933
                6.49            0.051898            -1.28485
                 6.5           0.0512431            -1.29036
                6.51           0.0505967            -1.29588
                6.52           0.0499586            -1.30139
                6.53           0.0493287             -1.3069
                6.54            0.048707            -1.31241
                6.55           0.0480933            -1.31792
                6.56           0.0474874            -1.32342
                6.57           0.0468894            -1.32893
                6.58           0.0462991            -1.33443
                6.59           0.0457164            -1.33993
                 6.6           0.0451411            -1.34543
                6.61           0.0445733            -1.35093
                6.62           0.0440128            -1.35642
                6.63           0.0434594            -1.36192
                6.64           0.0429132            -1.36741
                6.65            0.042374             -1.3729
                6.66           0.0418417            -1.37839
                6.67           0.0413162            -1.38388
                6.68           0.0407975            -1.38937
                6.69           0.0402854            -1.39485
                 6.7           0.0397799            -1.40034
                6.71           0.0392808            -1.40582
                6.72           0.0387882             -1.4113
                6.73           0.0383018            -1.41678
                6.74           0.0378217            -1.42226
                6.75           0.0373477            -1.42774
                6.76           0.0368798            -1.43321
