#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         2685.32         1333.37         1.40977        0.496541        0.509802               0           1e-30               0           1e-30
            8.3          2006.6         1579.13         2.02837        0.786965        0.807981               0           1e-30               0           1e-30
            8.5         1498.35         1868.83         2.91842         1.24726         1.28056               0           1e-30               0           1e-30
            8.7         1117.56         2209.16         4.19902         1.97677         2.02956               0           1e-30               0           1e-30
            8.9         832.043         2606.76         6.04154         3.13296         3.21663               0           1e-30               0           1e-30
            9.1         617.698         3067.13         8.69256         4.96541         5.09802               0           1e-30               0           1e-30
            9.3         456.497         3592.47         12.5068         7.86965         8.07981               0           1e-30               0           1e-30
            9.5         334.951         4177.69         17.9948         12.4726         12.8056               0           1e-30               0           1e-30
            9.7         242.991         4803.37         25.8909         19.7677         20.2956               0           1e-30               0           1e-30
            9.9          173.14         5424.42         37.2518         31.3296         32.1663               0           1e-30               0           1e-30
           10.1         119.918          5954.4         53.5979         49.6541         50.9802               0           1e-30               0           1e-30
           10.3          79.423         6250.31         77.1165         78.6965         80.7981               1         698.494               1         698.494
           10.5         49.0325         6115.61         110.955         124.726         128.056               0           1e-30               0           1e-30
           10.7         27.1168         5360.36         159.642         197.677         202.956               0           1e-30               0           1e-30
           10.9         12.6347         3958.42         229.693         313.296         321.663               1         920.514               0           1e-30
           11.1         4.51364         2241.21         330.482         496.541         509.802               1          570.53               0           1e-30
           11.3         1.06881         841.116         475.497         786.965         807.981               2         3051.22               1         1812.36
           11.5        0.133334          165.65         684.144         1242.37         1280.56               3         2156.03               0           1e-30
           11.7      0.00603948         11.3294         984.345         1875.89         2029.56               2         1617.76               0           1e-30
           11.9     5.42722e-05         0.14546         1416.27         2680.19         3216.63               0           1e-30               0           1e-30
           12.1     3.69913e-08     0.000134036         2037.73         3623.44         5098.02               0           1e-30               0           1e-30
           12.3     4.20385e-13     1.94861e-09         2931.89          4635.3         8079.81               0           1e-30               0           1e-30
           12.5     7.25981e-21     4.07343e-17          4218.4         5610.93         12805.6               0           1e-30               0           1e-30
           12.7     4.28092e-33     2.75124e-29         6069.42         6426.75         20295.6               0           1e-30               0           1e-30
           12.9     2.10358e-52     1.46523e-48         8732.68         6965.43         32166.3               0           1e-30               0           1e-30
           13.1      6.2319e-83     4.45169e-79         12564.6         7143.39         50980.2               0           1e-30               0           1e-30
