#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0359654            -1.44411
                6.01           0.0354575            -1.45029
                6.02           0.0349567            -1.45647
                6.03            0.034463            -1.46265
                6.04           0.0339763            -1.46882
                6.05           0.0334965              -1.475
                6.06           0.0330235            -1.48118
                6.07           0.0325572            -1.48735
                6.08           0.0320975            -1.49353
                6.09           0.0316443             -1.4997
                 6.1           0.0311975            -1.50588
                6.11            0.030757            -1.51206
                6.12           0.0303227            -1.51823
                6.13           0.0298946            -1.52441
                6.14           0.0294726            -1.53058
                6.15           0.0290565            -1.53676
                6.16           0.0286463            -1.54293
                6.17           0.0282419            -1.54911
                6.18           0.0278432            -1.55528
                6.19           0.0274502            -1.56145
                 6.2           0.0270627            -1.56763
                6.21           0.0266807             -1.5738
                6.22           0.0263042            -1.57998
                6.23           0.0259329            -1.58615
                6.24           0.0255669            -1.59232
                6.25           0.0252061             -1.5985
                6.26           0.0248503            -1.60467
                6.27           0.0244996            -1.61084
                6.28           0.0241539            -1.61701
                6.29            0.023813            -1.62319
                 6.3            0.023477            -1.62936
                6.31           0.0231457            -1.63553
                6.32           0.0228191             -1.6417
                6.33           0.0224971            -1.64787
                6.34           0.0221797            -1.65404
                6.35           0.0218668            -1.66022
                6.36           0.0215583            -1.66639
                6.37           0.0212541            -1.67256
                6.38           0.0209543            -1.67873
                6.39           0.0206587             -1.6849
                 6.4           0.0203672            -1.69107
                6.41           0.0200799            -1.69724
                6.42           0.0197967            -1.70341
                6.43           0.0195174            -1.70958
                6.44           0.0192421            -1.71575
                6.45           0.0189707            -1.72192
                6.46           0.0187031            -1.72809
                6.47           0.0184393            -1.73426
                6.48           0.0181793            -1.74042
                6.49           0.0179229            -1.74659
                 6.5           0.0176701            -1.75276
                6.51           0.0174209            -1.75893
                6.52           0.0171752             -1.7651
                6.53            0.016933            -1.77127
                6.54           0.0166943            -1.77743
                6.55           0.0164588             -1.7836
                6.56           0.0162268            -1.78977
                6.57            0.015998            -1.79594
                6.58           0.0157724             -1.8021
                6.59             0.01555            -1.80827
                 6.6           0.0153308            -1.81444
                6.61           0.0151146             -1.8206
                6.62           0.0149016            -1.82677
                6.63           0.0146915            -1.83293
                6.64           0.0144844             -1.8391
                6.65           0.0142802            -1.84527
                6.66           0.0140789            -1.85143
                6.67           0.0138804             -1.8576
                6.68           0.0136848            -1.86376
                6.69           0.0134919            -1.86993
                 6.7           0.0133017            -1.87609
                6.71           0.0131142            -1.88226
                6.72           0.0129294            -1.88842
                6.73           0.0127472            -1.89459
                6.74           0.0125675            -1.90075
                6.75           0.0123904            -1.90692
                6.76           0.0122158            -1.91308
                6.77           0.0120436            -1.91924
                6.78           0.0118739            -1.92541
                6.79           0.0117066            -1.93157
                 6.8           0.0115416            -1.93773
