#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1          815.46         298.072         1.24812        0.365526        0.325297               0           1e-30               0           1e-30
            8.3         618.125         358.092          1.7958         0.57932        0.515561               0           1e-30               0           1e-30
            8.5         468.337         430.008         2.58379         0.91816         0.81711               0           1e-30               0           1e-30
            8.7         354.597         516.005         3.71755         1.45519         1.29503               0           1e-30               0           1e-30
            8.9         268.182         618.512         5.34881         2.30631         2.05249               0           1e-30               0           1e-30
            9.1          202.47          740.08         7.69586         3.65526         3.25297               0           1e-30               0           1e-30
            9.3         152.436          883.09         11.0728          5.7932         5.15561               0           1e-30               0           1e-30
            9.5         114.267         1049.16         15.9315          9.1816          8.1711               0           1e-30               0           1e-30
            9.7         85.0775         1238.03         22.9223         14.5519         12.9503               0           1e-30               0           1e-30
            9.9         62.6895         1445.82         32.9805         23.0631         20.5249               1         302.389               1         302.389
           10.1         45.4812         1662.45         47.4523         36.5526         32.5297               0           1e-30               0           1e-30
           10.3         32.2724          1869.6         68.2743          57.932         51.5561               3         1261.48               3         1261.48
           10.5         22.2387         2041.87          98.233          91.816          81.711               4         1591.28               2             760
           10.7          14.821         2156.73         141.337         145.519         129.503               4         1984.78               0           1e-30
           10.9         9.58626         2210.89         203.356         230.631         205.249               7         2559.94               0           1e-30
           11.1         6.04269         2208.76         292.589         365.526         325.297               6         2398.95               0           1e-30
           11.3         3.59162         2067.19         420.976          575.56         515.561               7         3747.39               0           1e-30
           11.5         1.82397         1575.64           605.7         863.853          817.11               1         689.133               0           1e-30
           11.7        0.721943         885.711          871.48         1226.84         1295.03               0           1e-30               0           1e-30
           11.9        0.231792         382.153         1253.88         1648.69         2052.49               0           1e-30               0           1e-30
           12.1       0.0679172         142.386         1804.09         2096.46         3252.97               0           1e-30               0           1e-30
           12.3       0.0177779         44.8453         2595.72         2522.53         5155.61               0           1e-30               0           1e-30
           12.5      0.00342235         9.82903         3734.71         2872.01          8171.1               0           1e-30               0           1e-30
           12.7     0.000337692         1.04485          5373.5          3094.1         12950.3               0           1e-30               0           1e-30
           12.9     9.88566e-06        0.031181         7731.39         3154.16         20524.9               0           1e-30               0           1e-30
           13.1     4.46783e-08     0.000135934         11123.9         3042.52         32529.7               0           1e-30               0           1e-30
