#         SchechterM          SchechterP     SchechterP_log10
#
                   6            0.075323            -1.12307
                6.01           0.0742387            -1.12937
                6.02           0.0731701            -1.13567
                6.03           0.0721172            -1.14196
                6.04           0.0710796            -1.14825
                6.05           0.0700572            -1.15455
                6.06           0.0690497            -1.16084
                6.07           0.0680569            -1.16713
                6.08           0.0670785            -1.17342
                6.09           0.0661144             -1.1797
                 6.1           0.0651644            -1.18599
                6.11           0.0642282            -1.19227
                6.12           0.0633056            -1.19856
                6.13           0.0623964            -1.20484
                6.14           0.0615006            -1.21112
                6.15           0.0606177             -1.2174
                6.16           0.0597477            -1.22368
                6.17           0.0588903            -1.22996
                6.18           0.0580455            -1.23623
                6.19           0.0572129            -1.24251
                 6.2           0.0563924            -1.24878
                6.21           0.0555839            -1.25505
                6.22           0.0547871            -1.26132
                6.23           0.0540019            -1.26759
                6.24           0.0532281            -1.27386
                6.25           0.0524655            -1.28013
                6.26           0.0517141            -1.28639
                6.27           0.0509735            -1.29266
                6.28           0.0502437            -1.29892
                6.29           0.0495245            -1.30518
                 6.3           0.0488157            -1.31144
                6.31           0.0481172             -1.3177
                6.32           0.0474288            -1.32396
                6.33           0.0467505            -1.33021
                6.34           0.0460819            -1.33647
                6.35           0.0454231            -1.34272
                6.36           0.0447738            -1.34898
                6.37           0.0441339            -1.35523
                6.38           0.0435033            -1.36148
                6.39           0.0428818            -1.36773
                 6.4           0.0422694            -1.37397
                6.41           0.0416658            -1.38022
                6.42           0.0410709            -1.38647
                6.43           0.0404846            -1.39271
                6.44           0.0399069            -1.39895
                6.45           0.0393375            -1.40519
                6.46           0.0387763            -1.41143
                6.47           0.0382233            -1.41767
                6.48           0.0376782            -1.42391
                6.49            0.037141            -1.43015
                 6.5           0.0366116            -1.43638
                6.51           0.0360899            -1.44261
                6.52           0.0355757            -1.44885
                6.53           0.0350689            -1.45508
                6.54           0.0345694            -1.46131
                6.55           0.0340772            -1.46754
                6.56            0.033592            -1.47376
                6.57           0.0331139            -1.47999
                6.58           0.0326426            -1.48621
                6.59           0.0321782            -1.49244
                 6.6           0.0317204            -1.49866
                6.61           0.0312693            -1.50488
                6.62           0.0308247             -1.5111
                6.63           0.0303864            -1.51732
                6.64           0.0299545            -1.52354
                6.65           0.0295288            -1.52975
                6.66           0.0291093            -1.53597
                6.67           0.0286958            -1.54218
                6.68           0.0282882            -1.54839
                6.69           0.0278865            -1.55461
                 6.7           0.0274906            -1.56082
                6.71           0.0271004            -1.56702
                6.72           0.0267158            -1.57323
                6.73           0.0263368            -1.57944
                6.74           0.0259632            -1.58564
                6.75            0.025595            -1.59185
                6.76            0.025232            -1.59805
                6.77           0.0248743            -1.60425
                6.78           0.0245217            -1.61045
                6.79           0.0241742            -1.61665
                 6.8           0.0238317            -1.62285
                6.81           0.0234941            -1.62904
                6.82           0.0231613            -1.63524
                6.83           0.0228334            -1.64143
                6.84           0.0225101            -1.64762
                6.85           0.0221915            -1.65381
                6.86           0.0218774               -1.66
                6.87           0.0215679            -1.66619
                6.88           0.0212628            -1.67238
                6.89            0.020962            -1.67857
                 6.9           0.0206656            -1.68475
                6.91           0.0203734            -1.69094
                6.92           0.0200854            -1.69712
                6.93           0.0198016             -1.7033
                6.94           0.0195218            -1.70948
                6.95            0.019246            -1.71566
                6.96           0.0189741            -1.72184
                6.97           0.0187062            -1.72801
                6.98           0.0184421            -1.73419
                6.99           0.0181817            -1.74036
                   7           0.0179251            -1.74654
                7.01           0.0176722            -1.75271
                7.02           0.0174228            -1.75888
                7.03           0.0171771            -1.76505
                7.04           0.0169348            -1.77122
                7.05            0.016696            -1.77739
                7.06           0.0164607            -1.78355
                7.07           0.0162286            -1.78972
                7.08           0.0159999            -1.79588
                7.09           0.0157745            -1.80204
                 7.1           0.0155523            -1.80821
                7.11           0.0153332            -1.81437
                7.12           0.0151173            -1.82053
                7.13           0.0149045            -1.82668
                7.14           0.0146947            -1.83284
                7.15           0.0144878              -1.839
                7.16            0.014284            -1.84515
                7.17            0.014083             -1.8513
                7.18           0.0138849            -1.85746
                7.19           0.0136896            -1.86361
                 7.2           0.0134971            -1.86976
                7.21           0.0133074            -1.87591
                7.22           0.0131203            -1.88206
                7.23           0.0129359             -1.8882
                7.24           0.0127542            -1.89435
                7.25            0.012575            -1.90049
                7.26           0.0123984            -1.90664
                7.27           0.0122242            -1.91278
                7.28           0.0120526            -1.91892
                7.29           0.0118834            -1.92506
                 7.3           0.0117166             -1.9312
                7.31           0.0115522            -1.93734
                7.32           0.0113901            -1.94347
                7.33           0.0112303            -1.94961
                7.34           0.0110727            -1.95575
                7.35           0.0109174            -1.96188
                7.36           0.0107644            -1.96801
                7.37           0.0106134            -1.97414
                7.38           0.0104647            -1.98027
                7.39            0.010318             -1.9864
                 7.4           0.0101734            -1.99253
                7.41           0.0100309            -1.99866
                7.42          0.00989037            -2.00479
                7.43          0.00975185            -2.01091
                7.44          0.00961528            -2.01704
