#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         351.014         81.5958        0.808186        0.232457        0.167483               1         157.708               1         157.708
            8.3         278.554         102.625         1.16282         0.36842        0.265442               0           1e-30               0           1e-30
            8.5         220.817         128.937         1.67306        0.583906        0.420698               0           1e-30               0           1e-30
            8.7         174.746         161.715         2.40719        0.925429        0.666761               0           1e-30               0           1e-30
            8.9         137.906         202.268         3.46347         1.46671         1.05674               0           1e-30               0           1e-30
            9.1         108.361         251.892         4.98323         2.32457         1.67483               0           1e-30               0           1e-30
            9.3         84.5796         311.608         7.16987          3.6842         2.65442               1         154.714               1         154.714
            9.5           65.37         381.699          10.316         5.83906         4.20698               0           1e-30               0           1e-30
            9.7         49.8378         461.214         14.8426         9.25429         6.66761               0           1e-30               0           1e-30
            9.9         37.3723         548.142         21.3556         14.6671         10.5674               3         429.229               2         348.784
           10.1         27.6309         642.299         30.7264         23.2457         16.7483               2         266.134               1         137.781
           10.3         20.4537         753.554         44.2091          36.842         26.5442               4         654.991               2         475.221
           10.5         15.5777         909.589         63.6079         58.3906         42.0698              17         2521.26               1         411.156
           10.7         12.1303         1122.57          91.519         92.5429         66.6761              14         2497.75               1         469.132
           10.9         8.56745         1256.06         131.677         146.609         105.674              14         2531.25               1         464.786
           11.1         4.27585         959.879         189.457         224.488         167.483              10         2448.19               0           1e-30
           11.3         1.06073         345.013         272.591         325.258         265.442               7         1684.26               0           1e-30
           11.5       0.0803392         35.8253         392.203         445.926         420.698               3          948.25               0           1e-30
           11.7     0.000898002        0.519486         564.302         578.491         666.761               2          933.16               0           1e-30
           11.9     4.78284e-07     0.000339638         811.916         710.118         1056.74               0           1e-30               0           1e-30
           12.1     2.03811e-12      1.6811e-09         1168.18         824.831         1674.83               0           1e-30               0           1e-30
           12.3     4.11027e-21     3.72622e-18         1680.78         906.565         2654.42               0           1e-30               0           1e-30
           12.5     4.44021e-35     4.18636e-32         2418.31          942.83         4206.98               0           1e-30               0           1e-30
           12.7     2.11927e-57     1.96632e-54         3479.46         927.828         6667.61               0           1e-30               0           1e-30
           12.9     5.80068e-93     5.01165e-90         5006.24         863.976         10567.4               0           1e-30               0           1e-30
           13.1    1.63833e-149     1.2472e-146         7202.96         761.265         16748.3               0           1e-30               0           1e-30
