#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         55.2993         3.60321       0.0906172       0.0651582       0.0193906               0           1e-30               0           1e-30
            8.3         45.8554         4.73544         0.13038        0.103269       0.0307321               0           1e-30               0           1e-30
            8.5         37.9965         6.21889         0.18759         0.16367       0.0487071               0           1e-30               0           1e-30
            8.7         31.4491         8.15789        0.269905          0.2594       0.0771955               0           1e-30               0           1e-30
            8.9         25.9858         10.6833        0.388339        0.411121        0.122347               1        0.759151               0           1e-30
            9.1         21.4179         13.9555        0.558741        0.651582        0.193906               0           1e-30               0           1e-30
            9.3         17.5899         18.1649        0.803916         1.03269        0.307321               7         16.4506               0           1e-30
            9.5         14.3757         23.5287         1.15667          1.6367        0.487071              10         34.5537               1         8.03419
            9.7         11.6765         30.2888         1.66422           2.594        0.771955              16         60.8208               1         17.5049
            9.9         9.41932         38.7248         2.39448         4.11121         1.22347              14         74.9517               1         16.5184
           10.1         7.55334         48.5033         3.44517         6.42144         1.93906              20         104.154               0           1e-30
           10.3         6.03786         57.4215         4.95691         9.51024         3.07321              14         98.3916               1         24.7964
           10.5         4.81242         64.1379         7.13199         13.3276         4.87071              11         100.904               0           1e-30
           10.7         3.75369          66.339         10.2615          17.673         7.71955               6         41.9326               0           1e-30
           10.9         2.67972         59.4235         14.7642         22.1753         12.2347               4         86.6647               0           1e-30
           11.1         1.51944          40.005         21.2427         26.3287         19.3906               2         28.1826               0           1e-30
           11.3        0.542718         16.0532          30.564         29.5793         30.7321               2         8.07903               0           1e-30
           11.5       0.0863305         2.71464         43.9755         31.4447         48.7071               0           1e-30               0           1e-30
           11.7       0.0036309        0.114847         63.2719         31.6306         77.1955               0           1e-30               0           1e-30
           11.9     1.80831e-05     0.000544428         91.0355         30.1069         122.347               0           1e-30               0           1e-30
           12.1     3.04288e-09     8.25108e-08         130.982          27.116         193.906               0           1e-30               0           1e-30
           12.3     2.44097e-15     5.64089e-14         188.456         23.1092         307.321               0           1e-30               0           1e-30
           12.5     4.58421e-25     8.54297e-24         271.151         18.6357         487.071               0           1e-30               0           1e-30
           12.7      2.1127e-40     3.00429e-39         390.131         14.2201         771.955               0           1e-30               0           1e-30
           12.9     1.55462e-64      1.5962e-63          561.32         10.2675         1223.47               0           1e-30               0           1e-30
           13.1    8.77637e-103    6.15656e-102         807.627         7.01492         1939.06               0           1e-30               0           1e-30
