#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         452.275         165.318         1.24812        0.365526        0.325297               0           1e-30               0           1e-30
            8.3         342.828         198.607          1.7958         0.57932        0.515561               0           1e-30               0           1e-30
            8.5         259.751         238.493         2.58379         0.91816         0.81711               0           1e-30               0           1e-30
            8.7         196.669         286.189         3.71755         1.45519         1.29503               0           1e-30               0           1e-30
            8.9         148.741         343.042         5.34881         2.30631         2.05249               0           1e-30               0           1e-30
            9.1         112.295         410.468         7.69586         3.65526         3.25297               0           1e-30               0           1e-30
            9.3         84.5448         489.785         11.0728          5.7932         5.15561               0           1e-30               0           1e-30
            9.5         63.3756         581.889         15.9315          9.1816          8.1711               0           1e-30               0           1e-30
            9.7         47.1861         686.646         22.9223         14.5519         12.9503               0           1e-30               0           1e-30
            9.9         34.7692         801.887         32.9805         23.0631         20.5249               1         302.389               1         302.389
           10.1          25.225          922.04         47.4523         36.5526         32.5297               0           1e-30               0           1e-30
           10.3         17.8991         1036.93         68.2743          57.932         51.5561               3         1261.48               3         1261.48
           10.5         12.3342         1132.47          98.233          91.816          81.711               4         1591.28               2         759.999
           10.7         8.22009         1196.18         141.337         145.519         129.503               4         1984.78               0           1e-30
           10.9         5.31679         1226.22         203.356         230.631         205.249               7         2559.94               0           1e-30
           11.1         3.35143         1225.03         292.589         365.526         325.297               6         2398.95               0           1e-30
           11.3         1.99201         1146.52         420.976          575.56         515.561               7         3747.39               0           1e-30
           11.5         1.01162         873.892           605.7         863.853          817.11               1         689.133               0           1e-30
           11.7        0.400408         491.238          871.48         1226.84         1295.03               0           1e-30               0           1e-30
           11.9        0.128558         211.952         1253.88         1648.69         2052.49               0           1e-30               0           1e-30
           12.1       0.0376686         78.9709         1804.09         2096.46         3252.97               0           1e-30               0           1e-30
           12.3      0.00986009         24.8724         2595.72         2522.53         5155.61               0           1e-30               0           1e-30
           12.5      0.00189813         5.45143         3734.71         2872.01          8171.1               0           1e-30               0           1e-30
           12.7     0.000187293        0.579503          5373.5          3094.1         12950.3               0           1e-30               0           1e-30
           12.9     5.48284e-06       0.0172938         7731.39         3154.16         20524.9               0           1e-30               0           1e-30
           13.1     2.47797e-08     7.53928e-05         11123.9         3042.52         32529.7               0           1e-30               0           1e-30
