#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         104.094         6.78257       0.0906172       0.0651582       0.0193906               0           1e-30               0           1e-30
            8.3         89.1432         9.20571         0.13038        0.103269       0.0307321               0           1e-30               0           1e-30
            8.5          76.302         12.4884         0.18759         0.16367       0.0487071               0           1e-30               0           1e-30
            8.7         65.2561         16.9274        0.269905          0.2594       0.0771955               0           1e-30               0           1e-30
            8.9         55.7326         22.9128        0.388339        0.411121        0.122347               1        0.759151               0           1e-30
            9.1         47.4928         30.9455        0.558741        0.651582        0.193906               0           1e-30               0           1e-30
            9.3         40.3263         41.6445        0.803916         1.03269        0.307321               7         16.4506               0           1e-30
            9.5         34.0449         55.7214         1.15667          1.6367        0.487071              10         34.5537               1         8.03419
            9.7         28.4798         73.8764         1.66422           2.594        0.771955              16         60.8208               1         17.5049
            9.9         23.4792         96.5279         2.39448         4.11121         1.22347              14         74.9517               1         16.5184
           10.1          18.913         121.449         3.44517         6.42144         1.93906              20         104.154               0           1e-30
           10.3         14.6841         139.649         4.95691         9.51024         3.07321              14         98.3916               1         24.7964
           10.5         10.7537         143.321         7.13199         13.3276         4.87071              11         100.904               0           1e-30
           10.7         7.17824         126.861         10.2615          17.673         7.71955               6         41.9326               0           1e-30
           10.9         4.13672         91.7329         14.7642         22.1753         12.2347               4         86.6647               0           1e-30
           11.1         1.88853         49.7226         21.2427         26.3287         19.3906               2         28.1826               0           1e-30
           11.3        0.596046         17.6307          30.564         29.5793         30.7321               2         8.07903               0           1e-30
           11.5        0.104834         3.29647         43.9755         31.4447         48.7071               0           1e-30               0           1e-30
           11.7      0.00730627        0.231101         63.2719         31.6306         77.1955               0           1e-30               0           1e-30
           11.9     0.000117688      0.00354324         91.0355         30.1069         122.347               0           1e-30               0           1e-30
           12.1     1.86864e-07     5.06702e-06         130.982          27.116         193.906               0           1e-30               0           1e-30
           12.3     7.59436e-12       1.755e-10         188.456         23.1092         307.321               0           1e-30               0           1e-30
           12.5      9.3128e-19      1.7355e-17         271.151         18.6357         487.071               0           1e-30               0           1e-30
           12.7     1.15488e-29     1.64226e-28         390.131         14.2201         771.955               0           1e-30               0           1e-30
           12.9     6.61318e-47     6.79006e-46          561.32         10.2675         1223.47               0           1e-30               0           1e-30
           13.1     3.42044e-74     2.39941e-73         807.627         7.01492         1939.06               0           1e-30               0           1e-30
