#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         4.55721         1.05936        0.808186        0.232457        0.167483               1         157.708               1         157.708
            8.3         4.83921         1.78286         1.16282         0.36842        0.265442               0           1e-30               0           1e-30
            8.5         5.24411         3.06207         1.67306        0.583906        0.420698               0           1e-30               0           1e-30
            8.7         5.79462         5.36251         2.40719        0.925429        0.666761               0           1e-30               0           1e-30
            8.9         6.51672         9.55812         3.46347         1.46671         1.05674               0           1e-30               0           1e-30
            9.1         7.43796         17.2901         4.98323         2.32457         1.67483               0           1e-30               0           1e-30
            9.3         8.58353         31.6235         7.16987          3.6842         2.65442               1         154.714               1         154.714
            9.5         9.96766         58.2018          10.316         5.83906         4.20698               0           1e-30               0           1e-30
            9.7         11.5771         107.138         14.8426         9.25429         6.66761               0           1e-30               0           1e-30
            9.9         13.3425         195.695         21.3556         14.6671         10.5674               3         429.229               2         348.784
           10.1         15.0932         350.853         30.7264         23.2457         16.7483               2         266.134               1         137.781
           10.3         16.5031         608.006         44.2091          36.842         26.5442               4         654.991               2         475.221
           10.5         17.0565          995.94         63.6079         58.3906         42.0698              17         2521.26               1         411.156
           10.7         16.1235         1492.12          91.519         92.5429         66.6761              14         2497.75               1         469.132
           10.9         13.2799         1946.95         131.677         146.609         105.674              14         2531.25               1         464.786
           11.1         8.88739         1995.12         189.457         224.488         167.483              10         2448.19               0           1e-30
           11.3         4.40537         1432.88         272.591         325.258         265.442               7         1684.26               0           1e-30
           11.5         1.47793         659.046         392.203         445.926         420.698               3          948.25               0           1e-30
           11.7        0.348174         201.415         564.302         578.491         666.761               2          933.16               0           1e-30
           11.9       0.0792892         56.3047         811.916         710.118         1056.74               0           1e-30               0           1e-30
           12.1        0.019771         16.3077         1168.18         824.831         1674.83               0           1e-30               0           1e-30
           12.3       0.0041473         3.75979         1680.78         906.565         2654.42               0           1e-30               0           1e-30
           12.5     0.000553808        0.522147         2418.31          942.83         4206.98               0           1e-30               0           1e-30
           12.7     3.29225e-05       0.0305464         3479.46         927.828         6667.61               0           1e-30               0           1e-30
           12.9     5.06787e-07     0.000437852         5006.24         863.976         10567.4               0           1e-30               0           1e-30
           13.1     8.72074e-10     6.63879e-07         7202.96         761.265         16748.3               0           1e-30               0           1e-30
