#         SchechterM          SchechterP     SchechterP_log10
#
                   6             0.02242            -1.64936
                6.01           0.0223076            -1.65155
                6.02           0.0221957            -1.65373
                6.03           0.0220844            -1.65591
                6.04           0.0219737             -1.6581
                6.05           0.0218636            -1.66028
                6.06            0.021754            -1.66246
                6.07           0.0216449            -1.66464
                6.08           0.0215364            -1.66683
                6.09           0.0214285            -1.66901
                 6.1           0.0213211            -1.67119
                6.11           0.0212142            -1.67337
                6.12           0.0211079            -1.67556
                6.13           0.0210021            -1.67774
                6.14           0.0208968            -1.67992
                6.15           0.0207921             -1.6821
                6.16           0.0206879            -1.68428
                6.17           0.0205842            -1.68647
                6.18           0.0204811            -1.68865
                6.19           0.0203785            -1.69083
                 6.2           0.0202764            -1.69301
                6.21           0.0201748            -1.69519
                6.22           0.0200737            -1.69737
                6.23           0.0199731            -1.69955
                6.24            0.019873            -1.70174
                6.25           0.0197735            -1.70392
                6.26           0.0196744             -1.7061
                6.27           0.0195759            -1.70828
                6.28           0.0194778            -1.71046
                6.29           0.0193802            -1.71264
                 6.3           0.0192832            -1.71482
                6.31           0.0191866              -1.717
                6.32           0.0190905            -1.71918
                6.33           0.0189949            -1.72136
                6.34           0.0188997            -1.72354
                6.35           0.0188051            -1.72573
                6.36           0.0187109            -1.72791
                6.37           0.0186172            -1.73009
                6.38            0.018524            -1.73227
                6.39           0.0184312            -1.73445
                 6.4           0.0183389            -1.73663
                6.41           0.0182471            -1.73881
                6.42           0.0181557            -1.74099
                6.43           0.0180648            -1.74317
                6.44           0.0179744            -1.74535
                6.45           0.0178844            -1.74753
                6.46           0.0177948            -1.74971
                6.47           0.0177057            -1.75189
                6.48           0.0176171            -1.75407
                6.49           0.0175289            -1.75625
                 6.5           0.0174411            -1.75842
                6.51           0.0173538             -1.7606
                6.52            0.017267            -1.76278
                6.53           0.0171805            -1.76496
                6.54           0.0170945            -1.76714
                6.55            0.017009            -1.76932
                6.56           0.0169238             -1.7715
                6.57           0.0168391            -1.77368
                6.58           0.0167549            -1.77586
                6.59            0.016671            -1.77804
                 6.6           0.0165876            -1.78022
                6.61           0.0165046             -1.7824
                6.62            0.016422            -1.78457
                6.63           0.0163398            -1.78675
                6.64            0.016258            -1.78893
                6.65           0.0161767            -1.79111
                6.66           0.0160957            -1.79329
                6.67           0.0160152            -1.79547
                6.68           0.0159351            -1.79765
                6.69           0.0158553            -1.79982
                 6.7            0.015776              -1.802
                6.71           0.0156971            -1.80418
                6.72           0.0156185            -1.80636
                6.73           0.0155404            -1.80854
                6.74           0.0154627            -1.81072
                6.75           0.0153853            -1.81289
                6.76           0.0153083            -1.81507
                6.77           0.0152318            -1.81725
                6.78           0.0151556            -1.81943
                6.79           0.0150797            -1.82161
                 6.8           0.0150043            -1.82378
                6.81           0.0149293            -1.82596
                6.82           0.0148546            -1.82814
                6.83           0.0147803            -1.83032
                6.84           0.0147064            -1.83249
                6.85           0.0146328            -1.83467
                6.86           0.0145596            -1.83685
                6.87           0.0144868            -1.83903
                6.88           0.0144143            -1.84121
                6.89           0.0143423            -1.84338
                 6.9           0.0142705            -1.84556
                6.91           0.0141992            -1.84774
                6.92           0.0141282            -1.84991
                6.93           0.0140575            -1.85209
                6.94           0.0139872            -1.85427
                6.95           0.0139173            -1.85645
