#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         267.777         171.227         1.41662         0.63944        0.738765               0           1e-30               0           1e-30
            8.3          189.26         191.805         2.03823         1.01344         1.17086               0           1e-30               0           1e-30
            8.5         133.895         215.062          2.9326          1.6062         1.85569               0           1e-30               0           1e-30
            8.7         94.7696         241.251         4.21942         2.54566         2.94108               0           1e-30               0           1e-30
            8.9         67.0597         270.559          6.0709          4.0346          4.6613               0           1e-30               0           1e-30
            9.1         47.3877         303.016          8.7348          6.3944         7.38765               0           1e-30               0           1e-30
            9.3         33.3856         338.344         12.5676         10.1344         11.7086               0           1e-30               0           1e-30
            9.5         23.3896         375.684         18.0823          16.062         18.5569               0           1e-30               0           1e-30
            9.7         16.2303         413.168         26.0168         25.4566         29.4108               0           1e-30               0           1e-30
            9.9         11.0858         447.268         37.4329          40.346          46.613               0           1e-30               0           1e-30
           10.1          7.3813          471.99         53.8584          63.944         73.8765               0           1e-30               0           1e-30
           10.3         4.71887         478.232         77.4913         101.344         117.086               0           1e-30               0           1e-30
           10.5         2.82885          454.37         111.494          160.62         185.569               1         1458.67               1         1458.67
           10.7         1.53251         390.123         160.418         254.566         294.108               0           1e-30               0           1e-30
           10.9        0.708111         285.694         230.809          403.46          466.13               0           1e-30               0           1e-30
           11.1        0.254753         162.899         332.088          639.44         738.765               0           1e-30               0           1e-30
           11.3       0.0617148         62.5445         477.808         1013.44         1170.86               0           1e-30               0           1e-30
           11.5      0.00797469          12.809         687.469          1606.2         1855.69               1         921.254               0           1e-30
           11.7     0.000378667        0.958302         989.129         2530.72         2941.08               1         702.773               0           1e-30
           11.9     3.66088e-06       0.0139237         1423.16         3803.39          4661.3               0           1e-30               0           1e-30
           12.1       2.835e-09     1.53338e-05         2047.64         5408.74         7387.65               0           1e-30               0           1e-30
           12.3     4.01595e-14     2.92287e-10         2946.14         7278.16         11708.6               0           1e-30               0           1e-30
           12.5     1.00207e-21     9.28638e-18          4238.9         9267.17         18556.9               0           1e-30               0           1e-30
           12.7     1.07899e-33     1.20473e-29         6098.92         11165.4         29410.8               0           1e-30               0           1e-30
           12.9      1.4031e-52     1.78602e-48         8775.12         12729.1           46613               0           1e-30               0           1e-30
           13.1     1.98058e-82     2.71967e-78         12625.6         13731.7         73876.5               0           1e-30               0           1e-30
