#         SchechterM          SchechterP     SchechterP_log10
#
                   6            0.126366            -0.89837
                6.01            0.124064           -0.906353
                6.02            0.121805           -0.914333
                6.03            0.119588           -0.922311
                6.04            0.117412           -0.930287
                6.05            0.115276            -0.93826
                6.06             0.11318            -0.94623
                6.07            0.111123           -0.954198
                6.08            0.109103           -0.962163
                6.09            0.107121           -0.970126
                 6.1            0.105175           -0.978086
                6.11            0.103266           -0.986044
                6.12            0.101391           -0.993999
                6.13           0.0995516            -1.00195
                6.14           0.0977458             -1.0099
                6.15           0.0959733            -1.01785
                6.16           0.0942334            -1.02579
                6.17           0.0925257            -1.03374
                6.18           0.0908494            -1.04168
                6.19            0.089204            -1.04962
                 6.2           0.0875889            -1.05755
                6.21           0.0860036            -1.06548
                6.22           0.0844474            -1.07341
                6.23           0.0829199            -1.08134
                6.24           0.0814204            -1.08927
                6.25           0.0799486            -1.09719
                6.26           0.0785038            -1.10511
                6.27           0.0770855            -1.11303
                6.28           0.0756933            -1.12094
                6.29           0.0743267            -1.12886
                 6.3           0.0729851            -1.13677
                6.31           0.0716682            -1.14467
                6.32           0.0703755            -1.15258
                6.33           0.0691064            -1.16048
                6.34           0.0678607            -1.16838
                6.35           0.0666377            -1.17628
                6.36           0.0654372            -1.18418
                6.37           0.0642587            -1.19207
                6.38           0.0631017            -1.19996
                6.39            0.061966            -1.20785
                 6.4            0.060851            -1.21573
                6.41           0.0597564            -1.22362
                6.42           0.0586819             -1.2315
                6.43            0.057627            -1.23937
                6.44           0.0565914            -1.24725
                6.45           0.0555747            -1.25512
                6.46           0.0545765            -1.26299
                6.47           0.0535966            -1.27086
                6.48           0.0526346            -1.27873
                6.49           0.0516902            -1.28659
                 6.5            0.050763            -1.29445
                6.51           0.0498527            -1.30231
                6.52            0.048959            -1.31017
                6.53           0.0480816            -1.31802
                6.54           0.0472201            -1.32587
                6.55           0.0463744            -1.33372
                6.56           0.0455441            -1.34157
                6.57           0.0447289            -1.34941
                6.58           0.0439285            -1.35725
                6.59           0.0431427            -1.36509
                 6.6           0.0423712            -1.37293
                6.61           0.0416137            -1.38076
                6.62           0.0408699             -1.3886
                6.63           0.0401397            -1.39643
                6.64           0.0394228            -1.40425
                6.65           0.0387189            -1.41208
                6.66           0.0380277             -1.4199
                6.67           0.0373491            -1.42772
                6.68           0.0366828            -1.43554
                6.69           0.0360286            -1.44335
                 6.7           0.0353863            -1.45117
                6.71           0.0347556            -1.45898
                6.72           0.0341363            -1.46678
                6.73           0.0335282            -1.47459
                6.74           0.0329312            -1.48239
                6.75           0.0323449            -1.49019
                6.76           0.0317693            -1.49799
                6.77           0.0312041            -1.50579
                6.78           0.0306491            -1.51358
                6.79           0.0301041            -1.52137
                 6.8            0.029569            -1.52916
                6.81           0.0290436            -1.53695
                6.82           0.0285276            -1.54473
                6.83            0.028021            -1.55252
                6.84           0.0275235             -1.5603
                6.85            0.027035            -1.56807
                6.86           0.0265553            -1.57585
                6.87           0.0260842            -1.58362
                6.88           0.0256217            -1.59139
                6.89           0.0251675            -1.59916
                 6.9           0.0247214            -1.60693
                6.91           0.0242834            -1.61469
                6.92           0.0238533            -1.62245
                6.93            0.023431            -1.63021
                6.94           0.0230162            -1.63797
                6.95           0.0226089            -1.64572
                6.96           0.0222089            -1.65347
                6.97           0.0218161            -1.66122
                6.98           0.0214304            -1.66897
                6.99           0.0210516            -1.67672
                   7           0.0206796            -1.68446
                7.01           0.0203142             -1.6922
                7.02           0.0199555            -1.69994
                7.03           0.0196032            -1.70767
                7.04           0.0192571            -1.71541
                7.05           0.0189173            -1.72314
                7.06           0.0185836            -1.73087
                7.07           0.0182559             -1.7386
                7.08           0.0179341            -1.74632
                7.09            0.017618            -1.75404
                 7.1           0.0173075            -1.76176
                7.11           0.0170027            -1.76948
                7.12           0.0167032             -1.7772
                7.13           0.0164092            -1.78491
                7.14           0.0161204            -1.79262
                7.15           0.0158367            -1.80033
                7.16           0.0155582            -1.80804
