#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0855347            -1.06786
                6.01           0.0843028            -1.07416
                6.02           0.0830887            -1.08046
                6.03            0.081892            -1.08676
                6.04           0.0807126            -1.09306
                6.05           0.0795502            -1.09936
                6.06           0.0784045            -1.10566
                6.07           0.0772753            -1.11196
                6.08           0.0761624            -1.11826
                6.09           0.0750655            -1.12456
                 6.1           0.0739844            -1.13086
                6.11           0.0729188            -1.13716
                6.12           0.0718686            -1.14346
                6.13           0.0708336            -1.14976
                6.14           0.0698134            -1.15606
                6.15           0.0688079            -1.16236
                6.16            0.067817            -1.16866
                6.17           0.0668402            -1.17496
                6.18           0.0658776            -1.18126
                6.19           0.0649288            -1.18756
                 6.2           0.0639937            -1.19386
                6.21            0.063072            -1.20016
                6.22           0.0621636            -1.20646
                6.23           0.0612683            -1.21276
                6.24           0.0603859            -1.21906
                6.25           0.0595162            -1.22536
                6.26            0.058659            -1.23167
                6.27           0.0578142            -1.23797
                6.28           0.0569815            -1.24427
                6.29           0.0561609            -1.25057
                 6.3            0.055352            -1.25687
                6.31           0.0545548            -1.26317
                6.32           0.0537691            -1.26947
                6.33           0.0529946            -1.27577
                6.34           0.0522314            -1.28207
                6.35           0.0514791            -1.28837
                6.36           0.0507377            -1.29467
                6.37           0.0500069            -1.30097
                6.38           0.0492867            -1.30727
                6.39           0.0485768            -1.31357
                 6.4           0.0478772            -1.31987
                6.41           0.0471876            -1.32617
                6.42            0.046508            -1.33247
                6.43           0.0458381            -1.33877
                6.44           0.0451779            -1.34507
                6.45           0.0445272            -1.35137
                6.46           0.0438859            -1.35767
                6.47           0.0432538            -1.36398
                6.48           0.0426308            -1.37028
                6.49           0.0420168            -1.37658
                 6.5           0.0414117            -1.38288
                6.51           0.0408152            -1.38918
                6.52           0.0402273            -1.39548
                6.53           0.0396479            -1.40178
                6.54           0.0390769            -1.40808
                6.55            0.038514            -1.41438
                6.56           0.0379593            -1.42068
                6.57           0.0374126            -1.42698
                6.58           0.0368737            -1.43328
                6.59           0.0363426            -1.43958
                 6.6           0.0358191            -1.44588
                6.61           0.0353032            -1.45219
                6.62           0.0347947            -1.45849
                6.63           0.0342936            -1.46479
                6.64           0.0337996            -1.47109
                6.65           0.0333128            -1.47739
                6.66           0.0328329            -1.48369
                6.67             0.03236            -1.48999
                6.68           0.0318939            -1.49629
                6.69           0.0314345            -1.50259
                 6.7           0.0309817            -1.50889
                6.71           0.0305355             -1.5152
                6.72           0.0300956             -1.5215
                6.73           0.0296621             -1.5278
                6.74           0.0292349             -1.5341
                6.75           0.0288138             -1.5404
                6.76           0.0283987             -1.5467
                6.77           0.0279897              -1.553
                6.78           0.0275865             -1.5593
                6.79           0.0271891             -1.5656
                 6.8           0.0267975            -1.57191
                6.81           0.0264115            -1.57821
                6.82            0.026031            -1.58451
                6.83            0.025656            -1.59081
                6.84           0.0252865            -1.59711
                6.85           0.0249222            -1.60341
                6.86           0.0245632            -1.60971
                6.87           0.0242094            -1.61602
                6.88           0.0238606            -1.62232
                6.89           0.0235169            -1.62862
                 6.9           0.0231782            -1.63492
                6.91           0.0228443            -1.64122
