#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         771.051         281.839         1.24812        0.365526        0.325297               0           1e-30               0           1e-30
            8.3         584.448         338.583          1.7958         0.57932        0.515561               0           1e-30               0           1e-30
            8.5         442.804         406.564         2.58379         0.91816         0.81711               0           1e-30               0           1e-30
            8.7         335.244         487.842         3.71755         1.45519         1.29503               0           1e-30               0           1e-30
            8.9         253.519         584.694         5.34881         2.30631         2.05249               0           1e-30               0           1e-30
            9.1         191.367         699.495         7.69586         3.65526         3.25297               0           1e-30               0           1e-30
            9.3         144.033         834.415         11.0728          5.7932         5.15561               0           1e-30               0           1e-30
            9.5         107.912         990.801         15.9315          9.1816          8.1711               0           1e-30               0           1e-30
            9.7         80.2653         1168.01         22.9223         14.5519         12.9503               0           1e-30               0           1e-30
            9.9          59.028         1361.37         32.9805         23.0631         20.5249               1         302.389               1         302.389
           10.1         42.6549         1559.15         47.4523         36.5526         32.5297               0           1e-30               0           1e-30
           10.3         30.0237         1739.33         68.2743          57.932         51.5561               3         1261.48               3         1261.48
           10.5         20.3725         1870.52          98.233          91.816          81.711               4         1591.28               2         759.999
           10.7         13.2448         1927.36         141.337         145.519         129.503               4         1984.78               0           1e-30
           10.9         8.35688         1927.36         203.356         230.631         205.249               7         2559.94               0           1e-30
           11.1         5.27779         1929.17         292.589         365.526         325.297               6         2398.95               0           1e-30
           11.3          3.1547         1815.72         420.976          575.56         515.561               7         3747.39               0           1e-30
           11.5         1.34006         1157.62           605.7         863.853          817.11               1         689.133               0           1e-30
           11.7        0.251395         308.423          871.48         1226.84         1295.03               0           1e-30               0           1e-30
           11.9        0.011436         18.8544         1253.88         1648.69         2052.49               0           1e-30               0           1e-30
           12.1     6.47805e-05         0.13581         1804.09         2096.46         3252.97               0           1e-30               0           1e-30
           12.3     2.87335e-08     7.24813e-05         2595.72         2522.53         5155.61               0           1e-30               0           1e-30
           12.5     2.68935e-13     7.72384e-10         3734.71         2872.01          8171.1               0           1e-30               0           1e-30
           12.7     2.94227e-21     9.10368e-18          5373.5          3094.1         12950.3               0           1e-30               0           1e-30
           12.9     6.47539e-34     2.04244e-30         7731.39         3154.16         20524.9               0           1e-30               0           1e-30
           13.1     5.11082e-54     1.55498e-50         11123.9         3042.52         32529.7               0           1e-30               0           1e-30
