#         SchechterM          SchechterP     SchechterP_log10
#
                   6           0.0738147            -1.13186
                6.01           0.0728019            -1.13786
                6.02            0.071803            -1.14386
                6.03           0.0708178            -1.14986
                6.04           0.0698461            -1.15586
                6.05           0.0688878            -1.16186
                6.06           0.0679426            -1.16786
                6.07           0.0670104            -1.17386
                6.08           0.0660909            -1.17986
                6.09           0.0651841            -1.18586
                 6.1           0.0642897            -1.19186
                6.11           0.0634076            -1.19786
                6.12           0.0625376            -1.20386
                6.13           0.0616795            -1.20986
                6.14           0.0608332            -1.21586
                6.15           0.0599985            -1.22186
                6.16           0.0591753            -1.22786
                6.17           0.0583634            -1.23386
                6.18           0.0575626            -1.23986
                6.19           0.0567727            -1.24586
                 6.2           0.0559938            -1.25186
                6.21           0.0552255            -1.25786
                6.22           0.0544677            -1.26386
                6.23           0.0537204            -1.26986
                6.24           0.0529833            -1.27586
                6.25           0.0522563            -1.28186
                6.26           0.0515393            -1.28786
                6.27           0.0508321            -1.29386
                6.28           0.0501346            -1.29986
                6.29           0.0494467            -1.30586
                 6.3           0.0487683            -1.31186
                6.31           0.0480991            -1.31786
                6.32           0.0474391            -1.32386
                6.33           0.0467882            -1.32986
                6.34           0.0461462            -1.33586
                6.35           0.0455131            -1.34186
                6.36           0.0448886            -1.34786
                6.37           0.0442726            -1.35386
                6.38           0.0436652            -1.35986
                6.39            0.043066            -1.36587
                 6.4           0.0424751            -1.37187
                6.41           0.0418923            -1.37787
                6.42           0.0413175            -1.38387
                6.43           0.0407505            -1.38987
                6.44           0.0401914            -1.39587
                6.45           0.0396399            -1.40187
                6.46            0.039096            -1.40787
                6.47           0.0385596            -1.41387
                6.48           0.0380305            -1.41987
                6.49           0.0375086            -1.42587
                 6.5            0.036994            -1.43187
                6.51           0.0364863            -1.43787
                6.52           0.0359857            -1.44387
                6.53           0.0354919            -1.44987
                6.54           0.0350049            -1.45587
                6.55           0.0345246            -1.46187
                6.56           0.0340509            -1.46787
                6.57           0.0335836            -1.47387
                6.58           0.0331228            -1.47987
                6.59           0.0326683            -1.48587
                 6.6             0.03222            -1.49187
                6.61           0.0317779            -1.49787
                6.62           0.0313419            -1.50387
                6.63           0.0309118            -1.50988
                6.64           0.0304877            -1.51588
                6.65           0.0300693            -1.52188
                6.66           0.0296567            -1.52788
                6.67           0.0292498            -1.53388
                6.68           0.0288484            -1.53988
                6.69           0.0284525            -1.54588
                 6.7           0.0280621            -1.55188
                6.71            0.027677            -1.55788
                6.72           0.0272973            -1.56388
                6.73           0.0269227            -1.56988
                6.74           0.0265532            -1.57588
                6.75           0.0261889            -1.58188
                6.76           0.0258295            -1.58788
                6.77           0.0254751            -1.59388
                6.78           0.0251255            -1.59989
