#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         209.844         27.4995        0.325062        0.131047       0.0721265               0           1e-30               0           1e-30
            8.3         189.694         39.3987        0.467699        0.207696        0.114313               0           1e-30               0           1e-30
            8.5         171.375         56.4127        0.672924        0.329176        0.181174               0           1e-30               0           1e-30
            8.7         154.672         80.6938        0.968203        0.521709        0.287141               0           1e-30               0           1e-30
            8.9         139.372          115.24         1.39305        0.826853        0.455088               0           1e-30               0           1e-30
            9.1         125.262         164.152         2.00432         1.31047        0.721265               0           1e-30               0           1e-30
            9.3         112.117         232.863         2.88381         2.07696         1.14313               1         43.4003               1         43.4003
            9.5         99.6969         328.178         4.14922         3.29176         1.81174               2         48.9179               1         30.6263
            9.7         87.7384         457.739         5.96989         5.21709         2.87141               3         108.405               1         62.6553
            9.9         75.9615          628.09         8.58947         8.26853         4.55088               8          269.84               3         142.024
           10.1         64.0956         839.956         12.3585         13.1047         7.21265              22          638.49               0           1e-30
           10.3         51.9486         1078.95         17.7814         20.7696         11.4313              30         1394.81               3         378.069
           10.5         39.5433         1300.26         25.5839          32.882         18.1174              30         1288.46               1         114.844
           10.7          27.316         1369.71           36.81         50.1429         28.7141              30         1483.11               0           1e-30
           10.9          16.266         1176.91         52.9622         72.3537         45.5088              21         1699.58               1          414.84
           11.1         7.75816         766.427          76.202         98.7898         72.1265              11         655.553               0           1e-30
           11.3         2.70511         345.261         109.639         127.633         114.313               3         260.191               0           1e-30
           11.5        0.652258         101.773         157.749         156.032         181.174               0           1e-30               0           1e-30
           11.7        0.128336         23.1641         226.969         180.495         287.141               0           1e-30               0           1e-30
           11.9       0.0286361         5.65758         326.563         197.568         455.088               0           1e-30               0           1e-30
           12.1      0.00634944         1.29928         469.858         204.629         721.265               0           1e-30               0           1e-30
           12.3      0.00105011        0.210598         676.031         200.548         1143.13               0           1e-30               0           1e-30
           12.5     9.96165e-05       0.0185269         972.672         185.982         1811.74               0           1e-30               0           1e-30
           12.7     3.73586e-06     0.000609694         1399.48           163.2         2871.41               0           1e-30               0           1e-30
           12.9     3.11146e-08     4.21635e-06         2013.57          135.51         4550.88               0           1e-30               0           1e-30
           13.1      2.3346e-11     2.48563e-09         2897.12         106.469         7212.65               0           1e-30               0           1e-30
