#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1          209.42          27.444        0.325062        0.131047       0.0721265               0           1e-30               0           1e-30
            8.3         189.317         39.3203        0.467699        0.207696        0.114313               0           1e-30               0           1e-30
            8.5         171.043         56.3032        0.672924        0.329176        0.181174               0           1e-30               0           1e-30
            8.7         154.383         80.5431        0.968203        0.521709        0.287141               0           1e-30               0           1e-30
            8.9         139.128         115.038         1.39305        0.826853        0.455088               0           1e-30               0           1e-30
            9.1         125.064         163.893         2.00432         1.31047        0.721265               0           1e-30               0           1e-30
            9.3         111.969         232.555         2.88381         2.07696         1.14313               1         43.4003               1         43.4003
            9.5         99.6025         327.868         4.14922         3.29176         1.81174               2         48.9179               1         30.6263
            9.7         87.7006         457.542         5.96989         5.21709         2.87141               3         108.405               1         62.6553
            9.9         75.9768         628.216         8.58947         8.26853         4.55088               8          269.84               3         142.024
           10.1         64.1454         840.609         12.3585         13.1047         7.21265              22          638.49               0           1e-30
           10.3         51.9869         1079.75         17.7814         20.7696         11.4313              30         1394.81               3         378.069
           10.5         39.4879         1298.44         25.5839          32.882         18.1174              30         1288.46               1         114.844
           10.7         27.0641         1357.07           36.81         50.1429         28.7141              30         1483.11               0           1e-30
           10.9         15.7601          1140.3         52.9622         72.3537         45.5088              21         1699.58               1          414.84
           11.1         7.08876         700.297          76.202         98.7898         72.1265              11         655.553               0           1e-30
           11.3         2.11761         270.277         109.639         127.633         114.313               3         260.191               0           1e-30
           11.5        0.330769         51.6106         157.749         156.032         181.174               0           1e-30               0           1e-30
           11.7       0.0185009         3.33933         226.969         180.495         287.141               0           1e-30               0           1e-30
           11.9     0.000203649       0.0402346         326.563         197.568         455.088               0           1e-30               0           1e-30
           12.1     1.71572e-07     3.51087e-05         469.858         204.629         721.265               0           1e-30               0           1e-30
           12.3     2.51287e-12     5.03952e-10         676.031         200.548         1143.13               0           1e-30               0           1e-30
           12.5     6.41874e-20     1.19377e-17         972.672         185.982         1811.74               0           1e-30               0           1e-30
           12.7     8.50918e-32      1.3887e-29         1399.48           163.2         2871.41               0           1e-30               0           1e-30
           12.9     2.31837e-50     3.14163e-48         2013.57          135.51         4550.88               0           1e-30               0           1e-30
           13.1     1.34371e-79     1.43064e-77         2897.12         106.469         7212.65               0           1e-30               0           1e-30
