#         SchechterM          SchechterP     SchechterP_log10
#
                   6          0.00431686            -2.36483
                6.01          0.00426722            -2.36985
                6.02          0.00421817            -2.37488
                6.03          0.00416969             -2.3799
                6.04          0.00412177            -2.38492
                6.05          0.00407441            -2.38994
                6.06          0.00402761            -2.39495
                6.07          0.00398135            -2.39997
                6.08          0.00393563            -2.40499
                6.09          0.00389044               -2.41
                 6.1          0.00384578            -2.41502
                6.11          0.00380164            -2.42003
                6.12          0.00375802            -2.42504
                6.13           0.0037149            -2.43005
                6.14          0.00367229            -2.43506
                6.15          0.00363017            -2.44007
                6.16          0.00358855            -2.44508
                6.17          0.00354741            -2.45009
                6.18          0.00350675             -2.4551
                6.19          0.00346656             -2.4601
                 6.2          0.00342685            -2.46511
                6.21          0.00338759            -2.47011
                6.22           0.0033488            -2.47511
                6.23          0.00331045            -2.48011
                6.24          0.00327256            -2.48511
                6.25           0.0032351            -2.49011
                6.26          0.00319809            -2.49511
                6.27           0.0031615            -2.50011
                6.28          0.00312534             -2.5051
                6.29           0.0030896             -2.5101
                 6.3          0.00305428            -2.51509
                6.31          0.00301937            -2.52008
                6.32          0.00298487            -2.52507
                6.33          0.00295077            -2.53006
                6.34          0.00291707            -2.53505
                6.35          0.00288376            -2.54004
                6.36          0.00285084            -2.54503
                6.37           0.0028183            -2.55001
                6.38          0.00278614              -2.555
                6.39          0.00275436            -2.55998
                 6.4          0.00272295            -2.56496
                6.41           0.0026919            -2.56994
                6.42          0.00266122            -2.57492
                6.43          0.00263089             -2.5799
                6.44          0.00260092            -2.58487
                6.45          0.00257129            -2.58985
                6.46          0.00254201            -2.59482
                6.47          0.00251308            -2.59979
                6.48          0.00248448            -2.60477
                6.49          0.00245621            -2.60973
                 6.5          0.00242827             -2.6147
                6.51          0.00240066            -2.61967
                6.52          0.00237337            -2.62463
                6.53           0.0023464             -2.6296
                6.54          0.00231974            -2.63456
                6.55           0.0022934            -2.63952
                6.56          0.00226736            -2.64448
                6.57          0.00224162            -2.64944
                6.58          0.00221619            -2.65439
                6.59          0.00219105            -2.65935
                 6.6           0.0021662             -2.6643
                6.61          0.00214164            -2.66925
                6.62          0.00211737             -2.6742
                6.63          0.00209338            -2.67915
                6.64          0.00206968             -2.6841
                6.65          0.00204624            -2.68904
                6.66          0.00202309            -2.69399
                6.67           0.0020002            -2.69893
                6.68          0.00197757            -2.70387
                6.69          0.00195521            -2.70881
                 6.7          0.00193312            -2.71374
                6.71          0.00191128            -2.71868
                6.72          0.00188969            -2.72361
                6.73          0.00186835            -2.72854
                6.74          0.00184727            -2.73347
                6.75          0.00182643             -2.7384
                6.76          0.00180583            -2.74332
                6.77          0.00178547            -2.74825
                6.78          0.00176535            -2.75317
                6.79          0.00174546            -2.75809
                 6.8          0.00172581            -2.76301
                6.81          0.00170638            -2.76792
                6.82          0.00168718            -2.77284
                6.83          0.00166821            -2.77775
                6.84          0.00164945            -2.78266
                6.85          0.00163092            -2.78757
                6.86           0.0016126            -2.79247
                6.87          0.00159449            -2.79738
                6.88          0.00157659            -2.80228
                6.89           0.0015589            -2.80718
                 6.9          0.00154142            -2.81208
                6.91          0.00152414            -2.81697
                6.92          0.00150707            -2.82187
                6.93          0.00149019            -2.82676
                6.94          0.00147351            -2.83165
                6.95          0.00145702            -2.83653
                6.96          0.00144072            -2.84142
                6.97          0.00142462             -2.8463
                6.98           0.0014087            -2.85118
                6.99          0.00139297            -2.85606
                   7          0.00137742            -2.86093
                7.01          0.00136205            -2.86581
                7.02          0.00134686            -2.87068
                7.03          0.00133185            -2.87555
                7.04          0.00131701            -2.88041
                7.05          0.00130234            -2.88527
                7.06          0.00128785            -2.89014
                7.07          0.00127352            -2.89499
                7.08          0.00125936            -2.89985
                7.09          0.00124537             -2.9047
                 7.1          0.00123154            -2.90955
                7.11          0.00121787             -2.9144
                7.12          0.00120435            -2.91925
                7.13            0.001191            -2.92409
                7.14           0.0011778            -2.92893
                7.15          0.00116476            -2.93377
                7.16          0.00115186             -2.9386
                7.17          0.00113912            -2.94343
                7.18          0.00112652            -2.94826
                7.19          0.00111407            -2.95309
                 7.2          0.00110177            -2.95791
                7.21          0.00108961            -2.96273
                7.22          0.00107759            -2.96755
                7.23          0.00106571            -2.97236
                7.24          0.00105397            -2.97717
                7.25          0.00104236            -2.98198
                7.26          0.00103089            -2.98679
                7.27          0.00101956            -2.99159
                7.28          0.00100835            -2.99639
                7.29         0.000997279            -3.00118
                 7.3         0.000986334            -3.00598
                7.31         0.000975516            -3.01077
                7.32         0.000964823            -3.01555
                7.33         0.000954255            -3.02034
                7.34          0.00094381            -3.02512
                7.35         0.000933486            -3.02989
                7.36         0.000923283            -3.03467
                7.37         0.000913197            -3.03944
                7.38         0.000903229             -3.0442
                7.39         0.000893377            -3.04897
                 7.4          0.00088364            -3.05372
                7.41         0.000874016            -3.05848
                7.42         0.000864503            -3.06323
                7.43         0.000855101            -3.06798
                7.44         0.000845808            -3.07273
                7.45         0.000836624            -3.07747
                7.46         0.000827546            -3.08221
                7.47         0.000818573            -3.08694
                7.48         0.000809705            -3.09167
                7.49          0.00080094             -3.0964
                 7.5         0.000792276            -3.10112
                7.51         0.000783713            -3.10584
                7.52          0.00077525            -3.11056
                7.53         0.000766885            -3.11527
                7.54         0.000758617            -3.11998
                7.55         0.000750445            -3.12468
                7.56         0.000742368            -3.12938
                7.57         0.000734385            -3.13408
                7.58         0.000726494            -3.13877
                7.59         0.000718696            -3.14346
                 7.6         0.000710987            -3.14814
                7.61         0.000703368            -3.15282
                7.62         0.000695838            -3.15749
                7.63         0.000688395            -3.16216
                7.64         0.000681038            -3.16683
                7.65         0.000673767            -3.17149
                7.66          0.00066658            -3.17615
                7.67         0.000659476             -3.1808
                7.68         0.000652455            -3.18545
                7.69         0.000645516            -3.19009
