#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         61485.5         39316.3         1.41662         0.63944        0.738765               0           1e-30               0           1e-30
            8.3           43457         44041.3         2.03823         1.01344         1.17086               0           1e-30               0           1e-30
            8.5         30744.2         49381.4          2.9326          1.6062         1.85569               0           1e-30               0           1e-30
            8.7         21760.5         55394.8         4.21942         2.54566         2.94108               0           1e-30               0           1e-30
            8.9         15397.9         62124.3          6.0709          4.0346          4.6613               0           1e-30               0           1e-30
            9.1         10880.9           69577          8.7348          6.3944         7.38765               0           1e-30               0           1e-30
            9.3         7665.82         77688.9         12.5676         10.1344         11.7086               0           1e-30               0           1e-30
            9.5         5370.61         86262.7         18.0823          16.062         18.5569               0           1e-30               0           1e-30
            9.7         3726.72         94869.4         26.0168         25.4566         29.4108               0           1e-30               0           1e-30
            9.9         2545.47          102699         37.4329          40.346          46.613               0           1e-30               0           1e-30
           10.1         1694.86          108376         53.8584          63.944         73.8765               0           1e-30               0           1e-30
           10.3         1083.52          109809         77.4913         101.344         117.086               0           1e-30               0           1e-30
           10.5         649.545          104330         111.494          160.62         185.569               1         1458.67               1         1458.67
           10.7         351.886         89578.1         160.418         254.566         294.108               0           1e-30               0           1e-30
           10.9         162.593         65599.6         230.809          403.46          466.13               0           1e-30               0           1e-30
           11.1          58.495           37404         332.088          639.44         738.765               0           1e-30               0           1e-30
           11.3         14.1706         14361.2         477.808         1013.44         1170.86               0           1e-30               0           1e-30
           11.5         1.83111         2941.13         687.469          1606.2         1855.69               1         921.254               0           1e-30
           11.7       0.0869476          220.04         989.129         2530.72         2941.08               1         702.773               0           1e-30
           11.9     0.000840592          3.1971         1423.16         3803.39          4661.3               0           1e-30               0           1e-30
           12.1     6.50958e-07      0.00352086         2047.64         5408.74         7387.65               0           1e-30               0           1e-30
           12.3     9.22122e-12     6.71135e-08         2946.14         7278.16         11708.6               0           1e-30               0           1e-30
           12.5     2.30091e-19     2.13229e-15          4238.9         9267.17         18556.9               0           1e-30               0           1e-30
           12.7     2.47752e-31     2.76624e-27         6098.92         11165.4         29410.8               0           1e-30               0           1e-30
           12.9     3.22172e-50     4.10097e-46         8775.12         12729.1           46613               0           1e-30               0           1e-30
           13.1      4.5477e-80     6.24476e-76         12625.6         13731.7         73876.5               0           1e-30               0           1e-30
