#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
        3991      0.2778        8.85998       0.759151             MS
       12572         0.3        9.26998        1.23107             MS
        7114      0.4565        9.29994        4.50332             MS
        7041      0.3758        9.31994        3.09958          mixed
       15220      0.4102        9.33001        1.55395             MS
       14562       0.295        9.38987        1.11527             MS
        1102      0.4724        9.38987        3.57477             MS
        6221       0.443        9.38987        1.37266             MS
        4499      0.4547        9.41996        4.22002             MS
       11019      0.2008        9.42991        1.10666             MS
        5814      0.4587           9.46        3.09694             MS
        9041      0.4084        9.49996        2.03368             MS
        8965      0.4103        9.52994        2.66529             MS
        7963      0.2988        9.55991        2.38217             MS
        4625      0.4866         9.5799        8.03419             SB
        1633        0.32         9.5799         4.3147          mixed
       17911      0.2017        9.58995        2.91418          mixed
       12054      0.4587        9.58995         3.7859             MS
       11622      0.4748        9.62992         4.4609             MS
        9553      0.2069        9.62992        1.25331             MS
       13908      0.2542        9.62992        1.39601             MS
        6186      0.4742        9.62992        3.44589             MS
       12078      0.4742        9.63998        5.18299             MS
       13593      0.2024        9.63998        2.58041             MS
        2266      0.2712        9.68993        2.20452             MS
       14743      0.4109        9.69992        6.79912          mixed
       12675      0.4537        9.69992         4.3465             MS
        8776        0.42        9.70995        1.88324             MS
        6084      0.3059        9.70995        17.5049             SB
       14834       0.202        9.71999       0.265884             MS
       10331      0.4473        9.72997        2.75108             MS
        2295      0.2767        9.74997       0.616787             MS
       10763       0.484        9.78197        3.95547             MS
        9167      0.4774        9.79197        2.17383             MS
        6015      0.4439        9.81198        2.97221             MS
        2141       0.284        9.82197        2.32894             MS
        5735       0.484        9.82197        4.10656             MS
       11245      0.4745        9.83193        9.21633          mixed
        5375      0.4879        9.89193         4.4829             MS
       12848      0.4569        9.90195        3.43519             MS
       10970        0.41        9.90195        1.95251             MS
        3742      0.4375        9.90195        5.64167             MS
       18342      0.2761        9.91196        4.59429             MS
       15306       0.411        9.92195        5.21933             MS
       14632      0.4225        9.94196        16.5184             SB
       12690      0.4579        9.95197        3.04103             MS
       15599      0.3371        9.97197        4.28791             MS
        2893      0.4545        9.98195        7.15446             MS
        1143      0.2804        10.0022        1.37044             MS
        2463      0.2113         10.012        2.47959             MS
        1434      0.4852         10.022        4.37144             MS
       12943       0.432        10.0318        3.39357             MS
       10341      0.4845        10.0519        9.12176             MS
        5822      0.2777        10.0618        2.77079             MS
        8704      0.2533        10.0719        1.75054             MS
       11449      0.4843        10.0719        3.42093             MS
        2094      0.4379        10.0821        13.6099          mixed
       12124       0.286        10.0821        4.36858             MS
       15244       0.483         10.092        5.67508             MS
        5853      0.2986        10.1219        2.95813             MS
        5346      0.4574        10.1421        16.5155          mixed
       16656      0.4097        10.1421        2.06183             MS
       10808      0.4362        10.1421        7.98107             MS
       17339      0.4751         10.152        7.65621             MS
       15970      0.4099         10.162        3.56157             MS
        4777      0.4381         10.172        2.95418             MS
        5526      0.3766         10.172        3.10753             MS
       11006      0.4757         10.172        5.02497             MS
       16543       0.425        10.2019        24.7964             SB
        9862      0.4226         10.232        3.06409             MS
       12976      0.4568         10.232        3.70133             MS
        6984      0.4759        10.2519        3.25391             MS
        7698      0.3766         10.262        2.85358             MS
        3870       0.253        10.2718        9.50612          mixed
       17050       0.435         10.292         18.385          mixed
        3526      0.4381        10.3019        2.70275             MS
       12030       0.458         10.342        3.08649             MS
        4663      0.2995         10.352        3.27012             MS
       15630      0.4111         10.372        12.1372             MS
       11550      0.4725         10.382        2.58834             MS
        9077      0.2995         10.392        5.48428             MS
       12396      0.3985         10.392        3.56194             MS
        4486      0.3767        10.4619        6.16045             MS
        4955      0.3551        10.4619        3.46612             MS
        5028      0.2537        10.4619        4.52898             MS
       13542      0.2759         10.472        7.54369             MS
        9401      0.4855         10.472        9.41373             MS
       11063      0.4546         10.512        5.08494             MS
       15174      0.4099        10.5219        21.2573          mixed
       11735      0.4733        10.5219        28.5836          mixed
       11388       0.485        10.5619        2.55018             MS
        2256      0.2775        10.5819        11.5311             MS
        2327      0.2733        10.5819       0.784184             MS
       16865       0.475        10.6119        13.8349             MS
       13543      0.2754         10.632        3.81374             MS
        5097      0.4844         10.632        5.52323             MS
        5530      0.4842         10.642        8.97606             MS
        3196       0.233         10.712        3.56289             MS
       10555      0.4784         10.772        6.22175             MS
        6005      0.4396         10.872        12.2632             MS
       12931        0.41        10.8919         17.315             MS
       12764      0.4573         10.912        43.1145             MS
        5023       0.278         10.942         13.972             MS
        4267      0.4547        11.0022        5.25157             MS
        5325      0.4372        11.0022         22.931             MS
        7925      0.3771        11.2219        4.67348             MS
         692       0.281         11.292        3.40555             MS
