#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
        4865       0.851        6.81994         21.499             SB
       15907       0.513        7.63998        2.20337             SB
         885      0.9032        8.15987        14.7975             SB
       16289      0.7898        8.21985        7.73955             SB
       11086      0.5131        9.01995        4.37811             SB
        5747        0.89        9.02979        14.9466             SB
        2841      0.7433        9.03181        22.8995             SB
       15204      0.5619        9.26007        4.68464             SB
        7489        0.53        9.34986         2.8153             MS
        9101      0.5763        9.34986        4.62028          mixed
        8326      0.6973        9.36003        4.26747          mixed
        8035      0.5196        9.38987         3.8237          mixed
        6311       0.502        9.44994        2.57149             MS
        2234      0.5072        9.49996        2.79379             MS
        2408      0.5287        9.52994        3.34453             MS
        4589      0.7435        9.52994        7.76368          mixed
        1104      0.5948        9.52994        5.06749          mixed
       10487      0.7455         9.5799        6.40536             MS
       13970       0.519        9.59999        2.48591             MS
       14040      0.7843        9.59999        6.91855             MS
        2518      0.6342        9.59999        4.62201             MS
        5882      0.5035        9.61993        2.77674             MS
       15232      0.8579        9.63998        12.8861          mixed
        4722      0.6807        9.63998        6.73638             MS
        8771      0.5022        9.64992        2.53674             MS
        5898        0.85        9.65992        6.78465             MS
        9437      0.5195        9.66997        2.40519             MS
        3679      0.5032        9.66997        5.30187             MS
        6438       0.504        9.67997        2.58888             MS
       15747        0.75        9.67997        9.89836          mixed
        2056      0.7781        9.68993        8.67339             MS
       18496       0.899        9.69992        9.91729             MS
       11415       0.847        9.71999        11.0257          mixed
        7920      0.8398        9.71999        14.0784             MS
       10484       0.559        9.71999        4.64292             MS
       14229        0.85        9.72997        10.1565             MS
        5147       0.563        9.74997        8.50123          mixed
        9538      0.7609        9.75997        7.80853             MS
        7532       0.938        9.78197        9.18917             MS
        6845       0.566        9.78197        8.59081          mixed
        8551      0.9365        9.78197        9.13385             MS
        5170      0.6821        9.79197        7.24046             MS
       17661       0.596        9.80195        6.35857             MS
       17676       0.559        9.80195        11.1732          mixed
       16264      0.7473        9.81198        7.16892             MS
        4022       0.783        9.82197        12.6059             MS
       14673       0.936        9.84198        20.3397             MS
       10311      0.5344        9.85193        6.88447             MS
       15909       0.905        9.85193        8.90743             MS
       17608        0.61        9.85193        6.81362             MS
       18350      0.5843        9.86195        4.63173             MS
       15575       0.509        9.86195        4.47575             MS
        8919       0.667        9.86195        8.36256             MS
       18166      0.8408        9.87198        12.0615             MS
        5238       0.909        9.88195        15.4938          mixed
       16197      0.6385        9.89193        7.05295             MS
        9185       0.851        9.89193        7.11654             MS
       15153      0.6337        9.90195        12.8781          mixed
        8474       0.912        9.91196        27.9388             SB
       15267      0.7614        9.92195        6.52855             MS
        8332       0.821        9.93197        9.50657             MS
        8051      0.7834        9.93197        9.01644             MS
        5766       0.607        9.94196         4.8711             MS
       14920      0.9481        9.94196        15.0892             MS
       11808       0.557        9.94196         18.558             SB
        1930       0.937        9.95197        41.5396             SB
        6641      0.8524        9.96194        8.39641             MS
        9440       0.518        9.96194        2.73814             MS
        8092      0.5238        9.96194        7.13394             MS
       13250      0.8619        9.97197        11.8177             MS
        3081         0.8        9.97197        8.31601             MS
        4226      0.9437        9.98195        14.1115             MS
       16984      0.5132        9.98195        20.7073             SB
        8535       0.849        9.98195        7.87687             MS
       13090      0.9365        9.98195        15.3206             MS
        9928       0.511        9.98195        5.82868             MS
        9371      0.8619        9.99193        9.45286             MS
        5187      0.5024        10.0022        10.3638          mixed
        5007      0.7783        10.0022        16.7448          mixed
        2825      0.6809        10.0022        7.94383             MS
       11317      0.8988        10.0022        5.44311             MS
        7907      0.8785        10.0022        12.2882             MS
       17110      0.8405         10.012        8.19764             MS
       11891       0.887         10.012        9.63567             MS
       17086      0.7038         10.012        11.6747             MS
       17169      0.9044         10.022        21.2694          mixed
        6290       0.501         10.022        2.85046             MS
        7996      0.8392         10.022         18.155             MS
        4050      0.9048         10.022        15.6654             MS
        6827        0.97         10.022        17.1648             MS
       10159      0.5561        10.0318        10.3159             MS
        6065      0.8402        10.0318        11.0051             MS
        4917      0.9414        10.0318        13.0589             MS
         620         0.8        10.0418        8.64461             MS
        8105      0.9378        10.0418        14.1955             MS
       10523        0.96        10.0418        16.5696             MS
         552      0.5045        10.0519        5.35119             MS
       11165      0.8493        10.0519        14.9178             MS
       16284      0.5177        10.0519        6.56935             MS
       13251      0.6555        10.0519         45.887             SB
       14310      0.5594        10.0618        4.76346             MS
       10345      0.9588        10.0719        17.7592             MS
        9921      0.7936        10.0719        8.69214             MS
        7711      0.6817        10.0719        9.09995             MS
       16501       0.956         10.092        13.4347             MS
        7178       0.936         10.092        25.9009          mixed
       14610      0.9784         10.092        12.7537             MS
       14906       0.969        10.1021        21.8163             MS
        1533       0.746        10.1119        17.9845          mixed
       11654      0.9089        10.1119        13.0032             MS
        2878      0.9544        10.1219        20.0284             MS
        2670       0.947        10.1219        10.6499             MS
       17213       0.934        10.1219        84.7153             SB
        9691      0.8494        10.1219        9.50665             MS
       15647      0.6346        10.1319        9.26269             MS
        1293      0.7939        10.1319        9.26433             MS
        7099       0.795        10.1421        9.47939             MS
       15316      0.9365        10.1421        11.8073             MS
       17277      0.5553         10.152        5.19053             MS
        6383       0.913         10.152        44.9758             SB
        1491       0.837         10.162        17.8971             MS
        7895      0.8799         10.172        13.3665             MS
        7236      0.5124         10.172        9.89442             MS
        8544       0.821         10.172        37.9264             SB
        8054      0.6827        10.1818        6.70254             MS
        3572      0.8391         10.192         37.857             SB
       17418      0.8453         10.192        9.52273             MS
       13866       0.779        10.2019        20.9931             MS
        3484      0.8471        10.2019        10.9664             MS
        4738        0.93        10.2019        10.2084             MS
       11398       0.634        10.2019        4.39576             MS
       12262      0.8418        10.2119        10.3858             MS
        8691      0.7969        10.2119         14.212             MS
       16251      0.5284        10.2219        18.3664          mixed
        7196      0.6393        10.2219        47.7553             SB
        9824      0.7517         10.232        16.3858             MS
        4268      0.5556         10.232        10.3831             MS
       17056       0.955         10.232         16.979             MS
        7320       0.917         10.232        12.6814             MS
        1724      0.9809         10.242         10.896             MS
       16433      0.9542         10.242        8.33605             MS
       15170       0.696        10.2519        5.79964             MS
        6710      0.7837        10.2519        22.7891             MS
       15703      0.9362        10.2519        50.8798             SB
        4846       0.575         10.262        5.10893             MS
       17784      0.5178        10.2718          4.055             MS
       18325      0.6344        10.2718        20.1234          mixed
        6012      0.8517        10.2819        16.7524             MS
        4314       0.679        10.2819        15.8181             MS
       14557      0.7798        10.2819        20.6651             MS
       12142      0.6319        10.2819        5.79149             MS
       15264      0.7469         10.292        10.2767             MS
        3022       0.955         10.292        15.7526             MS
       11946       0.562         10.292        6.07196             MS
        8483      0.8495        10.3019        8.19914             MS
       11710      0.6419        10.3019        11.9652             MS
       12106      0.6393        10.3019        4.98652             MS
        1567      0.6338         10.312        7.98216             MS
       12847       0.841         10.312        21.0668             MS
        8668       0.761         10.312        34.2682          mixed
        5055       0.639         10.312        11.7762             MS
       16202       0.874         10.322        12.9252             MS
       13300       0.842         10.322         15.689             MS
       13036      0.5035         10.322        3.16633             MS
       11737      0.5565         10.322        6.61258             MS
        5604      0.8498         10.332        11.8537             MS
       17220      0.7152         10.332        10.0765             MS
       17380      0.6422         10.352        4.63621             MS
        9353      0.9436         10.352        16.6547             MS
       11854      0.9093         10.352        15.9389             MS
       17157      0.7659         10.352        8.87739             MS
       17098      0.5609        10.3619        12.5082             MS
       13698      0.9628        10.3619        12.2034             MS
        4211       0.683         10.372        19.2757             MS
        5879      0.6801         10.372        14.7634             MS
        5438        0.85         10.372        9.18574             MS
       15625       0.748         10.372        11.5305             MS
       10162       0.851         10.382        10.1533             MS
       18703      0.6348         10.392        17.5875             MS
        7630       0.851         10.392        39.1395          mixed
        3883        0.74        10.4019        11.8961             MS
       14796      0.9399         10.412        39.3058          mixed
        8753      0.5575         10.412        7.68533             MS
        8047       0.679         10.412        14.7007             MS
        9124      0.5199         10.412        7.47699             MS
       10392      0.9377        10.4219         16.157             MS
       13205      0.7657        10.4219         15.532             MS
       17219       0.519        10.4219        2.51017             MS
       13507       0.788         10.432        15.8623             MS
         893        0.94         10.432        23.2037             MS
       11052       0.845         10.432        21.5853             MS
       13337       0.838         10.432        11.7874             MS
       12682       0.963         10.442        58.6466          mixed
        7908       0.561         10.442        9.93724             MS
       16980       0.841         10.442         25.962             MS
       11461       0.936        10.4519        23.9267             MS
        8539      0.8494        10.4519        28.3649             MS
       16456       0.514        10.4519        4.77474             MS
         532      0.9746        10.4619         43.647             MS
        7172      0.9456         10.472        25.0791             MS
        6092      0.9448         10.472        11.3113             MS
       10669       0.846        10.4919        6.47028             MS
        8267       0.799        10.4919        12.9023             MS
        7598      0.8498        10.4919        31.8655             MS
         374      0.8178        10.4919        11.4287             MS
        5358       0.503        10.4919        4.25037             MS
        3658         0.8         10.502        16.8927             MS
        1002       0.948         10.502        12.1212             MS
        6073      0.8541         10.512        7.97375             MS
       12656      0.9057         10.512        10.5314             MS
       11807       0.848         10.512        31.2941             MS
        2739       0.972         10.512        20.8124             MS
        3075      0.5706        10.5219        6.27116             MS
        5168       0.514         10.532        7.10257             MS
        7045      0.8487         10.542        10.7519             MS
       18160       0.906         10.542        13.6627             MS
        5296       0.956        10.5519        8.94352             MS
        5976      0.7452        10.5519        5.68538             MS
       17631      0.8433        10.5519        31.3272             MS
         939       0.947        10.5719        39.6845             MS
       13810       0.556        10.5719        9.11065             MS
       15218      0.9346        10.5719        13.5274             MS
       10495      0.5562        10.5719        6.84839             MS
        9294      0.5111        10.5819        4.13596             MS
       15063       0.679        10.5819        17.8455             MS
       15888      0.9351        10.5819        18.9718             MS
        4592      0.6943         10.592        8.56012             MS
       12806       0.928         10.602        19.5082             MS
       14289      0.6382        10.6119        58.2521             SB
       14137      0.9379        10.6119        30.9214             MS
        9391      0.7803        10.6219        20.3823             MS
        9012        0.94        10.6219        24.9265             MS
       15381       0.937         10.632        12.8582             MS
        9252      0.5605         10.632        10.4244             MS
       12206       0.975         10.652        43.2527             MS
       13088      0.7836         10.652         10.463             MS
       14458      0.6378         10.652        9.11268             MS
        3087      0.8409         10.652        38.9493             MS
        6352      0.6813        10.6619        9.28315             MS
        9514      0.5174        10.6719        4.32085             MS
       17051      0.7913         10.682        15.9899             MS
       13232      0.9032         10.682        55.0224             MS
        6464      0.8484         10.682        13.1063             MS
         737       0.585         10.692        12.0939             MS
        6090       0.848         10.692        35.9386             MS
        4255      0.5739        10.7019        7.17391             MS
        1880       0.858        10.7019        10.3964             MS
        9433        0.78         10.712        12.9389             MS
        9071      0.6766        10.7619        14.0935             MS
       12852      0.8517         10.782         19.438             MS
        6665       0.936         10.782        37.5935             MS
        1105      0.9441         10.782        17.0786             MS
        6296       0.975         10.812        75.7644             MS
       17244      0.9712         10.822        140.022             SB
        6409      0.9403        10.8519          14.81             MS
        2625      0.8352        10.8519        17.4106             MS
       17141       0.903        10.8519        153.185             SB
       15528      0.8448        10.8519        10.3433             MS
        5512      0.9438         10.862         25.959             MS
       15971      0.5183         10.872        13.8419             MS
        5348       0.975         10.872        48.4638             MS
         541       0.801         10.882        11.5426             MS
       15079      0.9782         10.882          21.04             MS
        9376        0.97         10.882         12.023             MS
        8662      0.9354        10.9019        18.1146             MS
       18597        0.84        10.9019        42.9502             MS
        7185       0.858        10.9219        59.0764             MS
       15902       0.637         10.942        45.0009             MS
       10582      0.8395        10.9619        10.8628             MS
       18044       0.595        10.9619        7.20689             MS
       17577       0.793         10.972        101.327          mixed
        5138      0.7041         10.972        6.41212             MS
       12524      0.9585         11.012        16.9343             MS
        9613      0.9369        11.0318        13.3444             MS
       10564       0.877        11.0318         38.145             MS
       17320      0.5603        11.0519        8.19218             MS
        1592      0.9376        11.0519         12.738             MS
        8065      0.5577        11.0719        3.92908             MS
       10093      0.8405        11.0719        19.7454             MS
       17190      0.9537        11.0821        48.0475             MS
        1006       0.946        11.1021        49.5722             MS
        8099      0.6419        11.1119        7.03969             MS
        4799      0.6407        11.1421        50.3254             MS
        3914        0.84        11.1818        40.2171             MS
        9367       0.948        11.2019        19.6243             MS
        9412      0.5639         11.232        3.48791             MS
       15481       0.851         11.242         12.081             MS
       12746      0.8477        11.2519        24.4566             MS
        6547        0.85         11.312        20.0887             MS
       16703      0.8457         11.312        18.1725             MS
       17186       0.907         11.322         22.816             MS
       12465      0.5625         11.382        18.5978             MS
