# _id    _ra           _de          zp_X   f24        df24    radio      eradio   _fch1    _dfch1   _fch2    _dfch2   _fch3    _dfch3   _fch4    _dfch4   spezX   KtotX   MassX   zq    source   distz     idz     goodArea  
# 
  281    189.3019714   62.3818092   4.57   -0.553     9.059   3.221      3.246    1.384    0.065    1.259    0.089    1.02     0.791    2.041    0.648    -1.0    25.11   10.9    -99   -99      4.004     -99     1         
  304    189.3004761   62.3809052   3.25   10.09      6.284   3.657      3.276    0.541    0.064    0.511    0.089    0.894    0.777    -0.044   0.643    -1.0    24.27   10.32   -99   -99      8.099     -99     1         
  319    189.3093719   62.3800697   3.28   12.6       5.798   1.355      3.265    5.767    0.056    6.696    0.084    6.953    0.666    7.355    0.59     -1.0    22.29   11.19   -99   -99      12.93     -99     1         
  381    189.3229218   62.3777237   4.21   64.75      7.672   3.189      3.001    5.735    0.05     5.177    0.077    9.257    0.554    6.572    0.543    -1.0    -99.0   11.95   -99   -99      4.109     -99     1         
  403    189.3319092   62.3766518   4.12   9.062      9.655   -0.4299    2.862    1.178    0.045    0.951    0.075    1.464    0.514    0.781    0.533    -1.0    24.69   10.35   -99   -99      5.643     -99     1         
  436    189.2788239   62.3753014   3.05   11.55      7.132   -0.3839    2.921    1.883    0.073    2.841    0.093    5.41     0.904    3.19     0.672    -1.0    25.02   11.05   -99   -99      5.663     -99     1         
  437    189.2796173   62.3745041   3.09   28.48      7.858   5.388      3.0      5.552    0.068    7.142    0.092    9.976    0.803    9.022    0.661    -1.0    23.46   11.2    -99   -99      7.532     -99     1         
  450    189.306076    62.3745461   4.27   18.99      6.047   2.485      2.978    3.107    0.05     2.659    0.076    3.399    0.566    1.809    0.544    -1.0    23.01   10.49   -99   -99      12.18     -99     1         
  457    189.3467712   62.3745041   4.12   13.6       6.103   3.861      3.023    1.538    0.042    1.379    0.077    1.5      0.484    0.511    0.547    -1.0    24.56   10.38   -99   -99      18.66     -99     1         
  468    189.3604889   62.3730621   4.39   18.63      7.413   1.957      3.006    3.744    0.042    3.635    0.082    4.532    0.487    4.156    0.585    -1.0    24.22   10.85   -99   -99      3.552     -99     1         
  470    189.2543945   62.3741379   3.33   -0.553     8.411   3.964      2.924    -0.315   0.153    0.404    0.125    0.132    1.969    0.142    0.892    -1.0    24.98   12.25   -99   -99      16.7      -99     1         
  534    189.3414612   62.3714142   2.75   -0.5525    7.188   2.168      3.008    0.582    0.041    0.572    0.073    0.619    0.468    0.798    0.518    -1.0    24.16   10.06   -99   -99      6.097     -99     1         
  576    189.2645416   62.3696938   4.39   10.28      11.88   -0.3762    2.881    2.623    0.069    1.808    0.094    2.926    0.876    2.891    0.676    -1.0    25.03   10.72   -99   -99      4.707     -99     1         
  685    189.3028717   62.3664894   4.21   13.34      6.657   1.837      2.83     1.671    0.045    1.938    0.072    1.638    0.498    1.921    0.513    4.378   23.22   10.59   2     72       0.4889    26446   1         
  714    189.2978668   62.3654289   4.41   49.44      6.976   10.61      2.86     4.295    0.044    3.082    0.073    3.348    0.502    4.694    0.516    4.058   22.77   10.61   1     72       0.1056    25997   1         
  772    189.3240051   62.3635101   2.98   5.513      8.584   -0.4088    2.786    2.974    0.04     3.32     0.07     3.678    0.446    3.533    0.496    -1.0    23.13   10.46   -99   -99      11.68     -99     1         
