#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              1        8.12385              6        3.39474        1.34221        6.18369        3.32523        1.83739            -99
              0        2.51166             18              0        2.51166            -99            -99            -99            -99
              0        1.49168             35        1.49168            -99            -99            -99            -99            -99
              1        11.0206             36        8.65732        6.37485        2.42177            -99            -99            -99
              0          3.954             38     2.4259e-05        1.28636        2.27997        2.10742        1.97068       0.675523
              0        1.43281             44        1.43147    9.42765e-06    1.92617e-07    6.44124e-08      0.0618486     1.2724e-10
              0     2.6209e-05             48    2.52812e-05    6.91183e-06            -99            -99            -99            -99
              0        1.77638             50        1.77638    1.76733e-05            -99            -99            -99            -99
              0     1.5649e-05             56            -99     1.5649e-05            -99            -99            -99            -99
              0        2.17726             64       0.424299        2.13551            -99            -99            -99            -99
              0    4.11041e-05             65     3.9127e-05    1.25945e-05            -99            -99            -99            -99
              0       0.714345             91       0.714345    1.21458e-05            -99            -99            -99            -99
              0       0.267141             95       0.267141    1.38041e-05            -99            -99            -99            -99
              1        5.09227            106         3.1063    0.000573529         3.1015        2.42818            -99       0.875614
              0        4.26283            107        4.26281        0.01419            -99            -99            -99            -99
              0        3.23793            112        2.26566        2.31321            -99            -99            -99            -99
              0       0.515001            123       0.515001    7.39657e-06            -99            -99            -99            -99
              0    3.86631e-05            126    3.67676e-05    1.19576e-05            -99            -99            -99            -99
              1        15.5027            127        9.64392         8.0004        8.74826          2.606            -99            -99
              1        8.03603            130    2.03239e-05       0.977664        4.19528        4.23077        5.30303    1.55474e-10
              0      0.0304629            132      0.0304629    1.65444e-05            -99            -99            -99            -99
              0        1.01687            135        1.01687     1.3524e-05            -99            -99            -99            -99
              0        2.85766            142        1.33066    1.13555e-05        2.42949       0.702237            -99    1.91547e-10
              1        6.62492            145         4.7372        4.46689        1.22287            -99            -99            -99
              1        8.99256            152        7.11941        4.21917        3.22461        1.40738            -99            -99
