#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
         6     1.03500     1.03500       9.700        1.85757   2.098316e-19        1.85757
        18    -1.00000     1.15820       6.100       5.859548      0.8339055       5.025643
        35    -1.00000     0.40100     101.000       5.084914        3.22876       1.856155
        36    -1.00000     0.30670       2.200      0.5137269    0.005631454      0.5080955
        38    -1.00000     4.21020     101.000       1.090569    0.002776424       1.087792
        44    -1.00000     3.51936      45.000       9.546092       4.572198       4.973894
        48    -1.00000     2.46538      25.000       1.460157      0.8453379      0.6148191
        50    -1.00000     1.18400       6.100       4.443772   1.189453e-17       4.443772
        56    -1.00000     2.16448      40.000        10.9135       0.525557       10.38794
        64    -1.00000     1.34867      12.100       3.234377      0.6090122       2.625364
        65    -1.00000     2.34630      40.000      0.9173601      0.3539507      0.5634094
        91    -1.00000     0.36500       9.700      0.7329798    0.004029685      0.7289501
        95    -1.00000     2.44440      45.000       3.984979        3.81449      0.1704891
       106    -1.00000     2.17254      40.000       4.876222      0.1395783       4.736644
       107    -1.00000     0.48330     101.000       3.519327     0.01962939       3.499698
       112    -1.00000     1.22550      12.100      0.3783469   1.990129e-20      0.3783469
       123    -1.00000     2.60525      45.000       5.820867       5.009305      0.8115623
       126    -1.00000     1.21130       9.700       12.06424       7.271701       4.792537
       127     0.58200     0.58200       4.900      0.4846128      0.1148219      0.3697909
       130    -1.00000     4.90780     101.000      0.5383901              0      0.5383901
       132    -1.00000     1.32050       9.700       9.275653       2.398546       6.877107
       135    -1.00000     1.17490       6.100      0.9352991     0.01715682      0.9181423
       142    -1.00000     2.39625      25.000       4.871099       1.021629        3.84947
       145     0.28000     0.28000       2.200       5.779528       3.728792       2.050736
       152    -1.00000     0.39770       3.300   9.484452e-05   3.278645e-06   9.156588e-05
       158    -1.00000     1.60996     101.000        2.79966       2.799559   0.0001001273
       162     1.25600     1.25600     101.000       1.474752    0.004807742       1.469945
       169    -1.00000     2.28624      40.000       6.162679       5.849414      0.3132647
       175    -1.00000     1.76148      25.000       3.470418         1.2412       2.229219
       179    -1.00000     1.79040      25.000       5.334681        0.15192       5.182761
       180    -1.00000     1.18020       6.100       2.059335     0.06005592       1.999279
       185    -1.00000     0.40100       6.100       3.061014              0       3.061014
       186     1.25900     1.25900       9.700       3.360502       1.099387       2.261115
       207    -1.00000     2.09560      25.000       23.24921       22.51174      0.7374715
       208    -1.00000     1.97570      35.000       2.209771       1.256563      0.9532081
       213     0.50440     0.50440       3.300     0.03450062   0.0002687408     0.03423187
       214    -1.00000     2.60528      50.000       3.232584       1.498556       1.734028
       216     0.15900     0.15900       2.200   7.324947e-06   2.451885e-19   7.324947e-06
       217    -1.00000     2.62848      40.000       3.489124       2.201012       1.288112
       227    -1.00000     0.91100      12.100       4.598968     0.01928437       4.579683
       239    -1.00000     3.06658      25.000       2.414799       1.318111       1.096688
       242    -1.00000     1.16447       6.100       1.157687     0.01963689        1.13805
       245    -1.00000     0.70530       4.900       7.723216      0.1903296       7.532887
       247    -1.00000     0.00100     101.000       7.736538   7.056118e-19       7.736538
       248     1.36300     1.36300      18.000        11.6405       10.02125       1.619248
       254    -1.00000     1.68000     101.000       15.08302       3.462759       11.62026
       255    -1.00000     1.29320       9.700       1.136272      0.8818383      0.2544334
       256    -1.00000     2.60477      25.000      0.2527872       0.252778   9.262918e-06
       257     2.43100     2.43100      45.000       22.97348       22.97256   0.0009163832
       262    -1.00000     0.32120       2.200       6.526385     0.02488127       6.501504
       264    -1.00000     2.24800     101.000       23.59805       16.57694       7.021111
       270    -1.00000     1.28245       9.700       7.055005       3.375512       3.679493
       277    -1.00000     2.52070      18.000        4.78053   0.0002731758       4.780257
       288    -1.00000     0.32130       9.700       1.793322     0.04513862       1.748183
       289    -1.00000     3.52350      50.000       0.906211   0.0004216575      0.9057894
       309    -1.00000     7.90100     101.000      0.1162123   0.0002862742       0.115926
       314    -1.00000     0.40100       4.900       4.215299   6.023696e-20       4.215299
       316    -1.00000     1.99882      30.000       3.081913      0.5378298       2.544084
       317    -1.00000     0.32860       3.300       1.967439     0.05436617       1.913073
       330    -1.00000     2.50168     101.000       3.869669      0.4113765       3.458292
       337    -1.00000     2.64000      45.000      0.3318547     0.03118898      0.3006658
       339    -1.00000     0.96180       6.100       0.803015    0.001166218      0.8018488
       340    -1.00000     1.43536      12.100       12.06952       9.478881       2.590643
       343    -1.00000     0.91260       6.100        1.41399      0.1303214       1.283669
       356    -1.00000     1.15510       6.100    0.004166751    0.004163808   2.942921e-06
       365    -1.00000     1.10380       6.100       1.382996       0.374547       1.008449
       368    -1.00000     0.87070       6.100       1.287866    0.004732023       1.283134
       371    -1.00000     7.90100     101.000       6.362391       6.105142      0.2572491
       374     0.81780     0.81780       9.700      0.1085132      0.1064209    0.002092301
       375    -1.00000     1.34136       9.700   5.954705e-05   5.306033e-05    6.48672e-06
       376    -1.00000     3.17470      25.000       10.58339   2.442514e-22       10.58339
       379    -1.00000     4.86420     101.000       12.02771       2.818776       9.208937
       381    -1.00000     3.74110      30.000       17.21815       7.286973       9.931176
       385    -1.00000     2.47361      35.000     0.08023698     0.08020631   3.067599e-05
       390    -1.00000     2.11181      35.000       5.346298      0.1709527       5.175346
       391    -1.00000     2.02120      35.000      0.3039462    0.008624069      0.2953221
       394    -1.00000     1.00100       6.100      0.5040713   8.791628e-18      0.5040713
       398    -1.00000     0.92370       6.100        1.76638       1.246954      0.5194257
       399    -1.00000     3.00030     101.000        3.76893       1.359299       2.409631
       401     1.25100     1.25100       9.700       10.26568       5.156339       5.109337
       407     1.52100     1.52100     101.000     0.05396607     0.05396293    3.14486e-06
       409    -1.00000     0.69970      12.100       6.065735     0.00947839       6.056256
       413    -1.00000     0.70330       4.900       2.214389      0.0392704       2.175118
       414    -1.00000     1.02020     101.000       5.255212      0.3309137       4.924298
       416    -1.00000     0.33580       4.900       2.453575      0.0389282       2.414646
       418    -1.00000     1.27040      18.000       6.845039       1.172112       5.672927
       421    -1.00000     1.11904       6.100       4.678565      0.5445504       4.134015
       428    -1.00000     1.08390       6.100       2.688037      0.4221977       2.265839
       429    -1.00000     0.95650     101.000       4.315182       1.429433       2.885749
       430     1.25300     1.25300      18.000         9.4017       6.595544       2.806156
