#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
6       1.373      0.1345       2.526       0.427       4.649        0.87        4.88       1.593       3.292       1.337        1.56      0.7214      0.3397      0.1733      0.1284     0.06747      0.1154     0.05756      0.1014     0.04696     0.02256     0.01218     0.02054     0.01136     0.01078    0.002482
18      0.3377      0.1298      0.6889      0.3592       1.385      0.8324       1.478      0.9722       1.047      0.7427      0.5305      0.3972      0.1228      0.0964     0.04704      0.0373     0.04229     0.03306      0.0372      0.0285    0.008339    0.006711    0.007702    0.006199    0.003428    0.002231
35       0.674      0.0247      0.9977      0.0383      0.8932      0.0351      0.4461      0.0177      0.1933      0.0077     0.06497     0.00258     0.01154    0.000455    0.004189    0.000166    0.003753    -6.1e-05    0.003287   -0.000303   0.0007618    3.07e-05   0.0007107   2.865e-05    0.003766   0.0001515
36       2.787       0.464       6.256       0.225       10.09        1.19        7.71       2.062       4.178       1.389       1.672       0.625      0.3455      0.1356      0.1313     0.05222       0.118     0.04296      0.1036     0.03302     0.02309    0.009205     0.02136    0.008495     0.02329    0.002205
38      0.2182     0.04925       0.511     0.09045       2.858      0.7575       7.918      0.6465       10.96       0.215       10.41       1.208       5.018       1.262       2.356       0.694       2.148       0.565       1.915      0.4205      0.4462      0.1495      0.4119      0.1382     0.01541    0.000455
44      0.2806      0.1008       0.557      0.2567       2.129       0.834       3.747       1.252       4.891       1.973       4.415       1.949       1.939      0.9195      0.8823      0.4277      0.8003      0.3672      0.7096      0.3002      0.1605     0.07903      0.1481     0.07293    0.007029    0.002596
48      0.1519     0.06509      0.3507      0.1143      0.9682      0.4627       1.571       1.017       1.631       1.176       1.211      0.9259      0.3855       0.309      0.1545      0.1252      0.1389      0.1112      0.1222     0.09609     0.02693     0.02189     0.02485      0.0202    0.002722    0.001939
50      0.3058     0.07275        0.74      0.2261       1.565      0.3515       2.155      0.6735       1.837       0.783       1.003      0.5291      0.2512      0.1534      0.0963      0.0604     0.08653      0.0525     0.07603       0.044     0.01697     0.01083     0.01568     0.01001    0.004092    0.001087
56     0.04522     0.02411      0.1147     0.05716      0.2787      0.2028      0.5317      0.4823      0.5934      0.5666      0.4676       0.456      0.1607      0.1581     0.06616     0.06514     0.05956     0.05859     0.05245     0.05154     0.01164     0.01144     0.01074     0.01056   0.0009185   0.0009185
64      0.1851     0.05255      0.5443      0.2616       1.311      0.6317       1.715      0.8969       1.414      0.8355      0.7477      0.4854      0.1816      0.1278      0.0689      0.0492     0.06187      0.0432     0.05432     0.03673     0.01202    0.008651      0.0111    0.007991    0.003416    0.001721
65      0.0887      0.0363      0.2288     0.07795      0.5897      0.2469      0.8731      0.4699      0.8756      0.5424      0.6246      0.4215      0.1892      0.1371     0.07471      0.0552      0.0672      0.0487     0.05912      0.0417     0.01312    0.009788     0.01212    0.009041    0.001573   0.0008921
91      0.4511      0.2852      0.6944      0.3666      0.9529      0.5442      0.7587      0.5353      0.4158      0.3206      0.1676      0.1359      0.0346     0.02896     0.01314      0.0111     0.01181    0.009872     0.01039    0.008561    0.002319    0.001948    0.002145    0.001798    0.002609    0.001414
95     0.03324     0.01204     0.09528     0.03762      0.2717      0.1164      0.3961         0.2      0.3833      0.2098       0.272      0.1629     0.08154     0.05326     0.03207     0.02148     0.02885     0.01881     0.02537     0.01592    0.005622    0.003819    0.005191    0.003527   0.0007241    0.000383
106      0.3326      0.1648        0.92      0.4821       2.099       1.423       2.893       2.217       2.504       1.986       1.565       1.262      0.4232      0.3435       0.161      0.1305      0.1444      0.1155      0.1266     0.09944     0.02737     0.02209     0.02526     0.02037    0.005127    0.004266
107      0.8759      0.3492       1.515      0.4555       1.595      0.5025       1.003       0.415      0.4853      0.2227      0.1805        0.09     0.03295     0.01677     0.01191    0.006045     0.01067    0.005105    0.009342    0.004105    0.002053    0.001018    0.001903   0.0009398    0.005737    0.001628
112      0.5207      0.2199        1.06      0.3888       2.139      0.5945       2.164       0.987       1.476      0.8596      0.6906      0.4464      0.1519      0.1062     0.05792     0.04141     0.05206     0.03641     0.04577     0.03104     0.01025     0.00748    0.009471    0.006909    0.005477    0.001548
123       0.134     0.06037        0.33      0.1586      0.9163      0.3597       1.521      0.7599       1.656      0.9312       1.279      0.7688      0.4298       0.272      0.1766      0.1139       0.159     0.09953        0.14     0.08398       0.031     0.02022      0.0286     0.01866    0.002722    0.001386
126      0.2896     0.05725      0.6186      0.2384       1.354      0.6928       1.975       1.251       1.747       1.233      0.9863      0.7477      0.2531      0.2033      0.0974      0.0791      0.0876     0.07025     0.07703      0.0607     0.01723     0.01409     0.01592     0.01302    0.003678    0.002263
127       2.149       0.216       4.606       0.104       7.963      0.4165       6.881      0.6965       3.869      0.4865       1.598        0.23      0.3284      0.0525      0.1242     0.02045      0.1116     0.01315     0.09805      0.0053     0.02173    0.003695     0.02009    0.003415      0.0193     0.00079
130      0.4701       0.351      0.8279      0.5861       2.299       1.337       5.777       1.258       8.412      0.5985       8.846       1.111       5.014       1.256        2.53       0.757       2.325      0.6295       2.094       0.486      0.5192      0.1857      0.4798       0.172     0.01109    0.000935
132      0.1644      0.0278      0.3827     0.09255      0.8822      0.2518        1.22      0.5815       1.062      0.6116      0.5957      0.3848      0.1524      0.1069      0.0586      0.0418     0.05269     0.03675     0.04632     0.03132     0.01035    0.007468    0.009567    0.006903    0.002406    0.000903
135      0.1722      0.0546      0.4507      0.2486       1.032      0.6295       1.412      0.9469       1.195       0.854      0.6445      0.4896      0.1584      0.1265      0.0602     0.04849     0.05407     0.04296     0.04748     0.03703     0.01052    0.008517    0.009716    0.007864    0.002752    0.001835
142      0.6185      0.2413       1.135       0.243       2.466      0.6235       3.638       1.706       3.537       1.982       2.549       1.587      0.7972      0.5389      0.3183      0.2195      0.2864      0.1926      0.2519      0.1635     0.05565     0.03854     0.05137     0.03557    0.006029    0.003525
145       1.242       0.145       2.712      0.0325       4.011       0.365       2.683      0.4165       1.367      0.2575      0.5226      0.1108      0.1061     0.02465     0.04012    0.009575     0.03602     0.00705     0.03163    0.004335    0.007055    0.001687    0.006533    0.001558    0.009533   0.0003895
152       2.114        0.64       4.125      0.2495       6.134       1.379       4.726       2.036       2.582       1.329       1.041      0.5962      0.2146      0.1305     0.08147     0.05034     0.07321     0.04369     0.06439     0.03658     0.01431     0.00892     0.01324    0.008234     0.01554    0.001775
158       1.658       0.601        3.75       0.355       7.446       0.725       9.041       2.419       7.327       2.593        4.17       1.855       1.055      0.5328      0.3955      0.2026      0.3546      0.1717      0.3107      0.1386     0.06817     0.03533     0.06297     0.03266     0.01807    0.004605
162       8.395      0.7985       22.17        0.43       39.33       0.505       35.85        0.85       23.42        0.64       10.39       0.295        2.13      0.0605      0.7748      0.0216      0.6934    -0.02025      0.6065    -0.06495       0.131     0.00355       0.121     0.00325     0.09972     0.00348
169     0.06243      0.0245      0.1913     0.08195      0.5189      0.2313      0.7406      0.3604      0.6792      0.3498      0.4738      0.2679      0.1423     0.08857     0.05598     0.03586     0.05036     0.03127     0.04428     0.02633    0.009808    0.006392    0.009057    0.005903    0.001407   0.0006712
175      0.4607       0.126       1.172      0.2661       2.455      0.7815       3.407       1.349       3.012       1.355       1.826      0.9201      0.4936       0.273      0.1902      0.1079       0.171     0.09288      0.1502     0.07673     0.03333     0.01926     0.03079      0.0178    0.006124    0.002561
179      0.4012      0.0567       1.231       0.056       3.054      0.1955       4.115        0.25       3.454      0.2415       1.918       0.163      0.4778     0.04825       0.179       0.019      0.1605      0.0088      0.1406    -0.00215     0.03057      0.0034     0.02822     0.00314     0.00816   0.0006155
180      0.2606      0.0882      0.5942      0.2906       1.335      0.7408       1.653       1.029       1.288       0.888      0.6492      0.4779      0.1504      0.1165      0.0567      0.0443     0.05087     0.03913     0.04465     0.03359    0.009858    0.007762     0.00909     0.00718    0.003439    0.002084
185      0.6844      0.4546        1.08      0.5549        1.79      0.8574       1.828       1.324       1.547       1.329       1.043      0.9694       0.315       0.302      0.1253      0.1205      0.1126      0.1081     0.09896     0.09473     0.02163     0.02079     0.01996     0.01917    0.003735    0.002521
186      0.4574     0.07285      0.9912      0.3178       2.054        0.78       2.501        1.03       1.948      0.8275       0.959      0.4461      0.2166      0.1083     0.08153     0.04167     0.07321     0.03542     0.06425     0.02868     0.01425    0.007414     0.01315    0.006847    0.005069    0.002205
207     0.09249     0.01861      0.3191      0.0792      0.9187      0.2543       1.387      0.4498        1.29      0.4839      0.8169      0.3451      0.2274      0.1078     0.08788     0.04313     0.07901     0.03657     0.06942     0.02948     0.01538    0.007789      0.0142    0.007196    0.002585   0.0007755
208      0.1122     0.04002      0.3768      0.1416      0.9973      0.4347       1.425       0.691       1.264      0.6567      0.7343      0.3858      0.1911      0.1027     0.07405     0.04095     0.06654     0.03515     0.05852     0.02897     0.01298    0.007356     0.01199    0.006798    0.002725    0.001296
