#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6       9.243       8.752       3.432       18.62       19.59       4.715       28.35       1.283       1.035           0
18       1.592       1.773       1.773       6.735       7.349       5.897       8.181       5.544       1.018      0.1799
35           0     0.00591     0.00591      0.6659        0.64     0.02589      0.6457     0.02022       0.401           0
36    0.004621        1.86        1.86       2.542       4.692       3.253       5.761       4.289      0.3667        0.12
38           0       23.62       23.62       641.2       519.2         122       537.7       138.1        3.78        0.43
44       11.54       5.924       5.924       233.6       238.5       85.06       245.7       82.05       3.498      0.0655
48           0       10.07       10.07       40.61        38.4       27.87       43.71       22.56        2.26       0.293
50       1.491       1.943       1.943       7.606       17.19       9.586       18.36       9.265         1.4       0.216
56           0       4.878       4.878       6.305       15.06       15.06       17.69       12.43        2.41       0.307
64           0      0.7635      0.7635       12.07       13.45        9.39       13.74       9.102        1.37       0.213
65       7.171       3.733       3.733       10.03       17.24       10.44       19.37       8.312        2.07       0.276
91     0.05597      0.0822      0.0822      0.2051      0.6169       0.428      0.6469       0.398       0.455        0.09
95        2.36        1.18        1.18       5.547       8.265       4.485        8.95       3.801        2.16       0.284
106       18.42       13.61       13.61       17.48       48.98       38.72       65.14       39.75        2.01       0.271
107     0.07458      0.2954      0.2954       1.515       3.002       1.912       3.268       2.037      0.6233        0.14
112      0.2285       1.361       1.361       17.46       11.26       6.804        11.5       6.566       1.045      0.1798
123       6.015       3.524       3.524       24.71       47.68       22.98       51.51       20.79       2.683       0.078
126       3.306       4.363       4.363       4.222       16.96       13.27        19.2       11.98       1.419       0.208
127           0       1.472       1.472       9.625       9.217      0.4081       10.51       1.304       0.582           0
130        28.8       253.7       253.7       636.5       661.7       275.4       762.6       343.8        4.42       0.488
132        1.78       1.634       1.634       4.899       10.98       6.207       11.87       5.317        1.47       0.149
135     0.08959       1.818       1.818       5.227       11.65       9.366       12.38       8.716        1.39       0.215
142       51.31       42.23       42.23       70.56        83.6       49.17       132.7       37.91       2.367       0.175
145           0      0.1297      0.1297      0.8714      0.8451     0.02629      0.9673      0.1244        0.28           0
152      0.2477       1.584       1.584       2.791       5.318       3.481       6.524       4.488      0.4677        0.13
158       61.03       35.03       35.03       66.62       137.2       77.23       155.4       60.32       1.814        0.23
162       42.24       27.84       27.84       250.9       255.6        8.94       283.4        18.9       1.256           0
169       2.032       1.222       1.222       9.935       13.33       6.046       13.86       5.517        2.04       0.274
175        8.19       13.27       9.436       39.83       40.49       15.64        54.9       9.823       1.762      0.0945
179       2.755        3.88        3.88       52.79       52.81       3.474       56.57       1.967       1.767       0.023
180           0       1.749       1.749       8.267       10.96       8.555       11.59        7.92        1.21        0.19
185      0.1884        25.2        25.2      0.8606       53.47       52.92       69.76       68.92       1.601         1.2
186       3.313       2.877       2.877       13.54       14.47       6.298       17.88       3.945       1.259           0
207           0      0.6149      0.6149       20.98       22.17         5.8       22.37       5.602       1.968       0.128
208           0       1.236       1.236       15.71       16.97       5.026       17.92       4.079       1.829      0.1475
213      0.8835       5.126       5.126       31.68       31.36       1.467          36       4.144      0.5044           0
214           0       20.21       20.21       97.09       102.5       73.88       119.8       56.64       2.699       0.094
216     0.07408      0.1126      0.1126      0.2668      0.2743     0.02361      0.3852      0.1104       0.159           0
217       5.541       33.31       33.31         140       122.3       59.45       153.3       43.99       2.646       0.088
227           0      0.4297      0.4297       3.996       3.701       2.388       4.307       2.243       0.921        0.01
239       13.15       9.876       9.876       38.45       94.26        65.4       107.1       66.92       3.242       0.293
242      0.7351      0.8471      0.8471        4.05       10.85       6.795        11.2       6.439       1.341       0.177
245           0      0.1448      0.1448       3.008       2.892        1.01       2.997      0.9045      0.7353        0.07
247           0   0.0002299   0.0002299   1.611e-06    0.004779    0.004778    0.004779    0.004778       0.041        0.04
248           0       1.097       1.097       13.24       14.27       5.934       15.23       5.868       1.363           0
254      0.1051      0.1626      0.1626       29.06       17.17       13.11       17.21       13.07         1.5       0.225
255       31.27       28.89       26.63       38.15       52.37       26.91       84.23       40.41       1.452       0.159
256       78.24       113.4       113.4       428.7       450.6         249       475.9       225.5        2.51       0.316
257       366.3       243.8       122.5       293.7       381.1        87.4       650.6       60.89       2.431           0
262      0.1257      0.1597      0.1009      0.3858      0.6784      0.3932      0.8224      0.4026      0.3712        0.05
264          15       11.22       11.22       57.16       53.97        33.3        64.7       37.71       2.342      0.1575
270       1.881       1.857       1.857        5.36       15.34       11.79       16.05       11.08        1.39       0.215
277           0        2.55        2.55        35.5       60.17       50.46       61.54       49.09        2.23       0.291
288     0.01948      0.1524      0.1524       0.701       1.293      0.8512       1.326      0.8186      0.3913        0.09
289       20.19       21.58       21.58       340.3       270.1         164       270.1         164        3.15       0.374
309           0       553.9       553.9        1658        1394        1065        1613        1252       5.751        2.15
314      0.2138      0.1645     0.06453      0.4914      0.6662      0.2458       0.836      0.1866       0.401           0
316           0       6.375       6.375        17.7       21.71       14.66       25.25       11.12        2.17       0.285
317     0.04759     0.07013     0.07013      0.9454       1.477      0.7075       1.545      0.7019      0.3886        0.06
330           0       2.231       2.231       64.26       63.53       42.13       63.73       41.93        2.38       0.304
337       5.667       5.554       5.554       7.953       44.74       36.79       47.58       33.96           3        0.36
339      0.4795       0.603       0.603       1.519       2.654       1.877       2.937       1.725      0.9719      0.1701
340     0.04449       1.078       1.078       11.55       11.71       6.236       11.74       6.208       1.435      0.1785
343      0.9741       1.527       1.527       6.318       6.701       3.377        8.19       3.132      0.8828      0.1302
356       8.366       18.28       16.32       26.22       28.23       11.57       40.99       17.92       1.248       0.093
365      0.3824      0.8835      0.8835       2.939       5.935       4.456       6.262       4.129       1.174      0.1901
368      0.4076      0.2337      0.2337       1.424       2.138       1.268       2.212       1.194      0.7607        0.15
371           0       138.7       138.7        1720        1075         645        1199       765.3       5.951        1.95
374      0.2072       5.044       5.044       10.78       9.779       1.476       14.24       4.156      0.8178           0
375       2.499       14.24       14.24       24.45       25.07       13.41       36.25       24.33        1.26       0.203
376           0       18.86       18.86       958.2       821.8       136.4       824.6       133.6       3.002      0.1725
379       80.42       68.91        37.1       499.5       425.5       110.6       471.7       121.3        4.38       0.484
381       87.63       90.38       14.04       325.7       328.1       48.98       424.1       57.37       3.835       0.094
385       23.17       89.75       89.75       201.1       261.8       169.5         311       164.7        2.57       0.321
390       9.125       5.396       4.667     0.04057       4.777       4.777       9.161       3.587        2.03       0.273
391       1.302       3.434       3.434       7.907       19.23        13.7       20.66       12.27        2.32       0.299
394      0.6965       4.115       4.115       5.887       15.31       14.86       16.12       15.51       1.151        0.75
398      0.6283      0.7778      0.7778      0.6481       1.468       0.987       2.149       1.079       1.044      0.1601
399       27.69        15.9        15.9         246       202.4       82.56       217.7       88.32       2.736       0.264
401      0.7097       0.682       0.682       7.651       9.316       2.332       9.887       1.761       1.251           0
407       50.43       88.75       88.75       169.4       169.6       47.02       243.6       68.09       1.521           0
409           0       0.179       0.179       3.949       3.503       1.455       3.508       1.449      0.6997        0.12
413           0      0.1129      0.1129       2.434       2.123       1.238       2.133       1.228      0.6233        0.14
414       0.303      0.6663      0.6663       7.337       10.86       5.034       11.59       5.113        1.16        0.14
416     0.01226      0.0759      0.0759       0.438      0.8054       0.553       0.839      0.5287      0.4158        0.08
418           0      0.5331      0.5331       10.42       10.54       4.416       10.57       4.388       1.292       0.108
421       0.656       1.063       1.063       3.636       8.758       6.204       9.337       6.031        1.24       0.202
428           0       1.059       1.059       3.362       8.414       6.821       8.795       6.441        1.29       0.206
429      0.5269      0.8803      0.8803       3.584       6.137       5.139       7.017       5.414       1.147      0.1903
430           0       0.149       0.149       8.441       7.271       1.224       7.411       1.084       1.253           0
431           0     0.08924     0.08924       2.721       2.642      0.5344       2.731      0.4452       0.676           0
432           0      0.3435      0.3435       1.977       3.098       2.163       3.334       2.249      0.7425        0.15
433    0.003405       8.089       8.089       0.451       64.26       64.26       66.03       66.03       1.701         1.7
