#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   1.425    2344   1.456
   0.400    1650    1656   0.714    1086   0.675
   0.800    2338     968   0.417     619   0.384
   1.200    2640     666   0.287     409   0.254
   1.600    2825     481   0.207     298   0.185
   2.000    2934     372   0.160     231   0.143
   2.400    2996     310   0.134     195   0.121
   2.800    3054     252   0.109     156   0.097
   3.200    3082     224   0.097     136   0.084
   3.600    3116     190   0.082     110   0.068
   4.000    3146     160   0.069      88   0.055
   4.400    3164     142   0.061      76   0.047
   4.800    3180     126   0.054      65   0.040
   5.200    3194     112   0.048      60   0.037
   5.600    3211      95   0.041      50   0.031
   6.000    3218      88   0.038      45   0.028
   6.400    3230      76   0.033      36   0.022
   6.800    3242      64   0.028      28   0.017
   7.200    3256      50   0.022      21   0.013
   7.600    3262      44   0.019      18   0.011
   8.000    3274      32   0.014      12   0.007
   8.400    3278      28   0.012      10   0.006
   8.800    3283      23   0.010       6   0.004
   9.200    3286      20   0.009       5   0.003
   9.600    3288      18   0.008       4   0.002
  10.000    3289      17   0.007       4   0.002
  10.400    3291      15   0.006       3   0.002
  10.800    3292      14   0.006       3   0.002
  11.200    3293      13   0.006       3   0.002
  11.600    3293      13   0.006       3   0.002
  12.000    3297       9   0.004       2   0.001
  12.400    3298       8   0.003       1   0.001
  12.800    3298       8   0.003       1   0.001
  13.200    3299       7   0.003       1   0.001
  13.600    3301       5   0.002       1   0.001
  14.000    3301       5   0.002       1   0.001
  14.400    3302       4   0.002       1   0.001
  14.800    3302       4   0.002       1   0.001
  15.200    3302       4   0.002       1   0.001
  15.600    3302       4   0.002       1   0.001
  16.000    3303       3   0.001       1   0.001
  16.400    3303       3   0.001       1   0.001
  16.800    3303       3   0.001       1   0.001
  17.200    3303       3   0.001       1   0.001
  17.600    3304       2   0.001       0   0.000
  18.000    3304       2   0.001       0   0.000
  18.400    3304       2   0.001       0   0.000
  18.800    3304       2   0.001       0   0.000
  19.200    3304       2   0.001       0   0.000
  19.600    3304       2   0.001       0   0.000
  20.000    3304       2   0.001       0   0.000
