#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   0.337    2344   0.345
   0.010      13    3293   0.336    2335   0.343
   0.020      17    3289   0.335    2332   0.343
   0.030      20    3286   0.335    2329   0.342
   0.040      25    3281   0.335    2324   0.342
   0.050      26    3280   0.334    2323   0.341
   0.060      29    3277   0.334    2320   0.341
   0.070      30    3276   0.334    2319   0.341
   0.080      32    3274   0.334    2318   0.341
   0.090      35    3271   0.334    2315   0.340
   0.100      37    3269   0.333    2313   0.340
   0.110      38    3268   0.333    2312   0.340
   0.120      40    3266   0.333    2310   0.340
   0.130      44    3262   0.333    2307   0.339
   0.140      46    3260   0.332    2306   0.339
   0.150      48    3258   0.332    2304   0.339
   0.160      52    3254   0.332    2300   0.338
   0.170      56    3250   0.331    2297   0.338
   0.180      56    3250   0.331    2297   0.338
   0.190      61    3245   0.331    2292   0.337
   0.200      63    3243   0.331    2291   0.337
   0.210      67    3239   0.330    2287   0.336
   0.220      70    3236   0.330    2285   0.336
   0.230      73    3233   0.330    2282   0.335
   0.240      76    3230   0.329    2279   0.335
   0.250      80    3226   0.329    2275   0.334
   0.260      85    3221   0.328    2272   0.334
   0.270      89    3217   0.328    2269   0.334
   0.280      93    3213   0.328    2266   0.333
   0.290      95    3211   0.327    2264   0.333
   0.300      96    3210   0.327    2264   0.333
   0.310     104    3202   0.327    2258   0.332
   0.320     107    3199   0.326    2255   0.331
   0.330     112    3194   0.326    2250   0.331
   0.340     116    3190   0.325    2246   0.330
   0.350     125    3181   0.324    2240   0.329
   0.360     127    3179   0.324    2238   0.329
   0.370     129    3177   0.324    2236   0.329
   0.380     136    3170   0.323    2230   0.328
   0.390     138    3168   0.323    2228   0.328
   0.400     149    3157   0.322    2218   0.326
   0.410     154    3152   0.321    2214   0.325
   0.420     160    3146   0.321    2208   0.325
   0.430     164    3142   0.320    2205   0.324
   0.440     169    3137   0.320    2201   0.324
   0.450     177    3129   0.319    2194   0.323
   0.460     179    3127   0.319    2193   0.322
   0.470     189    3117   0.318    2185   0.321
   0.480     197    3109   0.317    2177   0.320
   0.490     203    3103   0.316    2173   0.319
   0.500     207    3099   0.316    2169   0.319
