#       pix_max         pix_sum         pix_num              px              py             rad               id
#
              0               0          343.14         348.153           2.304          13.675              10
              0               0          588.36          20.025          14.534          13.675              11
     0.00012604      0.00052299          588.29         235.064          32.445          13.675              12
              0               0           586.8         320.951          43.006          13.675              16
              0               0          330.17         295.414           1.826          13.675              17
              0               0          588.12          25.387          57.024          13.675              18
     0.00015614      -0.0051725          587.53         188.887          54.219          13.675              19
              0               0          587.99         321.654          72.068          13.675              20
     9.6376e-05       0.0012931          586.71         180.363          13.872          13.675              21
              0               0          587.73          27.539          75.253          13.675              24
     0.00013115       0.0035442          587.14          90.530          85.473          13.675              26
     0.00018602       0.0045646          587.85         240.079          91.295          13.675              28
              0               0          587.48         363.750          90.936          13.675              29
     0.00017115       0.0022316           587.4          70.388         105.398          13.675              30
     0.00018624       -0.002936          587.73          99.636         112.948          13.675              31
     0.00016798       0.0048189          587.65         142.576         105.306          13.675              33
              0               0          429.95           5.591         129.194          13.675              35
     0.00027783        0.018519          587.76         240.860         148.296          13.675              37
     0.00017802       0.0042723          586.56         143.910         151.998          13.675              38
     0.00019388       0.0090513          586.85         142.968         162.886          13.675              39
     0.00017259      -0.0036876          587.52         124.450         150.332          13.675              41
     0.00021894      0.00088871          588.35         135.001         134.548          13.675              42
     0.00013958     -0.00070176          587.99          73.808         177.561          13.675              44
              0               0          530.06           9.973         178.785          13.675              46
      0.0001444     -0.00025931          587.78          89.255         172.001          13.675              47
      0.0001602      -0.0029803          587.67         140.215         184.084          13.675              48
     7.1607e-05        0.001483          587.57          25.649         187.625          13.675              49
     0.00029338        -0.00921          587.52         247.641         195.617          13.675              51
     0.00027695      0.00070611           588.2         283.493         196.883          13.675              52
              0               0          546.57         368.183         162.523          13.675              53
     0.00014395      -0.0016987          587.77         169.293         190.344          13.675              54
     0.00014213      0.00079949          587.58         344.807         218.117          13.675              58
     0.00013564       0.0004108          588.38         327.002         212.471          13.675              59
      0.0019258        0.027227          587.74         234.661         229.925          13.675              60
     0.00031617      0.00012174          587.87         260.764         226.632          13.675              61
     0.00021417       -0.002981          587.77         191.882         189.307          13.675              62
     0.00014578       -0.003971           587.6         165.187         169.775          13.675              64
     0.00013986       0.0056745          587.94          63.954         229.431          13.675              65
              0               0          526.77         369.210         141.090          13.675              66
      0.0033334        0.088157          587.91         246.438         216.785          13.675              67
     0.00018138       0.0020239          587.76         358.728         195.280          13.675              68
     0.00027324      -0.0013155          587.93         233.589         297.215          13.675              69
              0               0          588.11          70.519         293.174          13.675              70
              0               0          587.93          95.938         299.415          13.675              71
     0.00015683       0.0050073          587.81         127.746         290.693          13.675              72
              0               0          586.82          78.967         282.891          13.675              73
              0               0          587.68          93.306         309.923          13.675              74
     0.00020576      -0.0057593          587.71         308.209         271.007          13.675              76
     0.00023042       0.0030934          586.85         329.921         277.923          13.675              77
     0.00014198       0.0042127          587.36         116.568         235.380          13.675              78
              0               0          587.88          98.897         329.373          13.675              79
              0               0          587.33         314.565         336.387          13.675              80
              0               0          577.06          78.921         338.118          13.675              81
              0               0          587.73         127.929         334.665          13.675              82
     0.00017487      -0.0096221           587.7         291.264         286.536          13.675              83
     0.00023094       0.0016695          587.92         180.632         238.794          13.675              84
              0               0          586.06          13.818         292.087          13.675              86
