#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
160005     189.3565277   62.2904265       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           1
160006     189.1414198   62.2872247       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160007     189.0233353   62.2745852       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160008     189.0429218   62.2686627       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160009     189.0047201   62.2675651       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160010     189.5169962   62.2665024       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           1
160012     188.9815721   62.2605126       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160013     189.4839663   62.2480562       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160016     188.8920979   62.2287819       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160017     189.4483393   62.2222790       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160018     189.1407669   62.2147129       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           1
160020     189.3415551   62.2089541       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           1
160021     188.9504101   62.2053587       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160022     188.9026864   62.1899248       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160024     189.0304598   62.1687432       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160026     189.0017974   62.1345559       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
160027     189.1543782   62.1225656       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           1
160028     189.0256603   62.1192109       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99         -99         -99         -99           0
250001     189.1037974   62.0806559       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250002     189.3852772   62.3941753       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250003     189.2174244   62.3565401       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250004     189.1570051   62.3282273       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250005     189.3745724   62.3260127       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250006     189.0929604   62.3083303       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250007     189.3774092   62.3069121       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250008     189.2400866   62.3036721       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250009     189.4773185   62.2997066       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250010     189.2725235   62.2991200       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250011     189.3246159   62.2853636       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250012     189.2470294   62.2827363       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250013     189.4992862   62.2824094       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250014     189.0380181   62.2817966       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250015     189.2969167   62.2762733       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250016     189.4633441   62.2745979       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250017     189.4062127   62.2727971       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250018     189.1244597   62.2601235       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250019     189.3758515   62.2507405       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250020     189.2870868   62.2458005       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250021     188.9521922   62.2399390       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250022     189.5699557   62.2457829       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250023     189.5167688   62.2347643       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250024     189.1844299   62.2345973       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250025     189.1577961   62.2283798       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250026     189.5551325   62.2367875       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250027     189.5024037   62.2254044       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250028     189.4885733   62.2072250       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250029     189.4475234   62.2106044       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250030     189.2770160   62.2076521       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250031     189.1658559   62.2032487       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250032     189.4263424   62.1896693       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250033     189.4273459   62.1811260       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250034     189.1365064   62.1960465       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250035     189.1824543   62.1857224       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250036     189.3765049   62.1849238       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250037     188.9108804   62.1845768       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250038     189.0151971   62.1536730       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250039     189.1838953   62.1493021       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250040     189.2731300   62.1461639       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250041     189.3258461   62.1436519       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250042     189.3283367   62.1458365       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250043     188.9948672   62.1290305       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250044     189.2207013   62.1230280       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
250045     189.0261713   62.1149208       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250046     189.1902910   62.1082940       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250047     189.0450173   62.1045766       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250048     189.0870889   62.0901466       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250049     189.1989193   62.0875694       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
250050     189.1172291   62.0870991       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
