#         id250           f250           df250
#
              6        10.8377        1.75309
             36        6.91891        2.85719
             38        6.52293        2.86136
             44    3.20924e-07        1.66584
            106        6.63104         2.1375
            127        12.5832        1.43806
            130        8.89383        2.12009
            142        4.13491        1.70191
            145        3.98854        3.26181
            152        4.34964        1.34907
            158        10.7256        1.64394
            162        28.6352        1.87659
            175        7.43233        1.94732
            213         41.347        4.92622
            214    0.000177993        5.02694
            216       0.814785        1.90342
            217        3.47982        3.95788
            255       -1.15125        2.30138
            256        13.2771        2.80598
            257        10.0528        1.68176
            264        5.51045        2.36356
            277        3.43198        2.77811
            289        8.18598        1.78102
            309        1.12592        2.62322
            330        1.53894        3.18678
            356        2.03637        2.46145
            371        2.32094        1.72051
            374        7.66038        1.91839
            375        4.03149        1.97343
            376        11.9779        2.30279
            379        2.53835        3.20494
            381        2.93909        1.53824
            385        9.43365        1.32276
            399        3.84118        2.95362
            407        23.4887        2.68339
            413        3.87268         3.0792
            438        3.16751         4.1327
            442          5.637        2.81246
            449        13.5486        3.77701
            450        3.78609        3.34717
            468    3.20924e-07        2.32012
            498        6.97129        1.77133
            501    3.20924e-07        4.07984
            510        14.7737        3.50145
            516        5.95504        3.28018
            532         11.748        1.68198
            540         3.9723        4.20983
            541        4.65131        2.29725
            546        7.43265        4.85543
            547        15.5865        5.05627
            548        9.76375        2.07522
            552        3.11643       0.988558
            554    3.20924e-07        4.89064
            559        8.47629        3.55437
            562        3.91438        4.25315
            564        19.6081        2.15181
            593         6.6599        3.34957
            598         7.8484        4.06934
            620        1.93785        3.95674
            621         5.3617        2.38742
            631        2.83713        1.24126
            637        5.91227        2.55344
            638        12.7518        1.56578
            652        3.35563        3.03722
            658        17.7162        3.02662
            659        4.22452        4.64962
            669        9.69761        3.37319
            692        13.6416       0.896032
            714        2.31413        1.79578
            737        8.41307         1.3822
            805        3.39145         1.6823
            807        8.92862        3.65937
            808    3.20924e-07        6.56745
            827        24.5698        6.83105
            837        3.14955        2.79176
            841    3.20924e-07          2.368
            860      -0.137422       0.894093
            870        10.6645        4.71772
            877        6.28293        4.62583
            884        8.78514        2.94156
            885        6.53382        3.53236
            893        11.4107         2.4618
            902        4.28059        1.33254
            915        10.2111        2.03377
            917        7.71373        2.05636
            923        11.6688        3.07495
            926        4.80668        3.23487
            931    3.20924e-07        4.87743
            939        5.99253        4.38992
            951        3.51102        1.62223
            965        2.22874        1.95786
            995        3.71336        1.07409
           1005        9.65777        1.90536
           1006        20.0211         4.0551
           1008        8.35055        2.49124
           1036       0.110256        2.72095
           1037         6.5035        2.70287
           1053       0.958416        4.05994
           1076         5.5301        4.58174
           1077        5.61767        4.00401
           1084        13.8407        2.23195
           1094        4.28667       0.807622
           1103        9.51918        5.30168
           1104        2.67381        3.44394
           1105        5.68537        1.36997
           1109        9.97934        4.18234
           1118        8.00734        3.16457
           1129        2.48342        3.43894
           1135         11.688        2.60222
           1141        3.62925        3.96866
           1143        6.04032         1.5485
           1146      0.0556097        2.83798
           1148        8.50006        3.44558
           1150        4.48784         4.0467
           1159        8.66827        2.88366
           1167        8.75494        5.09173
           1168        14.7676        5.33978
           1186    3.20924e-07        5.08911
           1221        2.24099        1.76848
           1225        14.6579        3.95754
           1235    3.20924e-07        6.83119
           1239        15.7099        1.59718
           1248        13.2473        3.15956
           1262        12.2737        5.99808
           1269        5.99066        3.86237
           1284        4.80645        1.97949
           1285        6.50557        1.22238
           1293        8.97954         2.7377
           1315        2.48317        1.32846
           1337        5.62133        3.97259
           1338        2.58731        2.34912
           1341        6.28624        1.87692
           1368        6.32978       0.800335
           1369        2.70324       0.918154
           1384        4.32454        3.80654
           1387        7.30599        5.08694
           1393      0.0410662        2.14535
           1394        10.1978        5.03931
           1402        7.50018        2.56744
           1420        14.5953        3.83418
           1434        2.26199         1.3076
           1445        14.7963        2.40744
           1452    3.20924e-07        4.61959
           1458        4.69474       0.931468
           1475        12.0219        1.34491
           1476        2.91108        2.33875
           1490        6.16495        3.04778
           1491        9.27231        2.90154
           1495       0.795562        2.22011
           1501        7.59163       0.851612
           1515        5.77443       0.669729
           1525        2.42248        1.60624
           1533        10.2086        1.30741
           1558        3.06307        2.34862
           1567        3.17648        1.34242
           1569    3.20924e-07        4.19591
           1592        3.29005        2.77422
           1616        5.36816        4.05642
           1618        10.0096        1.46948
           1631        2.71556        2.90948
           1633        13.2656        1.56784
           1648        15.5931        2.70531
           1651        9.45322        1.88075
           1712        4.31914        2.07887
           1724        4.15591        2.04191
           1735         10.928        1.47113
           1737        3.35522        2.76091
           1753        4.55272        1.27928
           1762        9.76085        1.48877
           1866        4.92093        1.94659
           1880        2.57085        1.19164
           1921        3.98536        2.11851
           1930        13.0068        1.07895
           1945        5.59344        1.22997
           1973        2.82674        1.28992
           2025        2.70474        1.00631
           2054        4.36423        1.56756
           2056        2.33838       0.692666
           2061        1.48845        1.90236
           2094        14.9288       0.997665
           2099       0.509459        1.04562
           2124        5.77159        2.18695
           2135         22.301        1.17429
           2141        3.58093        1.44525
           2144         2.3371        1.59504
           2147        1.45121        1.65073
           2150      0.0254919         5.4925
           2152       0.800433        2.03398
           2163      -0.503775        1.74681
           2175        1.56517        1.91096
           2185        2.21767        2.02112
           2202        13.4686        6.13384
           2234        1.86835         1.9417
           2256        28.2123        2.66873
           2266        8.48876        3.36236
           2272        1.36784        1.25585
           2295        10.7298          2.374
           2296      0.0600347        4.28705
           2320        5.09778        2.60756
           2324        9.77142        1.61868
           2327        1.19768        3.85994
           2328         10.035        1.73091
           2336         7.4468        2.10551
           2337    3.20924e-07        3.96006
           2365    3.20924e-07        3.07578
           2374        4.38627        2.62637
           2399      0.0938463        1.41531
           2418        1.81495        2.11065
           2432        6.57923        1.96221
           2440        5.14595        1.34146
           2449        5.48978        6.04352
           2455        12.5479       0.893525
           2463        14.4328        1.34751
           2488        17.6065        7.71056
           2489        14.7821        4.89653
           2513        5.81716        1.90883
           2518        1.69459        2.69134
           2525        6.01907         1.8634
           2540        4.19664        1.17837
           2561        2.25182        1.59059
           2577        1.49473         1.0618
           2578        1.00724        1.64239
           2592        13.3178        1.08945
           2594         1.3486        2.12702
           2625        8.67233         1.8259
           2643        2.99122        1.43829
           2670        1.76811        1.05569
           2682        1.99937       0.785009
           2697        2.45198        2.39243
           2715        4.36359        3.89412
           2728        19.8028        1.63049
           2738        6.28808       0.899504
           2739        5.58011       0.876748
           2746        6.61117        4.20627
           2778        1.60462        3.32388
           2806        1.45001        1.13087
           2813       0.397827       0.764391
           2818         1.0469        2.11342
           2822       0.671777        1.09166
           2825        2.39051        1.30668
           2841        21.1208        3.22652
           2874        2.29282       0.972899
           2877        1.44433        3.18134
           2878        6.00357        1.95537
           2893        6.33756        1.85654
           2901        1.88318        1.00956
           2920    3.20924e-07        1.26128
           2925        12.8422        4.33835
           2994         4.4655       0.910914
           3001        9.72578        3.28437
           3012        4.48119       0.925393
           3022        5.36378        1.62429
           3037        4.22913        2.44172
           3063         1.0711        1.14117
           3069        9.81578       0.904215
           3075        5.42372       0.846333
           3081        2.41085        1.95738
           3083        8.51995        2.50705
           3087        15.5766       0.923758
           3093        6.28473         1.9936
           3101        1.81402        1.54547
           3103        1.25435        2.82801
           3112       0.921098       0.953217
           3119        8.95555        3.56049
           3125        6.89633        4.82734
           3145        15.6307        2.80627
           3196        16.1141        1.07497
           3220        2.00416        1.03452
           3236       0.976059       0.935593
           3265         2.6509        1.05119
           3276       0.761054        1.20109
           3289        12.4643       0.966503
           3296         6.1221        1.35921
           3310        2.52558        1.35417
           3367        1.00016       0.895704
           3393        3.23889        0.81741
           3401        1.35377        1.12159
           3403        12.0654         2.8693
           3417        2.70619       0.969606
           3442        1.14279        1.47827
           3455        5.11464       0.894741
           3484       0.173142        2.93895
           3526        3.21249       0.875598
           3532        10.0773        1.19896
           3560        1.82364        0.85019
           3572        13.6209        2.38307
           3626         1.0001        1.83333
           3627        10.1569        1.47356
           3638       0.168506        1.94758
           3652    3.20924e-07        1.81412
           3654        1.89274        2.77374
           3658        8.85448        1.82113
           3668        25.3647        3.25338
           3676    3.20924e-07         1.0463
           3679        3.39534        1.61509
           3712        3.12605        1.07279
           3718        12.1954        1.81643
           3742        9.03073        1.68396
           3758         7.6113        1.52643
           3775         1.0429        2.10418
           3792        2.31638        1.39868
           3793        2.45077        1.15159
           3813        1.87171        1.13913
           3817        2.21527       0.807972
           3821        10.5132        1.59748
           3827        6.53243        3.04515
           3836      -0.214391        0.93219
           3870        37.2124        2.49157
           3883        6.81586        2.07224
           3887        3.79273        3.15292
           3888        3.61338        2.34576
           3914        17.5545        1.23724
           3935       0.102006       0.985287
           3955       0.699877        1.52373
           3969       0.743619       0.909852
           3981        5.41536        3.72876
           4004        1.35485        1.45642
           4022        2.04666        2.29604
           4048    3.20924e-07        2.43855
           4050        3.08054        0.83983
           4083        4.86599       0.793294
           4108        11.8775        2.57957
           4116        2.49995         1.0842
           4145        3.10994       0.866772
           4203         7.1763        1.92037
           4211        9.80265        1.05427
           4222        7.60302        4.32438
           4226        3.16957       0.792405
           4235        10.9242         1.6454
           4255        4.46468        4.36032
           4266        2.21535         3.1297
           4267        4.40547        3.55442
           4268        18.8134        4.58705
           4270        5.37355        1.31578
           4308        5.58973        1.11899
           4312        10.1504       0.901178
           4314         7.8538        1.14842
           4320         6.0363       0.854947
           4325    3.20924e-07        1.07159
           4449         8.8298        2.25424
           4456        7.62728        1.51229
           4486        11.1734       0.977884
           4499          1.213        0.93294
           4500        7.03588        0.86432
           4580        9.15929        1.23509
           4589        3.07862        1.23313
           4592        2.19148       0.824783
           4601        2.92576        1.36955
           4625        8.05962        1.98855
           4633        3.62778         1.1547
           4654        6.96754        1.10439
           4656        6.58484       0.914312
           4663        8.59311         1.3487
           4707       0.262549       0.945593
           4722        2.04092       0.783751
           4738        5.54829        3.08681
           4744    3.20924e-07        3.31824
           4751        1.49963        2.06121
