#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0              6          11.49          3.202        0.01078       0.002482
              0             18        -0.4365          3.186       0.003428       0.002231
              0             35          2.793          3.066       0.003766      0.0001515
              0             36          17.18          3.181        0.02329       0.002205
              0             38          12.92           3.22        0.01541       0.000455
              0             44          2.416          3.187       0.007029       0.002596
              0             48          4.285           3.18       0.002722       0.001939
              0             50         0.6058            3.1       0.004092       0.001087
              0             56          7.701          3.145      0.0009185      0.0009185
              0             64          3.532          3.068       0.003416       0.001721
              0             65        -0.4437          3.058       0.001573      0.0008921
              0             91         0.8586          3.189       0.002609       0.001414
              0             95        -0.4384          3.032      0.0007241       0.000383
              1            106           46.1            7.4       0.005127       0.004266
              0            107          3.706          3.103       0.005737       0.001628
              0            112          7.197          3.186       0.005477       0.001548
              0            123        -0.4518          2.997       0.002722       0.001386
              0            126          7.244          3.123       0.003678       0.002263
              0            127          18.61          3.128         0.0193        0.00079
              0            130          9.296          3.198        0.01109       0.000935
              0            132         -0.398          3.031       0.002406       0.000903
              0            135          1.483          3.041       0.002752       0.001835
              0            142          5.694          3.131       0.006029       0.003525
              0            145          5.104          3.065       0.009533      0.0003895
              0            152          4.315          3.197        0.01554       0.001775
              0            158           42.3           11.2        0.01807       0.004605
              1            162          176.4           13.9        0.09972        0.00348
              0            169        -0.4582          2.994       0.001407      0.0006712
              0            175           6.08           3.04       0.006124       0.002561
              0            179          2.385          3.008        0.00816      0.0006155
              0            180          5.091          3.138       0.003439       0.002084
              0            185        -0.3867          3.062       0.003735       0.002521
              0            186          5.541          3.357       0.005069       0.002205
              0            207          2.747          3.057       0.002585      0.0007755
              0            208          2.946           2.99       0.002725       0.001296
              1            213          130.1            7.4        0.09213        0.00393
              0            214          4.735           3.05          0.005       0.003452
              0            216          4.557          3.145        0.01098       0.001319
              0            217          5.672          3.078       0.007179       0.003721
              0            227          3.287          3.074       0.002962       0.001991
              0            239         0.8037          3.305        0.00318       0.002005
              0            242          1.421          3.075       0.002815        0.00115
              0            245          4.777          3.128       0.003917       0.001208
              0            247          1.061          3.261         0.0014      0.0004945
              0            248          2.874          3.047        0.00446       0.002028
              0            254           11.9           3.03       0.003848       0.002773
              1            255          624.8            3.5        0.01251        0.00401
              0            256          28.36          2.999         0.0287        0.00841
              0            257          27.71          3.129        0.02416        0.00554
              0            262        -0.4211          3.015       0.003619       0.001173
              0            264          7.078           3.02       0.004852       0.003154
              0            270          6.029          3.023       0.003769       0.002339
              0            277          7.733          3.023       0.004631       0.003769
              0            288          6.167          3.051        0.00635       0.001941
              0            289          8.312          3.075       0.008407       0.003674
              0            309          9.406          3.054        0.01066      0.0008525
              0            314          1.911          3.003       0.003371       0.001195
              0            316         -0.386          3.093        0.00176       0.001233
              0            317          4.734          2.981       0.007617       0.001479
              0            330          7.637           2.97       0.004179       0.002765
              0            337        -0.4011          3.011       0.001693       0.001276
              0            339          2.008          2.997       0.001539      0.0008991
              0            340          1.178          3.255        0.00279       0.001227
              0            343          3.843          3.039       0.004762       0.002325
              0            356          8.599          2.975       0.009368       0.003212
              0            365         0.6988          2.964       0.002041       0.001129
              0            368          1.232          2.984       0.002206       0.001043
              0            371           9.29          2.994         0.0109       0.000665
              0            374          6.738          2.982       0.009379       0.001411
              0            375          5.567          3.161       0.007492       0.001924
              0            376           59.8            7.6         0.0375        0.00201
              0            379       -0.08611          3.245       0.008801      0.0008515
              0            381          3.189          3.001        0.00849        0.00185
              0            385          19.21          2.986        0.01457        0.00752
              0            390        -0.3203          3.229       0.000503       0.000503
              0            391        -0.4015          2.965       0.001329      0.0008565
              0            394          2.571          2.915       0.003794       0.002171
              0            398          1.545              3       0.001137      0.0007539
              0            399          10.12          2.964       0.009792       0.004788
              0            401         0.4396          3.194       0.003396      0.0009145
              0            407           41.7            3.6        0.03854        0.00987
              0            409          11.25          2.935       0.004692       0.001183
              0            413          2.359          2.965        0.00341      0.0008565
              0            414            3.2          2.987        0.00502       0.001279
              0            416          1.451          3.031       0.003445       0.001486
              0            418          2.398          3.165       0.003261       0.001039
              0            421        -0.3218          3.165       0.002668       0.001287
              0            428          1.424          2.872       0.002251       0.001474
              0            429         0.6211          2.892       0.002591       0.001933
              0            430          4.327          3.313       0.002652        0.00051
              0            431          10.52          2.985       0.004198       0.000934
              0            432          1.032          3.046       0.003109       0.002102
              0            433        -0.4211          3.064       0.002491       0.001683
              0            437          5.388              3       0.003669       0.001878
              0            438           27.5            3.6        0.02439       0.001805
              0            439          1.423          3.045       0.005297       0.001289
              0            442          9.378          2.962        0.01523        0.00168
              0            449          5.351          2.974        0.01943       0.000595
              0            450          2.485          2.978        0.01106        0.00056
              0            451      -0.007495          2.984       0.001694      0.0006635
              0            468          1.957          3.006       0.008962       0.001288
              0            481          5.889          3.124       0.003986       0.002776
              0            482          4.201          3.082       0.002055       0.001616
              0            490           8.53          2.988       0.002711       0.001363
              0            498          10.39          2.973        0.01302       0.000875
              0            501          0.714          3.032       0.004719       0.003858
              0            502          5.614          2.932       0.001694       0.001396
              0            503          4.003          3.314       0.001505       0.001185
              0            505           6.44          3.041       0.002948       0.001667
              0            506        0.08962          2.885       0.001846       0.001338
              0            509          6.639           3.04       0.004638       0.002238
              0            510           36.7            3.2        0.02903        0.00099
              0            512          2.584          2.948       0.005092       0.001344
              0            516          23.71          3.008         0.0249        0.00058
              0            521          5.454          2.926       0.005269      0.0008945
              0            530          1.332          3.289       0.005351       0.001888
              0            532           25.2            3.4        0.02667       0.001255
              0            533         0.8673          2.951       0.002717       0.002046
              0            540          3.924          3.079       0.004295       0.003185
              0            541          11.55          2.919        0.01191        0.00042
              0            546           27.3            3.8        0.01894        0.01008
              0            547             25            3.4        0.02197        0.00975
              1            548           34.4            3.5        0.01271       0.005861
              0            550          2.705          3.051       0.002835        0.00098
              0            552          13.82          2.923         0.0137        0.00071
              0            554           5.37          2.905       0.006874      0.0002185
              0            559           28.7              4        0.01797       0.001785
              0            561          2.823          3.016       0.003168       0.002089
              0            562           2.76          2.994       0.004498       0.003697
              0            564           87.5           15.5        0.04302       0.001725
              0            581          3.334          2.989        0.00237       0.001582
              0            593          19.37          3.101        0.01612        0.00167
              0            597          8.145          2.898       0.003044       0.002419
              0            598          15.02          2.982        0.00882        0.00365
              0            604          9.107          3.224        0.00699        0.00331
              0            606            2.2          2.873       0.003154        0.00071
