#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1              6        1.29203        1.60816          19.59          4.715          10.88
              0             18       0.866228        1.05294          7.349          5.897          10.19
              1             35       -0.19382       -85.6419           0.64        0.02589            -99
              0             36       0.671358       0.242706          4.692          3.253           9.75
              1             38        2.71533        1.62683          519.2            122             10
              0             44        2.37749        1.80462          238.5          85.06          10.25
              0             48        1.58433        2.11606           38.4          27.87          10.89
              0             50        1.23528         1.5415          17.19          9.586          10.55
              0             56        1.17782        1.75703          15.06          15.06          10.39
              0             64        1.12872        1.24278          13.45           9.39          10.19
              0             65        1.23654        1.80329          17.24          10.44          10.56
              0             91      -0.209785       0.155695         0.6169          0.428           9.55
              0             95       0.917243        1.51291          8.265          4.485          10.16
              0            106        1.69002        1.91161          48.98          38.72          10.72
              0            107       0.477411       0.544835          3.002          1.912           9.88
              0            112        1.05154        1.21906          11.26          6.804          10.38
              0            123        1.67834        1.00638          47.68          22.98           9.37
              0            126        1.22943        1.87433          16.96          13.27          10.96
             -1            127        0.96459        1.75448          9.217         0.4081          11.45
              0            130        2.82066        2.36992          661.7          275.4          10.91
              0            132         1.0406       0.910259          10.98          6.207           9.71
              0            135        1.06633        1.14176          11.65          9.366          10.05
              0            142        1.92221        1.68396           83.6          49.17          10.31
             -1            145     -0.0730919         0.5342         0.8451        0.02629          10.21
              0            152       0.725748        1.14531          5.318          3.481          10.79
              0            158        2.13735        1.87031          137.2          77.23          10.75
              1            162        2.40756        1.73084          255.6           8.94          10.88
              0            169        1.12483        1.45465          13.33          6.046          10.13
              0            175        1.60735        1.70926          40.49          15.64          10.57
             -1            179        1.72272         1.6321          52.81          3.474          10.47
              0            180        1.03981        1.88045          10.96          8.555           11.1
              0            185        1.72811        -84.914          53.47          52.92            -99
              0            186        1.16047         1.4322          14.47          6.298           10.5
             -1            207        1.34577        1.41656          22.17            5.8          10.11
             -1            208        1.22968        1.40952          16.97          5.026          10.16
              1            213        1.49638        1.11866          31.36          1.467          10.72
              0            214        2.01072        2.29693          102.5          73.88             11
             -1            216      -0.561774      -0.722756         0.2743        0.02361           8.75
              0            217        2.08743        2.83242          122.3          59.45          11.69
              0            227       0.568319       0.621977          3.701          2.388           9.72
              0            239        1.97433        2.24662          94.26           65.4          10.84
              0            242        1.03543        1.49726          10.85          6.795          10.53
              0            245       0.461198       0.474925          2.892           1.01           9.69
              0            247       -2.32066       -1.64181       0.004779       0.004778          7.718
              0            248        1.15442        1.25519          14.27          5.934          10.21
              0            254        1.23477       0.978974          17.17          13.11           9.78
              0            255        1.71908        2.21348          52.37          26.91          11.37
              0            256        2.65379         3.0111          450.6            249          11.95
              1            257        2.58104        1.86443          381.1           87.4          10.52
              0            262      -0.168514      -0.600499         0.6784         0.3932          8.678
              0            264        1.73215        1.85976          53.97           33.3          10.54
              0            270        1.18583       0.983758          15.34          11.79           9.85
              0            277        1.77938        1.61064          60.17          50.46          10.26
              0            288       0.111599        0.54712          1.293         0.8512          10.11
              0            289        2.43152         2.3311          270.1            164          10.96
              0            309        3.14426       -84.4646           1394           1065            -99
              0            314      -0.176395       -85.6419         0.6662         0.2458            -99
              0            316        1.33666        2.29775          21.71          14.66          11.15
              0            317        0.16938        1.08213          1.477         0.7075          10.79
              0            330        1.80298        1.52108          63.53          42.13           10.1
              0            337         1.6507        1.49689          44.74          36.79          9.928
              0            339       0.423901       0.906488          2.654          1.877          10.04
              0            340        1.06856        1.28927          11.71          6.236          10.21
              0            343        0.82614        1.10319          6.701          3.377          10.36
              0            356        1.45071       0.808705          28.23          11.57          9.718
              0            365       0.773421       0.895644          5.935          4.456          9.878
              0            368       0.330008       0.263407          2.138          1.268            9.4
              0            371        3.03141       -84.4694           1075            645            -99
             -1            374       0.990294        1.35281          9.779          1.476          10.73
              0            375        1.39915        1.66182          25.07          13.41          10.79
              0            376        2.91477        2.66794          821.8          136.4          11.41
              1            379         2.6289        1.83189          425.5          110.6          10.23
             -1            381        2.51601        3.17044          328.1          48.98          11.95
              0            385        2.41797        2.13057          261.8          169.5          10.82
              0            390       0.679155        1.12614          4.777          4.777          9.718
              0            391        1.28398        1.64117          19.23           13.7          10.27
              0            394        1.18498       -85.1306          15.31          14.86            -99
              0            398       0.166726       0.554874          1.468          0.987           9.54
              0            399        2.30621        2.04269          202.4          82.56          10.67
              0            401       0.969229       0.675967          9.316          2.332          9.548
              0            407        2.22943          2.031          169.6          47.02           11.1
              0            409        0.54444       0.669524          3.503          1.455          9.968
              0            413        0.32695       0.497435          2.123          1.238           9.82
              0            414        1.03583        1.43465          10.86          5.034          10.57
              0            416     -0.0939884      -0.594428         0.8054          0.553           8.64
              0            418        1.02284         1.5597          10.54          4.416          10.64
              0            421       0.942405       0.875626          8.758          6.204          9.808
              0            428       0.925003       0.784488          8.414          6.821           9.66
              0            429       0.787956       0.937675          6.137          5.139           9.95
             -1            430       0.861594        1.14469          7.271          1.224          10.14
             -1            431       0.421933       0.518325          2.642         0.5344          9.798
              0            432       0.491081       0.312451          3.098          2.163          9.478
              0            433        1.80794       -84.8741          64.26          64.26            -99
              0            437        2.05385        2.51107          113.2          75.99           11.2
              1            438        1.81405        1.37467          65.17          20.67          10.42
             -1            439        1.40002        2.01303          25.12          8.166          11.04
              0            442        1.60509        1.71092          40.28          18.15          10.91
             -1            449      -0.165897       0.661549         0.6825         0.1695          10.48
              1            450        2.72558        2.03796          531.6          99.63          10.49
              0            451       0.454387       0.846553          2.847          1.027          9.928
              0            468        2.66445         2.3219          461.8          129.8          10.85
              0            481      -0.948076       -1.52701         0.1127        0.07373           7.71
              0            482        1.46731         1.5972          29.33          23.38          10.23
              0            490       0.848559       0.756118          7.056          5.146           9.74
              1            498        2.76797        2.11584          586.1          135.9          10.59
              0            501        1.86676        1.60693          73.58          56.66           10.2
              0            502         1.4183        1.69022           26.2          22.17          10.32
              0            503        1.32899        1.78426          21.33          16.91          10.47
              0            505        1.78176        1.36865           60.5          32.71            9.8
              0            506        1.45225       -84.8368          28.33          28.16            -99
              0            509      0.0838608       0.358723          1.213         0.5885           9.81
             -1            510        1.27393        1.28103          18.79         0.9905          10.76
              0            512        1.02036       0.454057          10.48          4.873          9.388
              0            516        3.44059       -84.4822           2758           1304            -99
             -1            521       0.981819        1.18274           9.59          1.528          10.34
              0            530       0.500922       0.896765          3.169          1.176          10.31
              0            532        1.62149        1.42955          41.83          2.506           10.7
              0            533       0.643847        1.77109          4.404          3.187          11.09
              0            540        1.75282        2.07136           56.6          41.38          10.86
             -1            541        1.08529        1.64964          12.17         0.4698          11.12
              0            546        2.70355        2.54527          505.3          322.7          11.25
              0            547        2.61826        2.24933          415.2          219.8          10.96
              0            548        1.96759        2.52166          92.81          61.71          11.59
              0            550       0.886547      0.0471821          7.701          3.145           8.76
             -1            552       0.657056       0.779033           4.54          0.295          10.29
             -1            554       0.671358       0.657071          4.692         0.2266           9.97
              0            559        1.74788        1.87512          55.96          24.77          11.06
              0            561        1.16791        1.34716          14.72          12.03          10.31
              0            562        1.86499        2.28905          73.28           57.5          10.95
              1            564        3.22089        2.81738           1663          66.54          11.49
              0            581       0.966236       0.857775          9.252           7.57           9.74
              0            593        1.82711        1.63298          67.16          26.43          10.63
              0            597        1.61731        1.33111          41.43          34.21           9.89
              0            598        1.47041        1.72968          29.54          13.41          10.81
              0            604       0.588384       0.661135          3.876          3.042          10.07
             -1            606       0.728597        1.03904          5.353          1.149          10.18
             -1            620       0.900913       0.985368           7.96         0.4019          10.28
              0            621        2.33786        2.20688          217.7          125.7          10.94
              0            622        1.10687        1.41283          12.79          9.824          10.43
              0            628       0.958421        1.09833          9.087          3.105          10.08
              0            631        1.55047       0.999558          35.52          17.26           9.87
             -1            637       0.439491        0.98327          2.751         0.2743          10.55
             -1            638        1.26788        1.55599          18.53          1.892          11.08
             -1            652        1.57818        1.58047          37.86          9.914           10.4
              1            658        3.53441        2.57232           3423          15.12          11.18
             -1            659        2.81064        2.95172          646.6           55.7          11.66
              0            661       0.832126       0.771837          6.794          5.234            9.6
              0            664        1.46464        1.58196          29.15          22.64          10.18
              0            669        1.64404         1.3457          44.06           4.93          10.47
             -1            672       0.665769        1.87747          4.632         0.8562          11.29
              0            689       0.521007       0.720003          3.319          2.058          10.02
             -1            692       0.383097        1.57784          2.416        0.04648          11.53
              1            697        1.86558       0.607692          73.38          6.126           9.01
              0            702        1.60853        1.18933           40.6          33.32           9.73
              0            710       0.311542       0.338614          2.049          1.423           9.35
             -1            713       0.367356       0.454146           2.33         0.6813          9.628
              1            714        2.65283         2.1223          449.6          18.33          10.61
              0            718        0.96647        1.26199          9.257          5.982          10.49
              0            719        1.18384        1.55735          15.27          10.86          10.26
             -1            721       0.115611       0.713717          1.305         0.4328          10.12
             -1            729       0.759668       0.610243           5.75          1.658          9.718
             -1            737        1.07445        1.34593          11.87         0.4703          10.93
              0            740    -0.00753485       0.511572         0.9828         0.6464          10.04
              0            748       0.689486       0.982266          4.892          2.815           9.89
             -1            749       0.477555       0.985077          3.003         0.5086          10.36
              0            753       -0.64859       0.892585         0.2246         0.1017          10.61
             -1            760       0.726075       0.844465          5.322          1.582          10.05
             -1            762       0.771881        2.04297          5.914         0.9479           11.7
              0            768        1.50826        1.49842          32.23          27.46          10.03
              0            776       0.240799       0.440991          1.741          1.109            9.8
             -1            779       0.902112        2.11777          7.982          1.976          11.25
              0            786        1.25188        1.43783          17.86          9.596           9.98
              1            793        1.98308       0.874238          96.18          23.02          9.198
              0            804       0.719497       0.901476          5.242          3.841          10.05
              0            805         1.4257        1.44987          26.65          13.47          10.38
              0            807        2.52569        1.54546          335.5            196          10.06
             -1            808       0.506505        1.20477           3.21         0.3049          10.86
              0            809      -0.166917        1.15972         0.6809         0.2308           10.8
             -1            825       0.802158        1.07903          6.341          1.255          10.22
              0            826       0.547405       0.813435          3.527          2.272          10.22
              0            827        1.94091        1.93093          87.28          37.47          11.17
              0            837        3.05269       -84.4646           1129          843.3            -99
              0            841        3.13162       -84.4806           1354          660.5            -99
              0            849        1.23955        1.14664          17.36          6.191           9.98
