#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0              6          22.49          3.906        0.02203         0.0046
              0             18        -0.1354           4.49       0.002973       0.002973
              0             35        -0.1328          3.979       0.001536       0.001536
              0             36          21.46          4.063         0.0208       0.005185
              0             38          9.962          4.088       0.008118       0.001746
              0             44         -0.133          4.486       0.005518       0.001696
              0             48          4.007          4.028       0.004771        0.00477
              0             50          -0.13           3.74        0.00257        0.00257
              0             56          1.487          4.078      0.0007505      0.0007505
              0             64          5.003          3.972       0.004464       0.004463
              0             65        -0.1316          3.972       0.002676       0.002676
              0             91          2.276          3.761       0.002248       0.002248
              0             95        -0.1294          4.967       0.001528       0.001528
              1            106          52.58          3.392        0.03059       0.000345
              0            107          7.473          3.984       0.005436       0.003965
              0            112          6.789          3.505       0.006649       0.005111
              0            123        -0.1303          4.041       0.002351        0.00235
              0            126        -0.1261          3.729       0.001935       0.001934
              0            127          24.99          3.915        0.02441        0.00408
              0            130          9.541          3.681       0.009541              0
              0            132        -0.1287          3.952       0.001366       0.001366
              0            135        -0.1071          4.058         0.0029       0.002899
              0            142          2.537          3.735       0.004307       0.004307
              0            145          3.729          3.686       0.006131       0.002999
              0            152        -0.1314          3.999       0.002788       0.002787
              0            158          49.38           3.54        0.05021        0.00165
              1            162          127.3          3.538         0.1143         0.0001
              0            169        -0.1316           4.06       0.002374       0.002374
              0            175          12.49          3.806        0.01167       0.005195
              0            179          5.273          3.861       0.009451       0.002199
              0            180          9.939          3.963       0.007875       0.003866
              0            185        -0.1229          4.859       0.003575       0.003575
              0            186          7.376          3.342       0.006567       0.004033
              0            207          1.574          3.889       0.003778       0.003777
              0            208          1.202          3.948       0.002476       0.001204
              0            213          127.4          3.254         0.1235         0.0002
              0            214          8.351          3.405        0.00757        0.00433
              0            216          6.749          3.849       0.003983       0.003982
              0            217        -0.1248          3.798       0.002749       0.002748
              0            227          7.236          3.587       0.004356       0.002544
              0            239        -0.1229          3.663       0.003287       0.003287
              0            242         -0.132           4.38       0.002832       0.002832
              0            245           2.81          3.637       0.003958       0.003957
              0            247        0.05546          3.498      0.0009267      0.0005243
              0            248        0.04059          3.409        0.00232       0.002319
              0            254          13.64          3.584       0.005342       0.001181
              0            255         -143.8      1.453e+10        0.03509        0.03508
              0            256          36.18          3.741        0.03574       0.003825
              0            257           32.3          3.873        0.03261       0.003015
              0            262        -0.1261          3.732       0.003321        0.00332
              0            264          12.87          3.845         0.0116       0.004064
              0            270          8.676          3.394       0.006423       0.004488
              0            277          5.248          3.231        0.00391       0.003532
              0            288          11.93          3.732       0.008838       0.004602
              0            289       0.002684          3.266       0.002412       0.002411
              0            309           22.1           3.73        0.02101       0.001395
              0            314          4.753          3.635       0.004986       0.004985
              0            316        -0.1243          3.275        0.00185       0.001849
              0            317           2.34          3.441        0.00658       0.002449
              0            330         0.6777          3.483       0.002368       0.002368
              0            337        -0.1223          4.589        0.00306        0.00306
              0            339          4.096           3.45       0.002829       0.002829
              0            340         0.3928          3.714       0.003092       0.003091
              0            343          1.809          3.662       0.003692       0.003691
              0            356          9.637          3.804       0.008038       0.004632
              0            365          0.864           3.65       0.002269       0.002269
              0            368          0.312           3.62       0.002475       0.002475
              0            371        -0.1283          4.119      2.793e-20      2.793e-20
              0            374          9.709          3.408        0.01001       0.004385
              0            375          6.333          3.801       0.006573       0.005247
              0            376          51.89          4.525        0.05211        0.00315
              0            379         0.1713          3.355       0.006418       0.000505
              0            381          6.338          3.124        0.01738              0
              0            385          22.48          3.625          0.022        0.00431
              0            390        -0.1193          3.515      0.0004554      0.0004554
              0            391        -0.1212          3.815       0.002548       0.002547
              0            394        -0.1173          3.459       0.002534       0.002534
              0            398          1.922          3.745       0.002273       0.002273
              0            399          6.724          3.546       0.005887       0.004343
              0            401         0.9962          3.633       0.005161       0.003715
              0            407          45.32          3.303        0.04476       0.002035
              0            409          20.17          3.858       0.009994      0.0007665
              0            413          5.176          3.518       0.003623       0.003538
              0            414        -0.1217          4.202       0.001883       0.001883
              0            416        -0.1294          3.716       0.002595       0.002595
              0            418        -0.1185          3.265       0.001899       0.001671
              0            421         -0.118          5.121       0.003545       0.003544
              0            428        -0.1168          4.717       0.002831       0.002831
              0            429          1.781          3.533       0.002339       0.002339
              0            430          5.057          3.345       0.004782       0.002636
              0            431          11.57          3.616       0.003976       0.001149
              0            432          2.359          3.598       0.003247       0.003247
              0            433         -0.128           4.07       0.002625       0.002625
              0            437           3.51          3.335       0.003627       0.003626
              0            438           23.9          4.157        0.02261       0.004115
              0            439        -0.1257          4.369       0.002791       0.002791
              0            442          8.274          3.437       0.007757       0.004513
              0            449          8.708          3.786       0.008621       0.004509
              0            450          2.176          3.643       0.007968      0.0008995
              0            451        -0.1193          4.855       0.002467       0.002403
              0            468          4.142          3.475        0.00886      0.0005045
              0            481          11.17          3.804       0.002589       0.002588
              0            482          6.509          3.562       0.005956       0.004834
              0            490          8.354           3.94        0.00639         0.0046
              0            498          8.033          3.627        0.02055              0
              0            501          1.919          3.828        0.00353        0.00353
              0            502          10.22          3.516       0.008007       0.003313
              0            503          2.598          3.072        0.00341       0.003409
              0            505          4.584          3.741       0.004314       0.004314
              0            506         0.6523          3.502       0.002539       0.002539
              0            509          9.923          3.622       0.007838       0.003112
              0            510          26.84          4.714        0.02613         0.0053
              0            512          5.112          3.351       0.005167       0.001553
              0            516          26.69          3.974        0.02617        0.00074
