#        cooFIR         snrFIR             id         snr100          snr160
#
              0        3.65045              6        3.39474        1.34221
              0        2.51166             18              0        2.51166
              0        1.49168             35        1.49168            -99
              1        10.7512             36        8.65732        6.37485
              0        1.28636             38     2.4259e-05        1.28636
              0        1.43147             44        1.43147    9.42765e-06
              0     2.6209e-05             48    2.52812e-05    6.91183e-06
              0        1.77638             50        1.77638    1.76733e-05
              0     1.5649e-05             56            -99     1.5649e-05
              0        2.17726             64       0.424299        2.13551
              0    4.11041e-05             65     3.9127e-05    1.25945e-05
              0       0.714345             91       0.714345    1.21458e-05
              0       0.267141             95       0.267141    1.38041e-05
              0         3.1063            106         3.1063    0.000573529
              0        4.26283            107        4.26281        0.01419
              0        3.23793            112        2.26566        2.31321
              0       0.515001            123       0.515001    7.39657e-06
              0    3.86631e-05            126    3.67676e-05    1.19576e-05
              1        12.5304            127        9.64392         8.0004
              0       0.977664            130    2.03239e-05       0.977664
              0      0.0304629            132      0.0304629    1.65444e-05
              0        1.01687            135        1.01687     1.3524e-05
              0        1.33066            142        1.33066    1.13555e-05
              1        6.51108            145         4.7372        4.46689
              1        8.27571            152        7.11941        4.21917
              1        12.6973            158        10.0251        7.79209
              1        77.5401            162         71.665        29.6073
              0    2.77809e-05            169    2.77809e-05            -99
              0        2.51185            175        2.38333        0.79318
              0        3.15527            179        2.14441        2.31457
              0       0.726328            180              0       0.726328
              0        3.52474            185        3.07371        1.72513
              0        2.57739            186        1.76755        1.87582
              0        1.03929            207       0.518085       0.900951
              0        1.23842            208        1.23842    1.49775e-05
              1        40.8027            213        37.7024        15.6012
              0        1.93166            214        1.93043      0.0687681
              1        6.48639            216        5.51874        3.40834
              0        2.75236            217        1.83311         2.0531
              0        2.68378            227    2.94313e-05        2.68378
              0    4.76221e-05            239     4.2906e-05    2.06624e-05
              0    2.91246e-05            242     2.5748e-05    1.36119e-05
              0        2.96579            245       0.342427        2.94595
              0      4.844e-05            247      4.844e-05            -99
              0        3.02228            248        2.25716        2.00982
              0    3.98421e-05            254    3.84871e-05    1.03022e-05
              1        10.9529            255        8.70735         6.6444
              1        11.0014            256        6.67135        8.74783
              1        15.8178            257        12.7078        9.41882
              0        1.84293            262      0.0650658        1.84178
              0        3.29521            264        3.29438      0.0742612
              0        1.09143            270        1.09143    9.65744e-06
              0         1.2863            277        1.27822       0.143895
              0        4.38434            288        4.35654       0.492959
              0        2.49414            289        2.33626       0.873288
              0    2.46907e-05            309    2.29503e-05    9.10559e-06
              0        1.83891            314     3.1873e-05        1.83891
              0        1.68702            316    3.47325e-05        1.68702
              0        4.93855            317        4.47474        2.08949
              0        1.43509            330      0.0447989         1.4344
              0       0.424943            337       0.424943    2.15588e-05
              0       0.656335            339      0.0132122       0.656202
              0        2.41634            340       0.606383        2.33902
              0        2.54914            343        1.44805        2.09792
              1        7.31416            356        5.86218          4.374
              0        1.13501            365       0.209043        1.11559
              0    3.34698e-05            368    3.16453e-05    1.08996e-05
              0       0.551618            371    3.38503e-05       0.551618
              1        9.30851            374        6.59242        6.57178
              1        5.46089            375        3.51815        4.17659
              0        4.61803            376         2.4358         3.9234
              0     5.3267e-05            379    5.13643e-05    1.41097e-05
              0        1.51959            381        1.39092       0.611954
              1        5.23771            385        3.91008        3.48495
              0    2.71441e-05            390    2.58098e-05    8.40596e-06
              0       0.311524            391       0.311524            -99
              0        2.75422            394         1.6332        2.21775
              0       0.193593            398       0.193593     3.0308e-05
              0        2.97745            399        2.27436        1.92159
              0       0.848789            401    4.17753e-05       0.848789
              1        18.3406            407        15.8495        9.22882
              0        2.17886            409        1.51964        1.56145
              0        3.33681            413        1.15222        3.13157
              0        2.32668            414        2.30037       0.348873
              0        1.60559            416        0.49384        1.52775
              0        2.76915            418        2.58569       0.991168
              0       0.283811            421    3.14931e-05       0.283811
              0        1.91358            428    3.83304e-05        1.91358
              0        2.41674            429        2.41674      1.655e-05
              0        2.19953            430        2.14401       0.491094
              0        2.56874            431        2.26903        1.20412
              0        2.45735            432        2.43712       0.314668
              0        1.56963            433        1.43028       0.646557
              0        3.00939            437        2.49375        1.68454
              1        22.7494            438         19.966        10.9038
              0       0.912971            439     3.2661e-05       0.912971
              1        11.4428            442        6.24288        9.58978
              1        15.5187            449        10.8424        11.1028
              0        2.90025            450         2.7532       0.911791
              0        1.38822            451              0        1.38822
              0       0.816399            468       0.815844      0.0301025
              0         3.7204            481        3.20848        1.88335
              0    3.68799e-05            482    3.31572e-05    1.61472e-05
              0    4.59247e-05            490     4.4715e-05    1.04714e-05
              0        2.03106            498        0.90807        1.81676
              0         3.2475            501        1.86645        2.65756
              0     5.6269e-05            502    5.00332e-05    2.57464e-05
              0    4.92244e-05            503    4.62957e-05    1.67256e-05
              0    4.90879e-05            505    4.73139e-05    1.30776e-05
              0         2.1665            506         2.1665    2.66885e-05
              0        1.47863            509         1.3034       0.698207
