#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1              6        1.57978        1.60816             38          7.452          10.88
              0             18       0.836451        1.05294          6.862          6.862          10.19
              0             35      -0.374071       -85.4868         0.4226         0.4226            -99
              0             36        0.54444        0.23452          3.503           2.49           9.75
              0             38        2.53517        1.62683          342.9          124.7             10
              0             44        2.33746        1.81148          217.5          85.13          10.25
              0             48        1.78718        2.11606          61.26          61.26          10.89
              0             50        1.10346         1.5415          12.69          12.69          10.55
              0             56        1.06967        1.75703          11.74          11.74          10.39
              0             64        1.28623        1.24278          19.33          19.33          10.19
              0             65        1.47465        1.80329          29.83          29.83          10.56
              0             91      -0.225045       0.171441         0.5956         0.5956           9.55
              0             95        1.27346        1.51291          18.77          18.77          10.16
              1            106        2.39164        1.91161          246.4          74.74          10.72
              0            107       0.588272       0.544835          3.875          3.433           9.88
              0            112        1.16613        1.21906          14.66           12.9          10.38
              0            123        1.52699        1.00638          33.65          33.65           9.37
              0            126       0.678063        1.79921          4.765          4.765          10.96
             -1            127       0.997954        1.75448          9.953          1.663          11.45
              0            130        2.73544        2.36992          543.8          199.5          10.91
              0            132       0.595937       0.839569          3.944          3.944           9.71
              0            135        1.09096        1.14176          12.33          12.33          10.05
              0            142        1.81164        1.65531          64.81          64.81          10.31
              0            145      -0.266883         0.5342         0.5409         0.2577          10.21
              0            152     -0.0696114        1.14531         0.8519         0.8519          10.79
              1            158        2.55678        1.90563          360.4          81.73          10.75
              1            162        2.46672        1.73084          292.9         0.2714          10.88
              0            169        1.40926        1.45465          25.66          25.66          10.13
              0            175        1.84991         1.6682          70.78          34.53          10.57
             -1            179        1.78111        1.61944          60.41          13.13          10.47
              0            180        1.37475        1.88045           23.7          15.28           11.1
              0            185        1.81084       -84.4662          64.69          64.69            -99
              0            186         1.2335         1.4322          17.12           10.2           10.5
              0            207        1.24204        1.37388          17.46          17.46          10.11
             -1            208        1.18837        1.40952          15.43          4.976          10.16
              1            213        1.55509        1.11866           35.9        0.04508          10.72
              0            214        2.08386        2.29693          121.3          70.89             11
              0            216       -1.07166      -0.722756        0.08479        0.08479           8.75
              0            217        1.71542        2.84814          51.93          51.93          11.69
              0            227        0.74123       0.621977          5.511          3.124           9.72
              0            239         2.0983        2.25072          125.4          125.4          10.84
              0            242         1.0141        1.49726          10.33          10.33          10.53
              0            245       0.666331       0.536211          4.638          4.638           9.69
              0            247       -2.23448       -1.63294       0.005828       0.005827          7.718
              0            248       0.858898        1.25519          7.226          7.226          10.21
              0            254        1.29579        0.96375          19.76          8.707           9.78
              0            255        1.98421        2.14848          96.43          96.43          11.37
