#     _id          _ra          _de       zp_X         f24        df24         f16        df16       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
6          189.3485107   62.4028587      0.91         310       10.38         -99       1e+10       11.49       3.202         -99         -99         -99         -99         -99         -99       35.32       2.241       19.77       10.88      0.1098       1.035          -1          81       0.131          -1           0
18         189.3498535   62.4003220      1.02       56.35       5.802         -99       1e+10     -0.4365       3.186       8.307        0.15       6.171       0.421         -99         -99       5.109       1.872        21.4       10.19      0.9166          -1         -99         -99       9.459         -99           0
35         189.3342133   62.3983154       -99       20.37       6.689         -99       1e+10       2.793       3.066       -0.23       0.128        0.79       0.167       9.472       1.737      -1.911       1.154         -99         -99       2.835          -1         -99         -99       29.05         -99           0
36         189.3627319   62.3979454      0.37       209.9       18.63         -99       1e+10       17.18       3.181       41.08       0.121       39.27       0.455        38.6       2.011       77.15       1.858       19.19        9.75      0.2252          -1         -99         -99       29.55         -99           0
38         189.3673859   62.3982124      3.78   8.071e-08       13.69         -99       1e+10       12.92        3.22       1.808       0.152         -99         -99       7.493       2.003       8.538       2.339       23.68          10      0.4338          -1         -99         -99        35.6         -99           0
44         189.3435364   62.3971863      3.87       24.16       8.115         -99       1e+10       2.416       3.187       0.836       0.096       0.856       0.192       4.302       1.261       0.661       1.209       23.77       10.25      0.4377          -1         -99         -99       22.16         -99           0
48         189.3411560   62.3968201      2.26       48.59       6.812   1.903e-07       15.91       4.285        3.18       4.476       0.096       5.069       0.172       7.437       1.227       5.357       1.146       22.92       10.89      0.1337          -1         -99         -99       25.08         -99           0
50         189.3090210   62.3967781       1.4       42.82       11.51         -99       1e+10      0.6058         3.1         -99         -99       9.219       0.152         -99         -99       7.086       1.071       22.03       10.55     0.05784          -1         -99         -99       21.41         -99           0
56         189.3330841   62.3961372      2.41       1.633       4.602       12.07       10.44       7.701       3.145        0.47       0.103       0.471       0.142      -0.063       1.322      -0.294       1.008       22.99       10.39      0.6433          -1         -99         -99       29.56         -99           0
64         189.3278351   62.3952751      1.37       24.58       6.377       29.16       11.34       3.532       3.068       6.981       0.105       7.582       0.133       4.441       1.372        6.21       0.939       21.91       10.19     0.06866          -1         -99         -99       21.21         -99           0
65         189.3402557   62.3952560      2.07       27.92       6.095   1.903e-07       16.87     -0.4437       3.058       3.663       0.089       3.892       0.147       4.934       1.103       3.617       1.015       22.62       10.56     0.02892          -1         -99         -99       24.53         -99           0
91         189.3629761   62.3935661       0.5       30.47       4.736         -99       1e+10      0.8586       3.189       4.642       0.079       4.709       0.184       3.126       1.086       3.279       1.239       21.74        9.55      0.2541          -1         -99         -99        27.7         -99           0
95         189.3264465   62.3934822      2.16       11.67       3.539       10.48        9.69     -0.4384       3.032       0.729       0.089       0.882       0.118       3.304       1.168       1.723        0.85       22.45       10.16      0.9342          -1         -99         -99       14.93         -99           0
106        189.3455963   62.3922691      2.01       75.62       6.123   1.903e-07       11.57        46.1         7.4       4.711       0.068       6.457       0.123       8.945       0.876        9.93        0.88       23.07       10.72     0.09944          -1         -99         -99       10.67         -99           0
107        189.3130188   62.3921814      0.63        46.3       4.928         -99       1e+10       3.706       3.103       9.735       0.118       7.961        0.11        9.13       1.574       11.98       0.814       21.35        9.88      0.1027          -1         -99         -99       12.42         -99           0
112        189.2936859   62.3917084      1.05       65.21       6.772         -99       1e+10       7.197       3.186         -99         -99       12.53       0.139         -99         -99       11.41       0.975       21.75       10.38     0.06054          -1         -99         -99       10.09         -99           0
123        189.3483124   62.3914108      2.45       27.85       9.119       11.67       14.01     -0.4518       2.997       1.229       0.063       0.907        0.12        1.74       0.794      -0.995       0.864       24.24        9.37      0.1648          -1         -99         -99       6.303         -99           0
126        189.2962036   62.3910942      1.43       62.39       5.965         -99       1e+10       7.244       3.123       23.48       0.227       25.12       0.129       38.79       2.777       20.78       0.914       20.99       10.96      0.1498          -1         -99         -99       8.541         -99           0
127        189.3196411   62.3907661      1.13       232.7       8.327         138       6.533       18.61       3.128       80.46        0.09       59.77        0.11       55.33       1.002       41.65       0.759       19.23       11.45      0.1937       0.582           1          72      0.2536          -1           0
130        189.3960114   62.3908005      4.42         -99       1e+10         -99       1e+10       9.296       3.198       3.019       0.261         -99         -99         -99         -99         -99         -99       23.26       10.91      0.2472          -1         -99         -99       32.25         -99           0
132        189.3355255   62.3906975      1.55       28.25       6.021   1.903e-07       12.44      -0.398       3.031       1.881       0.069       2.136       0.107       3.959       0.854      -0.486       0.787       24.15        9.71      0.1963          -1         -99         -99       22.23         -99           0
135        189.3549194   62.3903694      1.39       26.97       4.438         -99       1e+10       1.483       3.041       3.247       0.062       3.743       0.125        3.17       0.811       2.803       0.886       22.97       10.05      0.3008          -1         -99         -99       10.74         -99           0
142        189.3594208   62.3898582      2.25       177.4       6.007         -99       1e+10       5.694       3.131       7.134       0.062       9.875       0.134       10.65       0.778       9.045       0.941       22.81       10.31      0.1453          -1         -99         -99       17.96         -99           0
145        189.3486023   62.3896980      0.28       133.1        5.44       87.93       9.752       5.104       3.065       50.14       0.068       44.14       0.116       31.55       0.744       61.53       0.816       18.62       10.21      0.1594        0.28          -1          81      0.1498          -1           0
152        189.3703461   62.3893394      0.47       151.8       7.089         -99       1e+10       4.315       3.197       47.93       0.072       41.17       0.166       33.36       0.866       52.25       1.131        19.2       10.79      0.1128          -1         -99         -99       23.21         -99           0
158        189.3103485   62.3889732      1.84       208.7       8.672       43.37       8.616        42.3        11.2       11.62       0.091       14.95       0.102        20.1       1.146       14.43       0.733       21.99       10.75     0.03745          -1         -99         -99       16.92         -99           0
162        189.2877197   62.3886566      1.26       251.6       8.178         -99       1e+10       176.4        13.9         -99         -99       46.67       0.136       56.22        3.16       47.95       0.947       20.48       10.88      0.3651       1.256           1          72      0.2456          -1           0
169        189.3772278   62.3882370      2.04       18.95       6.986         -99       1e+10     -0.4582       2.994       0.966       0.068       0.675       0.231        2.85       1.007      -0.575       1.378       22.96       10.13      0.3321          -1         -99         -99       13.48         -99           0
175        189.3435822   62.3875694      1.62       117.1       4.789       41.91       12.41        6.08        3.04       10.97       0.057       15.24       0.101       14.07       0.683       14.84       0.731        21.8       10.57      0.1498          -1         -99         -99       11.35         -99           0
179        189.3303680   62.3872147      1.56       140.8       4.737       10.07       10.31       2.385       3.008       8.625       0.059        10.2       0.092       10.01       0.733        7.14        0.66        21.8       10.47      0.2983          -1         -99         -99       16.58         -99           0
180        189.3639526   62.3872528      1.22       41.58       6.118         -99       1e+10       5.091       3.138       34.48       0.062       34.08       0.131       24.05       0.717       16.97       0.918        20.6        11.1      0.1157          -1         -99         -99       21.61         -99           0
185        189.2730255   62.3870239       -99       93.67        8.46         -99       1e+10     -0.3867       3.062         -99         -99       11.76       0.167         -99         -99       8.448       1.165         -99         -99         1.1          -1         -99         -99       11.91         -99           0
186        189.2921295   62.3869972      1.21       77.94       5.373         -99       1e+10       5.541       3.357       16.97       0.137       15.45       0.117       15.41       1.647       11.35       0.854       21.11        10.5     0.04843       1.259           2          21      0.1088          -1           0
207        189.3199310   62.3851814      1.84       33.06       7.474       8.847        8.47       2.747       3.057       3.389        0.06       3.351       0.089       6.999       0.741       1.382       0.632       23.77       10.11      0.7177          -1         -99         -99       12.85         -99           0
208        189.3342133   62.3858261      1.73          33       3.747   1.903e-07       11.67       2.946        2.99       3.803       0.054       4.167        0.09       4.701       0.658       2.218       0.633       22.26       10.16      0.1028          -1         -99         -99       16.81         -99           0
213        189.2788696   62.3852005      0.61       583.8       16.55         -99       1e+10       130.1         7.4         -99         -99       84.55        0.14         -99         -99       180.9       0.946       18.88       10.72      0.1989      0.5044           1          23      0.1602          -1           0
214        189.2790375   62.3842049      2.48       83.08        9.51         -99       1e+10       4.735        3.05       14.79       0.176       16.76       0.128       31.35       2.238          31       0.904       21.79          11      0.2456          -1         -99         -99       3.465         -99           0
216        189.3811798   62.3850174      0.15       136.9       5.624         -99       1e+10       4.557       3.145        20.8       0.068       17.59       0.179       13.61       0.897       36.28       1.242       19.74        8.75     0.08679       0.159          -1          81       0.191          -1           0
217        189.3233337   62.3851357      2.91       126.7       5.715       10.65       6.439       5.672       3.078       7.551       0.059       9.524       0.087       12.49       0.702       8.393       0.619       22.18       11.69      0.1829          -1         -99         -99       8.815         -99           0
227        189.3872528   62.3847237       1.1       32.54       4.543         -99       1e+10       3.287       3.074       6.687       0.077       4.959       0.283       7.548       1.059       3.745       1.549       21.92        9.72      0.8287          -1         -99         -99          10         -99           0
239        189.3011780   62.3842163      3.34       22.33       4.214   1.903e-07       7.323      0.8037       3.305       2.534       0.077       3.191       0.095       2.908        0.96       4.767       0.682       23.29       10.84      0.1373          -1         -99         -99        6.95         -99           0
242        189.3982697   62.3841057      1.31       29.35       7.816         -99       1e+10       1.421       3.075       11.46       0.103         -99         -99       15.86       2.509       9.749       2.217       21.88       10.53      0.4434          -1         -99         -99       28.52         -99           0
245        189.3617554   62.3836441      0.83        41.5       5.763   1.903e-07       14.21       4.777       3.128       6.016       0.052       4.251       0.107       5.712       0.615       3.388       0.768       22.13        9.69     0.05786          -1         -99         -99       19.13         -99           0
247        189.3082275   62.3836327      0.02       20.96       4.809   1.903e-07       7.511       1.061       3.261       84.25       0.077       54.65       0.096       37.73       0.786       21.98       0.642       18.19       7.718     0.08679          -1           1          72      0.0412   2.695e+04           0
248        189.2747192   62.3834190      1.32       34.87       5.536         -99       1e+10       2.874       3.047         -99         -99        10.3       0.135        23.3       3.129       6.604        0.94       21.89       10.21      0.2428       1.363           1          23      0.1088          -1           0
