#         id100  f100_uncorr_1    f100_corr_1    f100_corr_2     f100_corr_3
#
              6         2.0037        1.95076        1.94845        1.93478
             18      0.0463268     -0.0029413     -0.0029413     -0.0029413
             35       0.701184        0.65178       0.651602       0.636194
             36        5.36824        5.32133        5.32135        5.31297
             38    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
             44         0.7548       0.703033       0.702498       0.719568
             48    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
             50       0.783127       0.766217        0.76614       0.750732
             64       0.215691       0.162049        0.16204       0.160336
             65    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
             91       0.410991       0.362818       0.362517       0.347109
             95       0.150602       0.102858       0.102996       0.101292
            106        1.38622         1.3389        1.33884        1.34991
            107        1.54822        1.50986        1.50479        1.48938
            112       0.866626       0.826545       0.826675       0.842598
            123       0.274051       0.242976       0.242547       0.259192
            126    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            127        3.92493        3.88836         3.8885        3.87309
            130    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            132      0.0113196      0.0113196      0.0113196      0.0113196
            135       0.480653       0.432706       0.429787       0.421901
            142       0.688386       0.637984       0.638112       0.630225
            145        2.11754        2.07301        2.06865        2.07333
            152        3.71391        3.66005        3.65884        3.64343
            158        3.64613        3.60398        3.60329        3.58788
            162        22.1734         22.093        22.0931        22.0793
            169    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            175         1.0711        1.01743        1.01684        1.00143
            179       0.850809       0.799967       0.798406        0.78848
            180      0.0385329    -0.00403676    -0.00403676    -0.00403676
            185        1.16368        1.12095        1.12089        1.10548
            186       0.651376       0.610568       0.610692       0.596897
            207       0.227946       0.184797       0.184869       0.194774
            208        0.47188       0.432219       0.432225       0.422298
            213        19.3122        19.3126        19.3126        19.3275
            214        1.21852        1.26936        1.26949        1.28204
            216        2.97736        2.93007           2.93        2.91537
            217       0.720828       0.670198       0.669529       0.679904
            227    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            239    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            242    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            245        0.20037        0.15062       0.147186       0.131778
            247    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            248       0.707672       0.645135       0.644672        0.66176
            254    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
            255        2.71539        2.66996        2.66961         2.6542
            256        2.43126        2.38826        2.38724        2.37483
            257        6.33624        6.29937        6.29944        6.28403
            262      0.0326461      0.0326461      0.0326461      0.0326461
