#VAR_dfcorr_2    dfcorr_2
#
        1.29       1.039
       1.397       1.098
       1.321       1.052
       1.394       1.096
       1.419       1.116
       1.395       1.097
       1.349       1.067
       1.361       1.074
       1.436        1.13
       1.421       1.118
       1.374       1.082
       1.276       1.034
       1.385        1.09
       1.278       1.035
       1.239       1.024
       1.379       1.086
       1.408       1.107
       1.354        1.07
       1.424        1.12
       1.354        1.07
         1.4       1.101
       1.378       1.085
       1.287       1.038
       1.454       1.147
       1.288       1.038
       1.407       1.106
       1.225       1.022
       1.234       1.024
       1.327       1.055
       1.372       1.081
       1.426       1.122
        1.41       1.109
       1.365       1.076
       1.467        1.16
       1.253       1.028
        1.45       1.143
       1.358       1.072
       1.403       1.103
       1.412        1.11
        1.33       1.057
       1.389       1.093
       1.198       1.019
       1.342       1.063
       1.219       1.021
       1.316        1.05
       1.328       1.055
       1.352       1.068
       1.365       1.077
         1.3       1.043
       1.232       1.023
       1.469       1.161
       1.376       1.084
       1.339       1.061
       1.288       1.038
       1.301       1.043
       1.382       1.088
       1.418       1.115
       1.325       1.054
       1.326       1.054
       1.412        1.11
       1.349       1.067
       1.383       1.088
        1.43       1.125
       1.309       1.046
       1.207        1.02
       1.366       1.077
       1.376       1.084
       1.359       1.073
        1.31       1.047
       1.408       1.107
       1.324       1.053
       1.249       1.026
       1.404       1.104
       1.234       1.023
       1.449       1.142
       1.291       1.039
       1.402       1.103
       1.433       1.128
       1.262        1.03
       1.333       1.058
       1.325       1.054
       1.319       1.051
       1.348       1.067
       1.314       1.049
       1.427       1.123
       1.318       1.051
       1.461       1.154
       1.318       1.051
       1.341       1.063
       1.395       1.097
       1.417       1.115
       1.371       1.081
       1.467       1.159
       1.313       1.048
       1.244       1.025
       1.327       1.055
       1.331       1.057
       1.333       1.058
       1.335       1.059
       1.339       1.061
       1.346       1.065
       1.294        1.04
       1.328       1.055
       1.259       1.029
       1.304       1.044
        1.31       1.047
       1.383       1.089
       1.364       1.076
       1.394       1.096
       1.306       1.045
       1.345       1.065
       1.301       1.043
       1.464       1.157
       1.356       1.071
       1.456       1.149
       1.465       1.158
       1.363       1.075
       1.505         1.2
       1.328       1.055
       1.355        1.07
       1.403       1.103
        1.36       1.074
       1.305       1.045
       1.283       1.036
       1.395       1.097
        1.28       1.035
       1.408       1.107
       1.339       1.061
       1.433       1.128
       1.467       1.159
       1.267       1.031
       1.321       1.052
       1.307       1.046
       1.303       1.044
       1.386       1.091
       1.277       1.034
       1.317        1.05
       1.195       1.019
       1.291       1.039
        1.34       1.062
       1.311       1.047
       1.297       1.041
       1.287       1.038
        1.35       1.068
       1.303       1.044
       1.343       1.063
       1.308       1.046
       1.295       1.041
       1.319       1.051
       1.286       1.037
       1.468       1.161
       1.401       1.102
       1.357       1.071
         1.3       1.042
       1.267       1.031
       1.377       1.085
       1.265       1.031
       1.384        1.09
       1.406       1.105
       1.324       1.054
        1.22       1.021
       1.367       1.078
       1.379       1.086
       1.348       1.067
       1.247       1.026
        1.39       1.094
       1.303       1.044
       1.224       1.022
       1.354        1.07
       1.295       1.041
       1.435        1.13
       1.427       1.123
       1.391       1.094
        1.33       1.057
       1.409       1.108
       1.368       1.078
       1.318       1.051
       1.184       1.019
       1.476       1.169
       1.413       1.111
       1.282       1.036
       1.373       1.082
       1.312       1.048
       1.432       1.127
       1.379       1.086
       1.376       1.084
       1.344       1.064
       1.345       1.065
       1.428       1.124
       1.448       1.142
       1.332       1.058
       1.368       1.079
       1.295       1.041
       1.365       1.077
       1.326       1.055
         1.3       1.043
       1.334       1.058
       1.236       1.024
       1.418       1.115
       1.386       1.091
       1.477       1.169
        1.29       1.039
       1.472       1.164
       1.321       1.052
       1.299       1.042
       1.361       1.074
       1.234       1.023
       1.309       1.047
        1.34       1.062
       1.284       1.037
       1.356       1.071
       1.324       1.054
       1.344       1.064
       1.502       1.197
       1.413       1.111
       1.356       1.071
       1.246       1.026
       1.381       1.087
       1.367       1.078
       1.319       1.051
       1.416       1.114
       1.388       1.092
       1.338        1.06
       1.367       1.078
       1.337        1.06
       1.457        1.15
       1.401       1.101
       1.323       1.053
       1.227       1.022
       1.392       1.095
       1.487        1.18
       1.369       1.079
       1.365       1.076
       1.377       1.084
       1.323       1.053
       1.446        1.14
        1.34       1.062
       1.382       1.088
       1.362       1.074
       1.381       1.088
       1.299       1.042
       1.374       1.083
       1.291       1.039
       1.324       1.054
       1.357       1.072
       1.339       1.061
       1.277       1.034
       1.322       1.052
       1.301       1.043
       1.336        1.06
       1.273       1.033
       1.323       1.053
       1.389       1.093
       1.617       1.348
       1.357       1.072
       1.336        1.06
       1.351       1.068
       1.377       1.085
       1.254       1.028
        1.35       1.067
       1.411        1.11
       1.356       1.071
       1.264        1.03
       1.201        1.02
       1.272       1.033
        1.28       1.035
         1.3       1.043
       1.289       1.038
       1.223       1.022
       1.326       1.054
       1.234       1.023
       1.284       1.037
       1.445       1.138
       1.381       1.087
       1.297       1.042
       1.341       1.062
        1.27       1.032
       1.338       1.061
       1.329       1.056
       1.332       1.058
       1.627       1.363
       1.352       1.069
       1.378       1.085
       1.326       1.054
       1.301       1.043
       1.276       1.034
        1.24       1.025
       1.283       1.036
       1.195       1.019
