#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
6       1.395      0.3575       2.706      0.9945       4.885        1.46       5.342       2.146       3.642       1.722       1.735      0.9086      0.3793      0.2153      0.1435     0.08351      0.1289     0.07206      0.1133     0.05976     0.02525     0.01501     0.02315     0.01389     0.01173    0.003659
18      0.3814      0.2171      0.7121      0.4619       1.157       0.702        1.31       0.882       1.002      0.7427      0.5084       0.396      0.1179     0.09581     0.04517     0.03705     0.04062     0.03291     0.03573     0.02847    0.008025    0.006644    0.007413    0.006137     0.00286    0.001813
35      0.5629      0.0302       0.833      0.0465      0.7456     0.04245      0.3723      0.0213      0.1613     0.00925     0.05423    0.003115    0.009638   0.0005525    0.003496      0.0002    0.003132     7.5e-06    0.002744  -0.0001975   0.0006358    3.69e-05   0.0005931    3.44e-05    0.003143    0.000182
36       2.725       1.181       4.561      0.9785       6.051       2.946       4.234       2.798       2.264       1.661      0.8973      0.6987      0.1841       0.149     0.06984     0.05706     0.06278     0.05066     0.05517     0.04376     0.01234    0.009968     0.01143    0.009204     0.01698    0.003815
38      0.3596      0.2139      0.7429      0.3802       3.043       1.231       6.896       0.623       9.479      0.2405       9.072       1.149        4.42       1.187       2.084      0.6525         1.9      0.5375       1.696      0.4085      0.3957      0.1403      0.3653      0.1296     0.01337     0.00021
44      0.2621      0.1045       0.533      0.2697       2.142      0.8575       3.599       1.143        4.42       1.515       3.933       1.463        1.71      0.6855      0.7755      0.3185      0.7033      0.2679      0.6234      0.2119      0.1406     0.05874      0.1297      0.0542    0.006585    0.002105
48      0.2056      0.1205       0.609      0.3777       1.762       1.381       2.772       2.359       2.679       2.331       1.873       1.649       0.566       0.505      0.2229      0.1996      0.2002      0.1781      0.1758       0.155     0.03817      0.0342     0.03521     0.03154    0.004875    0.004219
50      0.2617     0.08185       0.682      0.3179       1.552      0.6764       2.028      0.9565       1.703      0.9375      0.9196      0.5754      0.2281       0.157     0.08729     0.06121     0.07843     0.05371     0.06893     0.04566     0.01538     0.01092     0.01421     0.01009    0.003958    0.001752
56     0.04249     0.02244       0.106     0.05261      0.2443      0.2009      0.4805      0.4575      0.5416      0.5304      0.4293      0.4247      0.1479      0.1469     0.06089     0.06051     0.05482     0.05446      0.0483     0.04796     0.01071     0.01063    0.009885    0.009815    0.000849    0.000849
64      0.1778      0.0676      0.4906      0.2612       1.183       0.628       1.537      0.8771       1.273       0.806      0.6758      0.4642      0.1643      0.1209     0.06234     0.04645     0.05599     0.04093     0.04916     0.03498     0.01088    0.008167     0.01005    0.007542     0.00309    0.001694
65      0.1158     0.06606      0.3298      0.1886      0.9097      0.6314       1.289      0.9507       1.128      0.8417      0.7102      0.5328      0.1916      0.1461     0.07276     0.05574     0.06528     0.04914     0.05724     0.04204     0.01235    0.009457      0.0114    0.008723    0.002354    0.001735
91      0.4755      0.3465      0.7788      0.5192      0.8719      0.5401      0.6991       0.521      0.3853      0.3093      0.1558      0.1305     0.03222     0.02773     0.01225     0.01062     0.01101    0.009465     0.00968    0.008225    0.002161    0.001863    0.001999    0.001721    0.002918    0.001939
95     0.06288     0.04272       0.233      0.1781      0.6803      0.5457        1.11       0.937       1.069      0.9138      0.7348      0.6382       0.216      0.1915      0.0842       0.075     0.07557     0.06685     0.06636     0.05815     0.01436      0.0128     0.01325      0.0118    0.002027    0.001711
106      0.5613       0.185       1.778       1.057       4.598       2.727       7.091       4.528         6.4        4.29       4.126        2.91        1.14      0.8391      0.4356       0.324      0.3907       0.285      0.3427      0.2431     0.07392     0.05508     0.06819     0.05082     0.01325    0.008391
107      0.7193      0.5697       1.205      0.9498       1.529       1.086       1.125      0.8263      0.6391       0.496      0.2852      0.2359     0.06091     0.05209      0.0232     0.02001     0.02086     0.01783     0.01835      0.0155    0.004112    0.003548    0.003801    0.003275    0.004609    0.003489
112      0.8322      0.5988       1.672        1.24       2.705        1.72       2.403       1.533       1.515       1.019       0.673       0.474      0.1463      0.1092     0.05534      0.0419     0.04974     0.03701     0.04374     0.03176    0.009817    0.007543    0.009066    0.006964    0.007032    0.004598
123      0.1173     0.04996      0.2891      0.1323      0.7817      0.3193       1.459       0.825       1.624       1.015       1.277      0.8454      0.4389      0.3052      0.1807      0.1276      0.1627      0.1123      0.1433     0.09581     0.03172      0.0226     0.02927     0.02086    0.002636    0.001492
126      0.5399      0.3208        1.42      0.8863       2.562       1.502       2.664       1.649        2.21       1.534       1.188       0.883      0.2918      0.2284      0.1109     0.08759      0.0996     0.07749     0.08746     0.06664     0.01937     0.01538     0.01789      0.0142    0.006448    0.004063
127       1.796       0.349       3.866      0.7135       6.242       1.275       5.262       1.537       2.924       0.984       1.197      0.4426      0.2444      0.0973     0.09223     0.03757     0.08288     0.03102     0.07283     0.02397     0.01612    0.006693      0.0149    0.006182     0.01603      0.0028
130      0.2839      0.1826      0.5014      0.2958        1.94       1.122       4.514        0.67       6.558      0.2135       6.959        1.13       4.056       1.274        2.05      0.7455       1.884       0.637       1.698       0.515      0.4218      0.1779      0.3897      0.1647    0.009296           0
132        0.26      0.1457      0.6791        0.45       1.297      0.7793       1.252      0.7177       1.063      0.6835      0.5845      0.4063      0.1463      0.1078     0.05574     0.04156     0.05007     0.03662     0.04398     0.03131    0.009747    0.007313    0.008998    0.006751    0.003241    0.001986
135      0.3014      0.2115      0.7487      0.5983       1.376       1.058       1.534       1.158        1.14       0.871      0.6018      0.4812      0.1474      0.1225       0.056     0.04689     0.05028     0.04165     0.04416     0.03603    0.009779    0.008221    0.009034    0.007596    0.003437    0.002668
142      0.5798      0.2729       1.172      0.3344       2.641       1.219       3.826       2.305       3.772       2.491        2.74       1.914       0.864      0.6371      0.3455      0.2588      0.3108      0.2286      0.2734      0.1959     0.06032     0.04548     0.05567     0.04198    0.006591    0.004219
145      0.9015      0.3945       1.692      0.7054       2.459       1.282       1.659      0.9835      0.8516      0.5334      0.3272      0.2126     0.06671     0.04459     0.02529     0.01706     0.02271      0.0149     0.01994     0.01259    0.004444    0.002996    0.004114    0.002771    0.006024    0.002616
152       1.246      0.6677       1.895      0.7905       2.796       1.437        2.13       1.469       1.163      0.8843      0.4709      0.3789     0.09776     0.08144     0.03718     0.03125     0.03343      0.0278     0.02939      0.0241     0.00657    0.005479    0.006075    0.005055     0.00686     0.00277
158        1.76       0.369       6.987       1.743       18.77       2.755       24.88       3.025       20.88       3.375       12.13       2.777       3.105       0.858       1.165       0.332       1.044      0.2545      0.9146      0.1715      0.1968     0.05635      0.1815       0.052     0.05035    0.006215
162       3.087       1.542       8.355       4.895       15.04       9.234        13.8       8.572       9.033       5.627        4.01       2.501      0.8222      0.5129       0.299      0.1864      0.2675      0.1608       0.234      0.1336     0.05053     0.03148     0.04664     0.02907     0.03867     0.02423
169     0.05937     0.02275      0.1806     0.07515      0.4875       0.215       0.699      0.3391      0.6412      0.3294      0.4541      0.2592      0.1363     0.08577     0.05364      0.0347     0.04824     0.03029     0.04242     0.02553    0.009397    0.006183    0.008678    0.005712    0.001322    0.000624
175      0.4909        0.17       1.214      0.5182       2.716       1.437       3.716       2.081       3.261       1.931       1.867       1.131      0.4808      0.3009      0.1836      0.1166      0.1649      0.1014      0.1449     0.08505     0.03206     0.02066     0.02962     0.01909      0.0069    0.003851
179      0.4366      0.0659       1.305      0.1875       3.198      0.5245       4.279       0.624       3.534      0.5505       1.938       0.307      0.4791     0.07975      0.1795     0.03075      0.1608      0.0199       0.141      0.0083     0.03065      0.0054     0.02829     0.00499    0.008591     0.00137
180      0.5169       0.382       1.196      0.9649       2.207       1.726       2.208       1.689       1.525        1.19      0.7028      0.5582      0.1494      0.1207     0.05459     0.04409     0.04886     0.03891     0.04275     0.03338    0.009328    0.007532    0.008603    0.006967    0.005572    0.004424
185       0.549      0.3427      0.8758      0.4572       1.373      0.7087       1.521       1.146       1.424       1.262       1.008      0.9537      0.3177       0.308      0.1286       0.125      0.1157      0.1124      0.1019     0.09874     0.02263     0.02199     0.02089      0.0203    0.002767    0.001737
186      0.6192      0.3483        1.45       1.005       2.564       1.695       2.446       1.408       1.855       1.055      0.8995      0.5324         0.2      0.1224     0.07486     0.04634     0.06713     0.04009      0.0589     0.03345     0.01298    0.008107     0.01199    0.007484    0.006318    0.004241
207       0.141     0.07394       0.485      0.2714       1.248      0.6596       1.729      0.8995       1.519      0.8054      0.8661      0.4469      0.2179      0.1178     0.08293     0.04557     0.07445     0.03902     0.06538     0.03202     0.01446    0.008058     0.01336    0.007444    0.003361    0.001742
208      0.1132      0.0432      0.3808      0.1646      0.9762      0.4527       1.364      0.6702       1.212      0.6341      0.7042      0.3718      0.1845         0.1     0.07151     0.03989     0.06427     0.03429     0.05649     0.02828     0.01253    0.007167     0.01158    0.006624    0.002629    0.001251
213       19.21       0.115       30.74       0.195        30.5         0.2       16.84        0.11       7.581        0.05       2.631      0.0175      0.4709      0.0031      0.1706     0.00115      0.1527    -0.00785      0.1338     -0.0174     0.03026      0.0002     0.02814    0.000185      0.1149     0.00075
214      0.3022      0.1347      0.7405      0.3506       1.831       1.081        2.95       2.067       3.244       2.441       2.526       1.973      0.8623      0.6927      0.3578      0.2906      0.3224      0.2585      0.2841      0.2239     0.06315     0.05155     0.05831     0.04759     0.00521    0.003802
216      0.8079      0.4911       1.022      0.4849      0.7908      0.2552      0.4427      0.1772      0.2059      0.0908     0.07552     0.03568     0.01474    0.007706    0.005439     0.00291    0.004886    0.002485    0.004286    0.002025   0.0009836   0.0004934   0.0009126   0.0004564     0.00396    0.002291
217      0.5162      0.2552       1.126       0.493       2.595       1.389       3.694       2.283       3.893       2.632        2.95       2.092      0.9972      0.7388      0.4096      0.3076      0.3689      0.2721      0.3249      0.2337     0.07224     0.05467     0.06666     0.05044      0.0063     0.00406
227      0.4475      0.3442      0.9204      0.7506        1.38       1.057       1.086      0.7704      0.6038      0.4083       0.249      0.1613     0.04755     0.02998     0.01725     0.01077     0.01544    0.009298     0.01351    0.007733    0.002957    0.001852     0.00273    0.001711    0.003801    0.003047
239      0.1947      0.1084      0.4183      0.2695       1.487       1.088       2.275       1.715       2.846        2.27       2.581       2.145       1.129       0.977      0.5124      0.4492      0.4648      0.4047      0.4121      0.3554     0.09316     0.08215     0.08598     0.07582    0.004092    0.003146
