#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
         6     1.03500     1.03500       6.100    0.000657919   6.044865e-19    0.000657919
        18    -1.00000     1.15820       6.100       1.122126      0.8339139       0.288212
        35    -1.00000     0.40100     101.000       3.562293        3.22876      0.3335337
        36    -1.00000     0.26670       2.200      0.0084852    0.008102431   0.0003827689
        38    -1.00000     4.21020     101.000       0.136286    0.002776424      0.1335096
        44    -1.00000     3.51936      45.000       6.265712       4.572198       1.693514
        48    -1.00000     2.43604      18.000      0.9773165      0.8362493      0.1410672
        50    -1.00000     1.18400       6.100      0.4443203   1.827341e-18      0.4443203
        56    -1.00000     2.71690      18.000       9.946136      0.6435221       9.302614
        64    -1.00000     1.32734      12.100       0.849089      0.6231652      0.2259238
        65    -1.00000     2.34630      40.000      0.4971791      0.3532881       0.143891
        91    -1.00000     0.36500       4.900     0.05970844   2.155169e-05     0.05968689
        95    -1.00000     2.44440      45.000        3.88507        3.81449     0.07058015
       106    -1.00000     2.17254     101.000      0.1300857      0.1300857   8.197322e-22
       107    -1.00000     0.52330       6.100     0.09389805    0.005146335     0.08875171
       112    -1.00000     1.22550      18.000   0.0001563623   1.990129e-20   0.0001563623
       123    -1.00000     2.60525      45.000       5.352496       5.009305      0.3431916
       126    -1.00000     1.21130     101.000       7.698663       7.579441      0.1192215
       127     0.58200     0.58200       9.700        1.69279      0.2427222       1.450068
       130    -1.00000     4.46878      45.000   6.746369e-23              0   6.746369e-23
       132    -1.00000     1.32050      25.000       7.023621       2.761871       4.261751
       135    -1.00000     1.34698      25.000     0.07545872    0.002471744     0.07298698
       142    -1.00000     2.19150      40.000       1.140706      0.8219989      0.3187068
       145     0.28000     0.28000       2.200        11.1114       4.570738       6.540665
       152    -1.00000     0.35770       4.900      0.5323186   5.502384e-05      0.5322636
       158    -1.00000     2.04448     101.000       1.748763       0.814101      0.9346616
       162     1.25600     1.25600     101.000   3.094584e-05   3.094584e-05   1.271875e-20
       169    -1.00000     2.28624      40.000       6.035463       5.849414      0.1860489
       175    -1.00000     1.69074      25.000      0.6054265      0.2428211      0.3626054
       179    -1.00000     1.79040      25.000       4.211731      0.2733583       3.938373
       180    -1.00000     1.30020      12.100      0.2286299    0.002567844       0.226062
       185    -1.00000     2.40100      45.000      0.2636291     0.01088513       0.252744
       186     1.25900     1.25900      18.000       1.088845      0.5669657      0.5218788
       207    -1.00000     2.09560      14.500       22.65754       22.51174       0.145808
       208    -1.00000     1.97570      18.000       1.307587       1.256563      0.0510248
