#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   0.337    2344   0.345
   0.030       0    3306   0.337    2344   0.345
   0.060       0    3306   0.337    2344   0.345
   0.090       1    3305   0.337    2343   0.344
   0.120       2    3304   0.337    2342   0.344
   0.150       3    3303   0.337    2341   0.344
   0.180       4    3302   0.337    2340   0.344
   0.210       6    3300   0.337    2338   0.344
   0.240       7    3299   0.336    2338   0.344
   0.270      11    3295   0.336    2334   0.343
   0.300      12    3294   0.336    2333   0.343
   0.330      16    3290   0.336    2330   0.342
   0.360      21    3285   0.335    2326   0.342
   0.390      27    3279   0.334    2322   0.341
   0.420      35    3271   0.334    2315   0.340
   0.450      37    3269   0.333    2313   0.340
   0.480      45    3261   0.333    2306   0.339
   0.510      53    3253   0.332    2300   0.338
   0.540      57    3249   0.331    2297   0.338
   0.570      59    3247   0.331    2295   0.337
   0.600      62    3244   0.331    2293   0.337
   0.630      65    3241   0.331    2293   0.337
   0.660      69    3237   0.330    2291   0.337
   0.690      71    3235   0.330    2289   0.336
   0.720      77    3229   0.329    2286   0.336
   0.750      83    3223   0.329    2283   0.336
   0.780      87    3219   0.328    2280   0.335
   0.810      90    3216   0.328    2277   0.335
   0.840      91    3215   0.328    2277   0.335
   0.870      91    3215   0.328    2277   0.335
   0.900      96    3210   0.327    2274   0.334
   0.930      98    3208   0.327    2272   0.334
   0.960     103    3203   0.327    2269   0.334
   0.990     105    3201   0.326    2267   0.333
   1.020     108    3198   0.326    2265   0.333
   1.050     113    3193   0.326    2261   0.332
   1.080     115    3191   0.325    2261   0.332
   1.110     119    3187   0.325    2259   0.332
   1.140     126    3180   0.324    2258   0.332
   1.170     127    3179   0.324    2257   0.332
   1.200     128    3178   0.324    2256   0.332
   1.230     131    3175   0.324    2254   0.331
   1.260     134    3172   0.323    2251   0.331
   1.290     137    3169   0.323    2251   0.331
   1.320     137    3169   0.323    2251   0.331
   1.350     140    3166   0.323    2249   0.331
   1.380     142    3164   0.323    2248   0.330
   1.410     144    3162   0.322    2246   0.330
   1.440     144    3162   0.322    2246   0.330
   1.470     145    3161   0.322    2246   0.330
   1.500     147    3159   0.322    2246   0.330
