# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
6        2.328      0.3775       5.648       0.916       6.785       1.101        4.88      0.7915       2.409      0.3905      0.5422     0.08795       0.207      0.0336
18      0.4067      0.4067      0.8635      0.8635       0.979       0.979       0.728       0.728      0.3799      0.3799      0.0904      0.0904     0.03483     0.03483
35      0.4694      0.3087      0.5278      0.4353      0.3898      0.3581      0.2093      0.1979     0.08268     0.07912     0.01698     0.01634    0.006446    0.006214
36       5.198       0.492       8.091      0.9335       5.978       1.455       3.192      0.9565        1.26      0.4209      0.2588      0.0905      0.0982     0.03481
38      0.4205      0.0666       2.268       0.727       6.239      0.8555       9.254        0.34       9.058       1.392       4.646       1.517       2.234        0.85
44      0.2441     0.00395       1.218      0.0305       3.317      0.0715       4.718      0.1545       4.502       0.194       2.073       0.131      0.9593     0.06875
48      0.3114      0.3064       1.007      0.9899       1.634         1.6       1.623       1.588       1.155       1.132      0.3838      0.3771      0.1605       0.158
50      0.3201      0.3201      0.7425      0.7425       1.089       1.089       1.026       1.026      0.5995      0.5995      0.1598      0.1598     0.06265     0.06265
56      0.2392      0.2297      0.8344      0.8006       1.548       1.481        1.62       1.555       1.204       1.159      0.3919      0.3791      0.1583      0.1533
64      0.5627      0.3263       1.285      0.6043       1.522      0.5908       1.254      0.5464      0.6582       0.329      0.1588     0.08899     0.06002     0.03454
65     0.09255     0.09255      0.2979      0.2979      0.5085      0.5085       0.565       0.565      0.4428      0.4428       0.147       0.147     0.05985     0.05985
91       0.503       0.503       0.632       0.632      0.5195      0.5195      0.2897      0.2897      0.1173      0.1173     0.02436     0.02436    0.009275    0.009275
95     0.08915     0.08915      0.2657      0.2657      0.3946      0.3946      0.3721      0.3721      0.2701      0.2701      0.0883      0.0883      0.0364      0.0364
106       1.317       0.177        4.29      0.5495       6.332      0.8115       5.551       0.719       3.465       0.467       0.931       0.129      0.3528      0.0493
107       1.211      0.3539       1.518      0.4655       1.024      0.3297      0.5055       0.171      0.1912      0.0674     0.03497     0.01253     0.01263    0.004526
112      0.9083      0.3788       2.053       0.647       2.208       0.908       1.584      0.7718      0.7964      0.4446      0.1844       0.114     0.07031     0.04479
123      0.1346      0.0135      0.5984      0.1033       1.323      0.1775       1.558      0.2735       1.278      0.2858      0.4552      0.1264      0.1899      0.0566
126      0.3349      0.3349       0.968       0.968       1.545       1.545        1.44        1.44      0.8465      0.8465      0.2246      0.2246       0.087       0.087
127       4.072      0.2515       7.579      0.4685       6.854       0.424       3.939      0.2435       1.653       0.102      0.3445      0.0213      0.1308      0.0081
130      0.5003     0.05955       2.296      0.5415       8.953       0.713       14.48       0.225       16.38       1.155        9.85       1.711       5.002       1.061
132      0.1083      0.1083      0.2066      0.2066      0.1978      0.1978      0.1336      0.1336      0.0605      0.0605     0.01264     0.01264    0.004606    0.004606
135      0.2714      0.2714       0.627       0.627       0.851       0.851      0.7325      0.7325      0.4024      0.4024      0.1011      0.1011     0.03857     0.03857
142      0.5866      0.1898       2.048      0.6585        3.97       1.244       4.162       1.375       2.969       1.083      0.8997      0.3594      0.3553      0.1465
145       2.242      0.4725       3.231       0.765       2.088      0.5515       1.043      0.2906      0.3926      0.1134      0.0786      0.0234     0.02961      0.0089
152       2.998       0.597       5.046       1.011       3.868       1.065       2.082       0.658      0.8222      0.2838      0.1684       0.061     0.06384     0.02345
158       2.963       0.192       9.067       0.313       13.09        0.57       11.25        0.63        6.78      0.5225       1.778      0.1635      0.6693     0.06385
162       19.08       0.115       34.97        0.21       32.23       0.195       21.12        0.13        9.38      0.0565       1.922      0.0115      0.6992      0.0042
169       0.121     0.09387      0.3375      0.2526      0.5203      0.3599      0.5282      0.3643      0.3936      0.2999      0.1255      0.1019     0.05057     0.04167
175      0.8564      0.3336       2.391      0.7875       3.382       0.745       2.906       0.571        1.78      0.4205      0.4769      0.1381      0.1825     0.05665
179      0.7239      0.0805       2.185      0.2425       3.833       0.426       3.789      0.4215       2.405       0.267      0.6789     0.07545       0.266     0.02955
180      0.4405      0.3182       1.002      0.6561       1.294      0.8108       1.035      0.6728      0.5623      0.3881      0.1405      0.1041      0.0543     0.04104
185     0.06255     0.06255      0.3404      0.3404      0.8605      0.8605       1.262       1.262       1.272       1.272      0.9595      0.9595      0.5605      0.5605
186       0.513      0.3886       1.076      0.7763       1.265      0.9307       1.042       0.799      0.5487      0.4326      0.1322      0.1068     0.05083     0.04152
