#       _id      mass3D       massP      Ktot3D       KtotP       zp_3D        zp_P
#
6         -99       10.88         -99       19.77         -99        0.91
18         -99       10.19         -99        21.4         -99        1.02
35         -99         -99         -99         -99         -99         -99
36         -99        9.75         -99       19.19         -99        0.37
38         -99          10         -99       23.68         -99        3.78
44         -99       10.25         -99       23.77         -99        3.87
48         -99       10.89         -99       22.92         -99        2.26
50         -99       10.55         -99       22.03         -99         1.4
56         -99       10.39         -99       22.99         -99        2.41
64         -99       10.19         -99       21.91         -99        1.37
65         -99       10.56         -99       22.62         -99        2.07
91         -99        9.55         -99       21.74         -99         0.5
95         -99       10.16         -99       22.45         -99        2.16
106         -99       10.72         -99       23.07         -99        2.01
107         -99        9.88         -99       21.35         -99        0.63
112         -99       10.38         -99       21.75         -99        1.05
123         -99        9.37         -99       24.24         -99        2.45
126         -99       10.96         -99       20.99         -99        1.43
127         -99       11.45         -99       19.23         -99        1.13
130         -99       10.91         -99       23.26         -99        4.42
132         -99        9.71         -99       24.15         -99        1.55
135         -99       10.05         -99       22.97         -99        1.39
142         -99       10.31         -99       22.81         -99        2.25
145         -99       10.21         -99       18.62         -99        0.28
152         -99       10.79         -99        19.2         -99        0.47
158         -99       10.75         -99       21.99         -99        1.84
162         -99       10.88         -99       20.48         -99        1.26
169         -99       10.13         -99       22.96         -99        2.04
175         -99       10.57         -99        21.8         -99        1.62
179         -99       10.47         -99        21.8         -99        1.56
180         -99        11.1         -99        20.6         -99        1.22
185         -99         -99         -99         -99         -99         -99
186        10.5       10.45        2525       21.11        1.21        1.25
207       10.11         8.6        2525       23.77        1.84        0.89
208         -99       10.16         -99       22.26         -99        1.73
213         -99       10.72         -99       18.88         -99        0.61
214         -99          11         -99       21.79         -99        2.48
216         -99        8.75         -99       19.74         -99        0.15
217       11.69       10.77        2525       22.18        2.91        2.17
227         -99        9.72         -99       21.92         -99         1.1
239       10.84       10.32        2525       23.29        3.34        2.55
242         -99       10.53         -99       21.88         -99        1.31
245         -99        9.69         -99       22.13         -99        0.83
247       7.718        4.99        2525       18.19        0.02           0
248         -99       10.21         -99       21.89         -99        1.32
254         -99        9.78         -99       23.19         -99         1.5
255       11.37       11.24        2525        20.1        1.52        1.39
256       11.95       11.59        2525       20.94        2.51        1.98
257         -99       10.52         -99       21.28         -99        1.12
262       8.678        10.6        2525       20.07        0.32        0.79
264       10.54        9.85        2525       23.43         2.5        2.48
270         -99        9.85         -99       23.13         -99        1.39
277         -99       10.26         -99       23.41         -99        2.23
288       10.11       10.13        2525       20.06        0.43        0.44
289       10.96       10.97        2525       22.26        3.15        3.05
309         -99         -99         -99         -99         -99         -99
314         -99         -99         -99         -99         -99         -99
316       11.15       10.97        2525       22.61        2.17        2.06
317       10.79       10.95        2525       18.63        0.46        0.55
330         -99        10.1         -99       23.15         -99        2.38
337       9.928        9.64        2525       23.34           3        2.87
339         -99       10.04         -99        22.1         -99        0.98
340       10.21          10        2525       22.56        1.48        1.42
343       10.36       10.53       21.09       20.86        0.86        0.95
356       9.718       10.59        2525       21.51         1.3        2.13
365       9.878        9.85       22.47        22.2        1.18        1.18
368         -99         9.4         -99        22.6         -99        0.77
371         -99         -99         -99         -99         -99         -99
374         -99       10.73         -99       19.66         -99        0.82
375       10.79       10.83        2525       21.05        1.26        1.21
376         -99       11.41         -99       22.23         -99        2.83
379       10.23        9.01        2525       23.54        4.38        0.68
381       11.95         -99        2525         -99        4.21         -99
385       10.82          11       22.72        22.2        2.57        2.26
390       9.718        9.68        2525       23.61        2.03        2.05
391       10.27       10.19        2525       22.64        2.32        2.24
394         -99         -99         -99         -99         -99         -99
398         -99        9.54         -99       23.49         -99        1.07
399         -99       10.67         -99       23.44         -99        2.67
401       9.548         9.5        2525       23.11        1.27        1.19
407        11.1       11.31        2525       20.54        1.46        1.39
409       9.968        9.98       21.24       20.92        0.67        0.72
413         -99        9.82         -99       21.66         -99        0.63
414       10.57       10.74       21.42       21.08        1.22        1.31
416         -99        8.64         -99       22.16         -99        0.38
418       10.64       10.74        2525       21.75         1.4        1.35
421       9.808        9.74        2525       22.72        1.24        1.19
428         -99        9.66         -99        23.3         -99        1.29
429         -99        9.95         -99       22.17         -99        1.15
430       10.14       10.07        2525       22.07         1.2        1.24
431       9.798        9.75       21.58       21.47        0.68        0.66
432       9.478        9.75       21.95       21.87        0.75        0.77
433         -99         -99         -99         -99         -99         -99
437        11.2        10.9        2525       23.46        3.09        2.65
438       10.42        10.4        2525       22.18        1.27        1.16
439         -99       11.04         -99       21.34         -99        1.59
442         -99       10.91         -99       21.29         -99        1.18
449         -99       10.48         -99       17.48         -99        0.23
450       10.49        9.51        2525       23.01        4.27        0.87
451       9.928        9.97        2525       22.37        0.95        1.03
468         -99       10.85         -99       24.22         -99        4.39
481         -99        7.71         -99       20.81         -99        0.08
482         -99       10.23         -99       22.56         -99        2.27
490         -99        9.74         -99       22.18         -99        1.12
498       10.59       10.93       23.56       23.87        4.36        4.42
501         -99        10.2         -99       22.53         -99        2.41
502         -99       10.32         -99       22.62         -99        2.36
503       10.47        10.3        2525        22.7        2.26        2.27
505         -99         9.8         -99       23.19         -99         2.7
506         -99         -99         -99         -99         -99         -99
509         -99        9.81         -99        20.8         -99        0.48
510         -99       10.76         -99       20.11         -99        0.77
512       9.388         9.3        2525        24.2        1.14         1.2
516         -99         -99         -99         -99         -99         -99
