#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6       4.894       5.851        3.99       26.32       26.41       4.201       31.54       1.397       1.035           0
18       1.288       2.612       2.612       5.702       5.496       5.496       6.325       5.067       1.018      0.1799
35           0     0.04229     0.04229     0.09368      0.2534      0.2534      0.2534      0.2534       0.201         0.2
36           0     0.04445     0.04445       2.216       3.009       1.758       3.026        1.74      0.3367        0.09
38   1.053e-07       129.2       129.2       340.1       492.3       161.2       515.8       184.7        3.78        0.43
44   1.118e-07   4.391e-07   4.391e-07       78.41       86.31       27.48       86.31       27.48       3.913      0.3945
48   6.531e-08       7.665       7.665       41.65       21.68        20.9       27.45       15.13        2.26       0.293
50       2.906       7.119       7.119       18.21       13.35        10.4       14.81       8.944         1.4       0.216
56           0       27.35       27.35       32.32       42.21       18.87       66.32       37.69        2.41       0.307
64           0       2.847       2.847       16.61       15.21       8.691        15.5       8.725       1.412      0.1705
65       4.682       5.592       5.592       3.786       7.974       7.974       9.982       9.982        2.07       0.276
91     0.06942      0.1838      0.1838      0.1666      0.5241      0.5241      0.5726      0.4853       0.485        0.12
95       5.661       22.46       22.46           0       9.377       9.377       22.46       22.46        2.16       0.284
106       38.19       63.57       46.47       98.57        91.9       9.594       151.8        44.7       2.119      0.0815
107      0.5215      0.4831      0.4094       3.217        2.99       1.528       3.359       1.355      0.6933        0.07
112           0       2.466       2.466       18.52       14.72       3.805       16.14       4.473       1.195        0.03
123   6.763e-08   2.123e-07   2.123e-07           0           0           0   2.123e-07   2.123e-07       2.683       0.078
126       4.632       8.494       8.494       16.84        15.1        15.1       19.18       11.91       1.463       0.186
127           0      0.1646      0.1646          10       9.733      0.2698       9.888      0.1148       0.582           0
130         340       448.9       445.9         584       623.9       95.69        1103       446.7       4.249       0.317
132       4.189       3.807       1.714           0       1.755       1.755       4.259       2.017       1.321           0
135       5.192       4.208       4.208       5.411       7.811       7.811       9.622        7.55       1.422       0.183
142       16.66       34.39       27.29       61.38       53.57       9.424       85.08       27.65       2.104       0.088
145     0.06622     0.06166     0.06166      0.7465      0.7469      0.1748      0.8094      0.1211        0.28           0
152      0.1774      0.2518      0.2518       2.848       2.975       1.646       3.123        1.63      0.4277        0.09
158       19.02       22.72       10.99       233.9       217.5       18.55         242       16.49       2.058      0.0385
162           0       1.065       1.065       223.1       220.7       2.363       221.7       1.355       1.256           0
169   5.503e-08       2.264       2.264       6.488       8.963       6.077       10.83       6.385        2.04       0.274
175       20.85       17.34       15.81       57.55       55.23       8.713       69.13       16.81       1.738       0.118
179       13.17       10.55       5.655       15.06       28.56       18.65       37.36       15.97        1.56        0.23
180           0       2.433       2.433       16.01       11.98       5.217        13.6       5.526        1.31        0.09
185        3359        2205        1652           0       199.5       199.5        2355        1503       6.201         1.7
186       7.977       6.041       3.116       8.381       8.227       4.606       14.69        3.65       1.259           0
207           0      0.9031      0.9031       24.04       19.53        5.22        20.4       5.643       2.019       0.077
208           0        1.61        1.61       15.09       15.53        5.07       16.57       4.028       1.853       0.123
213           0      0.1142      0.1142       25.69        25.4      0.2905       25.51      0.1808      0.5044           0
214       104.3       113.7       28.94       45.11       39.53       9.223       153.3       25.67       2.167           0
216     0.02413     0.01957     0.01957      0.2163      0.2166     0.05357      0.2392      0.0393       0.159           0
217       40.03       75.89       75.89       99.65       110.9        46.1       173.9       73.81       2.804       0.176
227           0      0.5835      0.5835       3.882       4.129       2.828       4.466       2.492       0.921        0.01
239   1.228e-07   3.495e-07   3.495e-07       175.8       170.8       39.28       170.8       39.28       3.555       0.176
242       4.454       3.809       3.809       1.463       9.339       9.339        10.7       8.067       1.351      0.1665
245           0      0.6609      0.6609       4.687       5.006       2.668       5.209       2.466      0.8453        0.08
247   1.961e-08    0.002381    0.002381   1.341e-06    0.007156    0.007156    0.007156    0.007156       0.051        0.05
248       3.103       2.696       2.696       13.87       13.31       6.151       14.77       5.369       1.363           0
254           0       2.281       2.281       3.333        7.64        7.64       8.208       7.119       1.489       0.214
255       47.68       45.79       8.955       19.72       21.27       5.294       67.08       3.678       1.304      0.0115
256           0       107.4       107.4       450.8       456.8       107.7         517       120.6       2.716      0.1105
257       319.4         324       127.1       351.5       345.2        33.2       674.5       99.22       2.431           0
262      0.2953      0.2889      0.1189      0.1621      0.3466      0.3466        0.57      0.3054      0.4012        0.02
264       53.37       80.18       80.18       93.56       96.66       32.66       169.6       76.56       2.721      0.0945
270       4.209       4.312       4.312       4.724       10.54       10.54       12.82       9.612       1.422       0.183
277           0       31.85       31.85       78.75       56.15       25.21       80.64       46.56        2.23       0.291
288      0.0771      0.2068      0.2068      0.9158       1.223      0.8921       1.439       1.014      0.4213        0.12
289         134       216.7       216.7       321.4       278.6       86.15       470.4       169.6       3.524           0
309   7.653e-08        3.16        3.16         101         185         183         185         183       2.951        2.35
314      0.1352      0.1318      0.1318      0.6086      0.5269      0.5269      0.5521      0.5521       0.201         0.2
316    5.74e-08       3.267       3.267       20.04       16.33       8.552       18.62       6.259       2.212      0.2425
317     0.05691     0.09398     0.09398      0.8386       1.319      0.7216       1.377      0.6859      0.3886        0.06
330   5.398e-08   2.025e-07   2.025e-07       46.67        51.7       21.58        51.7       21.58        2.38       0.304
337   6.916e-08    2.95e-07    2.95e-07           0           0           0    2.95e-07    2.95e-07           3        0.36
339      0.3559       1.149       1.149       1.524       2.504       2.504       2.867       2.299      0.9719      0.1701
340           0       2.184       2.184       7.614       8.169       5.207       9.219       4.158       1.369      0.1115
343       3.005       2.256       2.256       6.276       5.802       3.045       8.758       2.792      0.9528      0.0602
356       10.98       10.53       2.067       21.48       21.88       3.415       32.21           2       1.289      0.0105
365       1.826        2.09        2.09       4.536        4.99        4.99       6.229       4.747       1.264         0.1
368       0.785      0.8021      0.2475           0    0.005831    0.005831      0.8021      0.2475      0.7807        0.01
371           0       159.7       159.7       273.4       388.6         215       485.5       300.1       5.051        1.55
374       2.208       2.111       1.231       10.11       10.33       1.434       12.23      0.4825      0.8178           0
375       5.979       9.675       9.675       31.63        27.1       13.81       29.46       12.71        1.31      0.1525
376       40.31       187.4       187.4       349.1       450.2       182.1       564.6       260.6        2.83       0.345
379   1.792e-07     5.3e-07     5.3e-07       63.87       47.73       16.21       47.73       16.21        4.38       0.484
381       60.91       133.2       133.2       227.4       181.7       99.71       274.9       136.8        4.21       0.469
385       74.89       98.52       98.52       336.8       309.4       61.89       386.3       119.2       2.747      0.1445
390       7.577       7.113       3.182           0     0.02497     0.02497       7.113       3.182       1.866       0.109
391   5.846e-08   1.942e-07   1.942e-07           0           0           0   1.942e-07   1.942e-07        2.32       0.299
394       124.4       674.6       674.6       124.2       171.8       171.8       682.3       666.9       4.101         2.8
398       1.988       1.556       1.556      0.4654       2.761       2.761       3.894       2.441       1.204        0.04
399       36.72       81.02       81.02       188.3       172.2       39.33       235.4       90.89       2.851      0.1485
401           0      0.5523      0.5523       9.918       9.598       2.304       10.03       1.868       1.251           0
407       33.82       30.78       30.78         168       175.3       18.93         206       11.99       1.521           0
409      0.4277       0.441       0.441       5.474       5.735       2.107       6.101       1.843      0.7797        0.04
413      0.1249      0.3318      0.3318       2.651        2.58       1.472       2.807       1.333      0.7133        0.05
414        2.31       2.008       2.008        6.58       7.922       7.922       9.229       7.148        1.28        0.12
416    0.006024     0.06546     0.06546      0.3053      0.5146       0.479      0.5316       0.462      0.3758        0.12
418       3.657       3.649       3.649       16.96       14.99       14.99       16.68       13.29       1.432      0.1835
421       2.817       3.709       3.709    0.007162       6.229       6.229       7.396       5.135        1.26      0.1815
428       1.459       2.074       2.074       5.867       7.511       7.511       8.653       6.985       1.331       0.165
429       1.719        1.92        1.92       2.068       3.753       3.753       5.006       3.643       1.247        0.09
430           0      0.3296      0.3296       8.263       6.963       1.379       7.189       1.153       1.253           0
431      0.3203      0.2424      0.2424        2.57       2.437       0.959       2.677      0.8791       0.676           0
432      0.5961      0.6196      0.6196       2.291       2.268       2.268       2.843       1.862      0.7425        0.15
433       224.3       544.3       544.3           0       44.72       44.72       544.3       544.3       3.951        3.95
437       82.91       109.5       109.5         101       94.23       51.97       186.7       104.4       3.127       0.331
438      0.7458       1.258       1.258       63.57       63.74        13.3       63.83       13.21        1.28       0.092
439       35.92       37.86       10.61       1.659       8.097       8.097          41       8.048        1.59       0.023
442       7.288       4.804       4.804       40.01       35.32       9.031       38.64       9.201       1.264         0.1
449      0.1084     0.09824     0.04467      0.7072       0.595       0.174      0.6638      0.1746      0.1793        0.02
450       230.7       282.6       282.6       114.7       153.9       105.5       402.7       225.4        4.27       0.474
451      0.7759      0.8822      0.7701      0.5159       1.294       1.294        1.99       1.035       1.019           0
468   1.812e-07   5.318e-07   5.318e-07       83.56       79.09       25.49       79.09       25.49        4.39       0.485
481    0.002038     0.01375     0.01375      0.1663      0.1509     0.05981      0.1608     0.04988       0.179           0
482   4.266e-08       2.658       2.658       35.01       41.91       33.02       43.36       31.57        2.27       0.294
490           0      0.6244      0.6244       7.349       8.692       5.015       8.945       4.763       1.159        0.15
498       75.49       181.3       181.3       367.7       524.4       220.2       637.8       246.6        4.36       0.482
501       137.2       122.6       122.6       36.16       49.79       49.79       151.8       105.4        2.41       0.307
502    4.77e-08   1.997e-07   1.997e-07       54.77       78.56       32.35       78.56       32.35        2.36       0.302
503   5.524e-08   1.858e-07   1.858e-07       48.14       51.22       19.48       51.22       19.48       2.289       0.264
505   8.748e-08   2.489e-07   2.489e-07       121.2       90.53       30.68       90.53       30.68        2.75       0.283
506    0.003652       368.2       368.2     0.06429       19.27       19.27       368.2       368.2       3.951        3.95
509      0.1124      0.1767      0.1767       1.132       1.084      0.6715       1.234      0.5429       0.452           0
510        0.35      0.5478      0.5478       20.55       20.36       0.572        20.7      0.2365      0.6798           0
512       1.268       1.565       1.565       14.78       13.64       4.765       14.22       4.255       1.247        0.08
516           0       253.7       253.7       146.1       110.8       110.8       263.8       263.8       3.951        3.95
521       2.204        2.34       1.639       6.151       6.091       2.989       8.632       2.604       1.037           0
530      0.7212      0.7126      0.4188         2.5        2.66           1       3.267      0.7198        0.64           0
532       4.139       4.507        3.52       39.77       39.92       2.167       44.82        1.82      0.9746           0
533      0.7033      0.6773      0.6773       3.303       2.946       2.946       3.555       2.338        1.03           0
540        35.1       78.88       78.88       41.32       47.58       28.57         114       75.53       2.209      0.2575
541           0      0.3024      0.3024        10.2       9.568      0.6345        9.85      0.3523       0.801           0
546       30.11         142         142       634.3       533.8         113       641.8         172        3.23      0.1635
547       71.26       162.9       162.9       506.8       448.4       91.38         593       141.6       2.805      0.0965
548       44.45       49.15       28.36       124.8       111.8       21.11       161.5       22.66       2.018      0.0125
550        0.03      0.8172      0.8172       4.825       5.251        3.38        5.81       2.821       1.239        0.07
552      0.1728      0.1847      0.1847       4.406       4.369      0.3876       4.522      0.2352      0.5045           0
554           0      0.1607      0.1607       3.846       3.725      0.6429       3.834      0.5345        0.68           0
559           0       2.283       2.283        80.6       68.29       12.31       68.47       12.13       1.382       0.081
561       3.663       5.129       3.118       2.671       4.149       4.149       8.478       5.109        1.39       0.215
562       186.5       173.1       173.1       39.21       49.29       49.29       230.4       142.4       2.929      0.2715
564           0       37.45       37.45        1832        1813       19.82        1854       22.05       4.055           0
581       0.881       2.243       2.243       7.419       8.802       8.044       9.816       7.935       1.331       0.187
593       13.29       11.22       9.041       89.53       69.74       26.45       80.72       27.86       1.483      0.1875
597           0       26.06       26.06       48.94       28.41       21.65       46.26       39.15        2.28       0.295
598       1.331       3.331       3.331       44.41       42.56       4.812       43.81       3.562       1.364           0
604      0.1766      0.3353      0.3353        5.66       3.752       2.748       3.779       2.721      0.5778        0.14
606       0.809       1.015       1.015       3.124       3.057       1.874       3.931       1.079       1.008           0
620      0.6688      0.7662      0.7662       8.141       8.008       1.491       8.688      0.8109         0.8           0
621       58.02       152.3       152.3       302.1       224.2       97.84       342.9       168.7        2.48       0.313
622       2.703       3.906       3.906       5.099        7.52        7.52       9.239       6.327       1.351       0.189
628      0.5621       1.044       1.044       10.59       9.039       2.729       9.888       2.332       1.255           0
631        4.14       5.832       2.872       20.84       19.12       4.276       23.65       4.963        1.26      0.0645
637      0.1693      0.2458      0.2458       2.935       2.883      0.7282       3.054      0.5571       0.503           0
638      0.2588      0.5162      0.5162       19.37       18.33       2.458       18.79           2       0.711           0
652       9.913       11.41        4.65       32.57       28.72       10.21       39.13       9.452       1.707      0.1165
658           0       55.96       55.96       845.9       806.8       39.07       866.6       20.68       4.051           0
659           0       115.4       115.4       420.2       453.2       144.1       522.6       140.8       4.186       0.336
661       1.517       3.363       3.363       5.155       5.884       5.884       6.528       5.239       1.371      0.2015
664   6.798e-08   2.011e-07   2.011e-07       43.21       44.65       7.333       44.65       7.333       2.643        0.03
669        6.06        6.13       2.459       40.58       40.56       2.439       46.41       1.194       1.142           0
672      0.9105      0.8605      0.8605       5.012       4.863       2.783       5.673       2.444      0.9452           0
689           0      0.3078      0.3078       3.396       3.257       1.879       3.448       1.688       0.713           0
692     0.08771     0.09791     0.09791       2.854        2.85      0.1365       2.941      0.0453       0.281           0
697       13.63       12.19       9.144       24.24       23.31       5.848        33.1       9.039       2.094      0.0785
702        21.5       14.09       14.09       26.38       23.88        15.1       35.56        22.2        2.22        0.29
