#       id         snrRadio
#
         6          5.7578
        18       -0.030156
        35       -0.033375
        36          5.2818
        38          2.4369
        44       -0.029648
        48         0.99479
        50       -0.034759
        56         0.36464
        64          1.2596
        65       -0.033132
        91         0.60516
        95       -0.026052
       106          15.501
       107          1.8758
       112          1.9369
       123       -0.032244
       126       -0.033816
       127          6.3831
       130           2.592
       132       -0.032566
       135       -0.026392
       142         0.67925
       145          1.0117
       152       -0.032858
       158          13.949
       162          35.981
       169       -0.032414
       175          3.2817
       179          1.3657
       180          2.5079
       185       -0.025293
       186          2.2071
       207         0.40473
       208         0.30446
       213          39.152
       214          2.4526
       216          1.7534
       217       -0.032859
       227          2.0173
       239       -0.033552
       242       -0.030137
       245         0.77261
       247        0.015855
       248        0.011907
       254          3.8058
       255              -0
       256          9.6712
       257          8.3398
       262       -0.033789
       264          3.3472
       270          2.5563
       277          1.6243
       288          3.1967
       289       0.0008218
       309          5.9249
       314          1.3076
       316       -0.037954
       317         0.68003
       330         0.19457
       337       -0.026651
       339          1.1872
       340         0.10576
       343         0.49399
       356          2.5334
       365         0.23671
       368        0.086188
       371       -0.031148
       374          2.8489
       375          1.6661
       376          11.467
       379        0.051058
       381          2.0288
       385          6.2014
       390        -0.03394
       391       -0.031769
       394       -0.033912
       398         0.51322
       399          1.8962
       401         0.27421
       407          13.721
       409          5.2281
       413          1.4713
       414       -0.028962
       416       -0.034822
       418       -0.036294
       421       -0.023042
       428       -0.024762
       429          0.5041
       430          1.5118
       431          3.1997
       432         0.65564
       433        -0.03145
       437          1.0525
       438          5.7493
       439       -0.028771
       442          2.4073
       449          2.3001
       450         0.59731
       451       -0.024573
       468          1.1919
       481          2.9364
       482          1.8273
       490          2.1203
       498          2.2148
       501         0.50131
       502          2.9067
       503          0.8457
       505          1.2253
       506         0.18626
       509          2.7396
       510          5.6937
       512          1.5255
       516          6.7162
       521         0.23908
       530         0.33857
       532          7.3657
       533         0.57502
       540         0.35947
       541          3.2717
       546          7.2577
       547          9.1857
       548          11.753
       550          1.4312
       552          4.6077
       554          1.4995
       559          8.8937
       561        0.057154
       562       -0.033971
       564          19.622
       581          1.3352
       593          4.2618
       597          1.2167
       598          4.8412
       604          3.1057
       606         0.88988
       620           2.255
       621           6.458
       622           2.127
       628       -0.029166
       631          4.8685
       637          3.0738
       638          12.948
       652       -0.029342
       658          29.092
       659          2.9175
       661       -0.027663
       664       -0.031686
       669          5.8998
       672          3.0222
       689         0.90456
       692          4.1901
       697         0.99819
       702         0.55153
       710         0.29097
       713         0.81544
       714          3.5728
       718           1.529
       719       -0.031677
       721        0.090057
       729          1.0987
       737          15.665
       740       -0.030755
       748          1.8051
       749          3.1247
       753       -0.031676
       760          2.3407
       762          2.8656
       768         0.93984
       776         0.26903
       779          17.587
       786       -0.028232
       793          2.9403
       804       -0.032751
       805         0.49547
       807          4.8468
       808          6.9317
       809       -0.032869
       825          1.7749
       826         0.96729
       827          20.539
       837          1.9771
       841          3.3145
       849          3.7545
       860          1.3546
       866          2.3584
       867       -0.035229
       870          8.3562
       872          2.7423
       877          1.4596
       878         0.39651
       881         0.48415
       884        -0.03477
       885          6.3828
       886          1.6564
       892          1.6696
       893          5.3882
       899          1.5383
       902          2.4685
       915           6.159
       917          3.0052
       922       -0.032615
       923          8.0825
       924       -0.029715
       926       -0.029143
       928           4.254
       931       -0.035211
       934          1.3859
       937          1.9822
       939           11.57
       950       -0.032982
       951          5.6907
       960       -0.033298
       965          1.8865
       966           1.589
       972       -0.027141
       974          5.3906
       994        -0.03358
       995           4.039
      1002          6.7164
      1005          6.6569
      1006          11.315
      1008          2.3815
      1023       -0.032753
      1026        0.090123
      1035       -0.029945
      1036         0.63312
      1037          2.0175
      1042         0.58884
      1053          1.5006
      1058          1.3799
      1064           2.432
      1075         0.91479
      1076       -0.033283
      1077          4.1503
      1081          2.2543
      1084          8.4337
      1089          1.6489
      1091       -0.024584
      1094          4.9226
      1101            1.81
      1102          3.9549
      1103          3.9269
      1104          1.5283
      1105          2.4864
      1109          1.3012
      1113          1.7157
      1118         0.78555
      1121              -0
      1123          1.0472
      1125          1.2582
      1129          2.3823
      1133         0.47131
      1135          7.4086
      1140        -0.03556
      1141          2.6371
      1143          1.9427
      1144       -0.029569
      1146          3.8417
      1147         0.04197
      1148          5.2416
      1150          2.0741
      1159          11.183
      1160         0.25482
      1167          4.6133
