#            id   flag_SB_MS_1   dist_to_MS_1   dist_to_MS_2        log_SFR   log_SFR_MS_1    log_SFR_MS_2
#
              6             -1      -0.186223      -0.252798        1.42193        1.60816        1.67473
             18              0       -0.28076      -0.373832       0.772175        1.05294        1.14601
             35              0            -99            -99     -0.0091286            -99            -99
             36             -1       0.273519      0.0572578       0.499824       0.226305       0.442567
             38              0        0.96867        1.07635         2.5955        1.62683        1.51914
             44              0      0.0148621       0.062873        1.84417         1.8293        1.78129
             48              0       -0.53628      -0.561747        1.57978        2.11606        2.14153
             50              0      -0.628484      -0.690094       0.913019         1.5415        1.60311
             56              0      -0.135543     -0.0676437        1.62149        1.75703        1.68913
             64              0      -0.269278      -0.278625       0.973497        1.24278        1.25212
             65              0      -0.728836      -0.716257        1.07445        1.80329        1.79071
             91              0      -0.516206      -0.647954      -0.344765       0.171441       0.303188
             95              0      -0.362458      -0.259081        1.15045        1.51291        1.40953
            106             -1       -0.42745      -0.445664        1.48416        1.91161        1.92982
            107              0     -0.0964378      -0.247201       0.448397       0.544835       0.695598
            112              0      -0.161017       -0.27024        1.05805        1.21906        1.32829
            123              0       0.350209       0.637283        1.35641         1.0062       0.719126
            126              0      -0.731006      -0.768897        1.14333        1.87433        1.91222
            127             -1      -0.802952      -0.536954       0.951532        1.75448        1.48849
            130              0        0.47348       0.353711        2.83784        2.36436        2.48413
            132              0      -0.785992      -0.705154      0.0530784       0.839071       0.758232
            135              0      -0.218152       -0.19399       0.923607        1.14176         1.1176
            142              0       0.359211       0.436695        2.01452        1.65531        1.57783
            145             -1       -0.66744      -0.902447       -0.13324         0.5342       0.769206
            152             -1      -0.591418      -0.673162       0.522183         1.1136        1.19535
            158             -1       0.301643       0.261771        2.12969        1.82805        1.86792
            162              1       0.608011       0.550444        2.33885        1.73084        1.78841
            169              0       -0.27769      -0.177351        1.17696        1.45465        1.35431
            175             -1     -0.0699997      -0.089255        1.63889        1.70889        1.72814
            179              0      0.0552494      0.0543443        1.68735         1.6321        1.63301
            180              0       -1.01659       -1.02093       0.863858        1.88045        1.88479
            185              0            -99            -99        2.10072            -99            -99
            186              0      -0.423173      -0.502309        1.00903         1.4322        1.51133
            207              0      -0.324273      -0.240372        1.04961        1.37388        1.28998
            208              0      -0.292776      -0.233617        1.08063         1.3734        1.31424
            213             -1       0.365217        0.24987        1.48387        1.11866          1.234
            214              0      -0.373223      -0.413924        1.92371        2.29693        2.33763
            216              0     -0.0164572     -0.0853385      -0.739213      -0.722756      -0.653875
            217              0       -0.83276      -0.792826        2.01828        2.85104        2.81111
            227              0     -0.0611144     -0.0844284       0.560863       0.621977       0.645291
            239              0      -0.335885      -0.371514        1.91275        2.24864        2.28427
            242              0      -0.790456      -0.859071       0.706803        1.49726        1.56587
            245              0     -0.0165466     -0.0716559        0.49955       0.516096       0.571206
            247              0      -0.714619      -0.597964       -2.34756       -1.63294        -1.7496
            248              0      -0.251301      -0.266304        1.00389        1.25519         1.2702
            254              0       0.188344       0.290407        1.16732       0.978974        0.87691
            255             -1      -0.654461       -0.56131        1.49402        2.14848        2.05533
            256             -1      -0.433487      -0.235601        2.57426        3.00775        2.80986
            257              1       0.625248       0.666546        2.48968        1.86443        1.82313
            262              0       0.205589       0.221438      -0.394911      -0.600499      -0.616349
            264              0      0.0165838      0.0522286        1.88734        1.87075        1.83511
            270              0     -0.0545286     -0.0187752       0.859499       0.914027       0.878274
            277              0      0.0352711       0.122109        1.64591        1.61064         1.5238
            288              0      -0.479615      -0.706671       0.091667       0.571282       0.798338
            289              0      0.0161528     -0.0388682        2.34713        2.33098          2.386
            309              0            -99            -99        2.26951            -99            -99
            314              0            -99            -99      -0.401428            -99            -99
            316              0       -1.00593       -1.02315        1.29181        2.29775        2.31496
            317              0      -0.955351       -1.03133       0.126781        1.08213        1.15811
            330              0       0.177543       0.305247        1.69862        1.52108        1.39338
            337              0      0.0399211       0.205721        1.53681        1.49689        1.33109
            339              0      -0.569629      -0.645468        0.33686       0.906488       0.982327
            340              0      -0.389336      -0.396347       0.884512        1.27385        1.28086
            343              0      -0.316369      -0.461684       0.767304        1.08367        1.22899
            356              0       0.602469       0.684005        1.45332        0.85085       0.769313
            365              0       -0.22922      -0.217465       0.666424       0.895644       0.883889
            368              0      -0.113265      -0.118386       0.150142       0.263407       0.268528
            371              0            -99            -99         2.5662            -99            -99
            374             -1       -0.33328      -0.443777        1.01953        1.35281        1.46331
            375             -1      -0.220353      -0.279744         1.5164        1.73676        1.79615
            376             -1      0.0218704     -0.0150159        2.66464        2.64277        2.67966
            379              0        0.23889       0.244603        2.07078        1.83189        1.82617
            381              0       -1.40671       -1.51821        1.77276        3.17948        3.29098
            385             -1        0.31566       0.299065        2.44623        2.13057        2.14716
            390              0      -0.333943      -0.154453       0.770705        1.10465       0.925158
            391              0      -0.360591      -0.271129        1.28058        1.64117        1.55171
            394              0            -99            -99        2.07954            -99            -99
            398              0       -0.36902       -0.31717        0.19173       0.560751       0.508901
            399              0       0.146523       0.160453        2.19479        2.04827        2.03434
            401              0       0.194554       0.293958       0.870521       0.675967       0.576563
