#       coo_SED             id   dist_to_MS_1   dist_to_MS_2       lg_Mstar         lg_SFR    lg_MSSFR_Sargent  lg_MSSFR_Schreiber               Valid                  SNR
#
             -1              6       0.119979       0.103394         10.642        1.54008              1.4201             1.43668                   1             16.6411
              0             18      0.0391331    -0.00394889        9.95195       0.904012            0.864879            0.907961                   1             1.36996
             -0             35            -99            -99            -99            -99                 -99                 -99                   0                 -99
              0             36       0.555797       0.395758        9.51195       0.610447           0.0546499            0.214689                   1             1.68652
              1             38        1.10796        1.27051        9.76195        2.54283             1.43486             1.27231                   1             5.80216
              0             44      0.0854793        0.18348         10.012        1.72673             1.64125             1.54325                   1                   1
              0             48      -0.302798      -0.278275         10.652        1.62521             1.92801             1.90348                   1                   1
              0             50       -0.49509       -0.50671         10.312       0.858357             1.35345             1.36507                   1                   1
              0             56      -0.567674      -0.449785         10.152         1.0013             1.56897             1.45109                   1                   1
              0             64     -0.0253354      0.0153074        9.95195        1.02938             1.05472             1.01408                   1             1.46978
              0             65      -0.290125      -0.227556         10.322         1.3251             1.61523             1.55266                   1                   1
              0             91      -0.267465      -0.349222        9.31195       -0.28408          -0.0166156           0.0651419                   1                   1
              0             95     -0.0600332      0.0933333        9.92195        1.26482             1.32485             1.17148                   1                   1
              0            106     -0.0304397     0.00133537         10.482        1.69311             1.72355             1.69178                   1             2.55199
              0            107      0.0784286      -0.022345        9.64195       0.435207            0.356779            0.457552                   1             1.70784
              0            112       0.034199     -0.0250341         10.142        1.06521             1.03101             1.09024                   1             1.77975
              0            123       0.709952        1.04702        9.13195        1.52827            0.818322            0.481256                   1                   1
              0            126       -1.29818       -1.28608         10.722       0.388101             1.68628             1.67418                   1                   1
             -1            127      -0.569216      -0.253228         11.212       0.997212             1.56643             1.25044                   1             98.1818
              0            130       0.647177       0.599397         10.672        2.81405             2.16687             2.21465                   1              13.254
              0            132      -0.457276       -0.32623        9.47195       0.194237            0.651512            0.520467                   1                   1
              0            135     -0.0100095      0.0641416        9.81195       0.943692            0.953702            0.879551                   1                   1
              0            142        0.51573       0.646215         10.072        1.99752             1.48179              1.3513                   1             2.67357
             -1            145      -0.448406      -0.633423        9.97195      -0.102263            0.346143             0.53116                   1             6.34699
              0            152      -0.355108      -0.388164         10.552        0.57841            0.933518            0.966574                   1             2.32964
             -1            158       0.516726       0.525935         10.512        2.15168             1.63495             1.62574                   1             115.191
              1            162       0.797855       0.790278         10.642        2.34064             1.54279             1.55036                   1              201.75
              0            169       0.050216       0.200544        9.89195        1.31681             1.26659             1.11626                   1                   1
             -1            175       0.260061       0.288283         10.332        1.77232             1.51226             1.48404                   1             6.54144
             -1            179       0.248978       0.298063         10.232        1.69302             1.44404             1.39496                   1             9.87387
