#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
6       1.456      0.0515       3.197       0.116       7.618        0.42       9.123       0.535       6.557      0.3885       3.236      0.1925      0.7283     0.04335      0.2781     0.01655        0.25      0.0017      0.2199    -0.01425     0.04934    0.002945     0.04553    0.002745     0.01891     0.00114
18      0.3681      0.1736      0.7946      0.4544       1.474      0.7476       1.605      0.9122       1.137      0.6989      0.5441      0.3566      0.1247     0.08809     0.04768      0.0342     0.04286     0.03009     0.03769     0.02566    0.008451    0.006159    0.007809    0.005691    0.003662    0.002041
35      0.2971      0.2482      0.4331      0.3754      0.5277      0.4627      0.4052      0.3639      0.2195      0.1993     0.08693     0.07937     0.01786      0.0164    0.006783    0.006237    0.006095    0.005577    0.005355    0.004867    0.001184    0.001101    0.001095    0.001018    0.001576    0.001481
36       2.384      0.2425       5.785      0.2905        9.62      0.5195       7.396       1.168       4.017       0.814       1.601      0.3735      0.3302     0.08175      0.1255     0.03154      0.1127      0.0236     0.09907     0.01509     0.02205     0.00556     0.02039     0.00513     0.02169    0.001315
38      0.1691     0.05135      0.3855     0.08925       2.087       0.525       5.638       0.551       7.712       0.138       7.191      0.5035        3.36        0.63       1.561      0.3535       1.421      0.2715       1.266       0.179      0.2919      0.0763      0.2695     0.07055     0.01093     0.00053
44      0.1683      0.0727      0.2774      0.1305      0.6579      0.4451      0.9016      0.7524       1.015      0.9265      0.8541      0.8129      0.3598      0.3497       0.162      0.1579      0.1469       0.143      0.1301      0.1265     0.02926     0.02847       0.027     0.02627    0.001455    0.001454
48      0.1732     0.09348      0.4744       0.258       1.225       1.052       1.886       1.794       1.811       1.766       1.261       1.244      0.3812      0.3773      0.1503      0.1488       0.135      0.1336      0.1186      0.1172     0.02578     0.02549     0.02378     0.02351     0.00332    0.003319
50       0.229      0.1075      0.3494      0.2465      0.5944      0.5396      0.7742      0.7528       0.706       0.697      0.4107      0.4075      0.1083      0.1076     0.04192     0.04167     0.03771     0.03746     0.03317     0.03294    0.007445    0.007395    0.006878    0.006832    0.001458    0.001458
56     0.02759     0.02233     0.05332     0.03941      0.1951      0.1842      0.3591      0.3537      0.3768      0.3742        0.28       0.279     0.09131     0.09109      0.0369     0.03681     0.03318      0.0331     0.02917      0.0291    0.006363    0.006347    0.005868    0.005852    0.000641    0.000641
64      0.1912      0.0859      0.4969      0.2862       0.993       0.522       1.257      0.7966       1.047      0.7215      0.5618      0.4083      0.1386      0.1051     0.05272     0.04027     0.04734     0.03554     0.04157     0.03047    0.009213    0.007067    0.008506    0.006524    0.002502    0.001519
65      0.1164     0.06734      0.2737      0.1701      0.7003      0.6307       1.066       1.033      0.9829      0.9681      0.6553      0.6497      0.1876      0.1865     0.07253     0.07207     0.06511     0.06467     0.05714     0.05672     0.01236     0.01227      0.0114     0.01132    0.001894    0.001893
91      0.3565      0.3292      0.5416      0.5254      0.6345      0.6285      0.5469      0.5451      0.3111      0.3105      0.1282       0.128     0.02685      0.0268     0.01024     0.01022    0.009208    0.009191    0.008097    0.008081      0.0018    0.001801    0.001665    0.001665       0.002       0.002
95     0.05648      0.0379      0.1996      0.1562      0.5034      0.4718       0.828       0.813       0.798       0.791      0.5513      0.5487      0.1636      0.1631     0.06391     0.06369      0.0574     0.05719     0.05039     0.05019     0.01091     0.01086     0.01006     0.01002    0.001498    0.001498
106      0.2529      0.0911      0.7287       0.253        2.09       0.538       3.316       0.633       2.999       0.659       1.987      0.7015      0.5768      0.2589      0.2258      0.1065       0.203     0.08985      0.1785     0.07195     0.03951     0.01908     0.03648     0.01762    0.006001    0.001359
107      0.9199      0.2072       1.508       0.338       1.528      0.4005      0.9351      0.3259      0.4479      0.1757      0.1655     0.07165     0.03017      0.0134     0.01091    0.004832    0.009765    0.004007    0.008548    0.003128    0.001886    0.000813    0.001749   0.0007504    0.005594    0.001311
112      0.4556      0.1587       1.054      0.3726       2.243      0.5035       2.342       0.824       1.606      0.7412      0.7534      0.3896      0.1657     0.09424     0.06314     0.03686     0.05676     0.03184     0.04991     0.02645     0.01118    0.006676     0.01033    0.006169    0.005662    0.001396
123      0.1299     0.06669      0.2672        0.12      0.8297      0.6893       1.361       1.281       1.349       1.308        1.03       1.012      0.3602      0.3563      0.1492      0.1477      0.1344       0.133      0.1185      0.1171      0.0263     0.02601     0.02428       0.024    0.002319    0.002319
126      0.2204      0.0874      0.2945      0.1807      0.4164      0.3551      0.4378      0.4138      0.3302      0.3201      0.1669      0.1632     0.03873       0.038     0.01472     0.01442     0.01322     0.01294     0.01162     0.01135    0.002593    0.002537    0.002395    0.002343   0.0008875   0.0008875
127       2.006      0.0105       4.659      0.0345       8.658      0.0805       7.826      0.0765       4.497      0.0445       1.887       0.019      0.3933      0.0039      0.1494     0.00145      0.1343    -0.00615       0.118    -0.01435     0.02625    0.000265     0.02426    0.000245     0.02074     0.00021
130      0.7383      0.5117       1.382      0.8118       4.186      0.9925       10.44       0.738        14.1        0.19       13.43        0.32       6.513      0.2945       3.078       0.156       2.808       0.015       2.506      -0.143      0.5838      0.0308       0.539      0.0284     0.01806     0.00136
132       0.121     0.04824      0.1981      0.1333      0.2667      0.2302      0.2218      0.2071      0.1523       0.146      0.0771      0.0748     0.01811     0.01764    0.006902    0.006718    0.006198    0.006023    0.005449    0.005283     0.00122    0.001185    0.001128    0.001094   0.0005415   0.0005415
135      0.1763      0.1043      0.3752      0.3067      0.7173      0.6787      0.9938      0.9782      0.8599      0.8531      0.4751      0.4727      0.1193      0.1188     0.04553     0.04533      0.0409     0.04071     0.03593     0.03575    0.007974    0.007936    0.007363    0.007327    0.001918    0.001918
142      0.5185      0.2412      0.9787      0.2303       2.555      0.4615       4.322       0.887       4.468       1.061       3.252       0.941       1.006      0.3536      0.3987      0.1488      0.3585      0.1213      0.3152     0.09175     0.06924     0.02653      0.0639     0.02449    0.007511    0.001923
145       1.072      0.1872       2.446       0.372       3.954       0.642       2.719      0.5345       1.405       0.301      0.5418      0.1231      0.1108     0.02639     0.04201     0.01015     0.03773      0.0075     0.03314     0.00465    0.007384    0.001792    0.006835    0.001656    0.008681    0.001368
152       1.432       0.201        3.55      0.3815       6.292      0.3935       5.235       0.782       2.922       0.558       1.189      0.2667      0.2478      0.0593     0.09438     0.02292     0.08485     0.01702     0.07458     0.01065     0.01661    0.004065     0.01535     0.00375     0.01416    0.000885
158       1.008      0.0458       3.414      0.2905       9.338       0.353       13.28        0.55       11.53       1.055       6.504        0.85       1.655       0.279      0.6292      0.1144      0.5649      0.0767      0.4959     0.03625      0.1092     0.02127      0.1009      0.0197     0.02608     0.00026
162       6.305       0.018       18.02       0.075          33        0.15       30.41        0.14       19.93        0.09        8.85       0.042       1.815      0.0085      0.6598      0.0031      0.5904    -0.03175      0.5164     -0.0689      0.1115      0.0005      0.1029      0.0005     0.08549     0.00042
169      0.0872      0.0529      0.2393      0.1511      0.6836      0.6134       1.055       1.019      0.9718      0.9542       0.644       0.637      0.1827      0.1811     0.07035     0.06975     0.06312     0.06255     0.05539     0.05485     0.01197     0.01185     0.01104     0.01093    0.001919    0.001918
175      0.4875      0.1312       1.313      0.2165       3.654       0.509       5.632      0.6575       5.091       0.601       2.932       0.409      0.7829      0.1467      0.3014        0.06      0.2708      0.0418      0.2381     0.02225      0.0528     0.01094     0.04877     0.01012     0.01045    0.001424
179       0.387       0.053       1.145      0.0885       2.804      0.2905       3.818       0.384       3.178      0.3805       1.769        0.24       0.441     0.06665      0.1653     0.02585      0.1482       0.016      0.1298     0.00545     0.02823     0.00456     0.02606     0.00421     0.00762    0.000841
180      0.2392      0.1091        0.52      0.3113       1.108      0.7142       1.368      0.9263       1.074      0.7872      0.5461      0.4183      0.1273       0.101     0.04799     0.03838     0.04308     0.03396     0.03781     0.02923    0.008358    0.006712    0.007719      0.0062    0.002834    0.001903
185      0.6723      0.0954       1.087      0.2013       3.179      0.3665       6.703       0.572       8.752       0.667       7.832      0.6485       3.379      0.3365       1.535      0.1695       1.395      0.0925       1.238       0.007      0.2821      0.0344      0.2605     0.03175     0.01129    0.001733
186       0.436      0.1341      0.8915      0.3185       1.798      0.6275       2.019      0.9285       1.513      0.8024      0.7417      0.4293      0.1674      0.1033     0.06305     0.03964     0.05661     0.03442      0.0497     0.02882     0.01103    0.007033     0.01018    0.006496    0.004299    0.001868
207      0.1281     0.06707      0.3536      0.2698      0.7046      0.6524      0.8784      0.8556      0.7721      0.7619      0.4656      0.4618      0.1353      0.1345      0.0528      0.0525     0.04749      0.0472     0.04176     0.04149    0.009275    0.009215    0.008568    0.008512    0.001727    0.001726
