#       id        snr16         snr24
#
         6           -0       39.371
        18           -0       7.8346
        35           -0       4.1756
        36           -0       11.641
        38           -0    -0.081213
        44           -0       3.6351
        48     0.040616       8.0771
        50           -0       4.1206
        56       1.1644      0.44974
        64       1.7165       4.6678
        65     0.050537       5.2017
        91           -0       5.7892
        95      0.74357       2.3828
       106     0.061438       14.715
       107           -0       8.0432
       112           -0        10.57
       123      0.64632       3.9468
       126           -0        10.81
       127       13.359       35.684
       130           -0           -0
       132     0.064622         5.89
       135           -0       5.6093
       142           -0       30.614
       145       6.7154       31.916
       152           -0       28.569
       158       5.5223       34.216
       162           -0       39.316
       169           -0       3.1803
       175       3.5617       26.005
       179      0.94617       35.302
       180           -0       8.0969
       185           -0       17.067
       186           -0       16.271
       207       1.6319       5.1037
       208     0.078137       7.3665
       213           -0       116.74
       214           -0       10.037
       216           -0       28.195
       217       1.5632       25.167
       227           -0       6.8007
       239      0.10956       6.4031
       242           -0       3.6337
       245     0.047715       7.7219
       247      0.12685       4.8367
       248           -0       6.1058
       254     0.086162       2.3693
       255       21.544       99.758
       256       14.559       110.48
       257           -0       41.443
       262       4.8517        18.92
       264      0.12283       13.495
       270           -0       5.4522
       277           -0        3.578
       288       4.8158       21.324
       289      0.90679       7.7297
       309           -0       1.4113
       314           -0       13.371
       316      0.69648       6.1299
       317        8.513        21.46
       330           -0       3.1149
       337       2.6288       3.6608
       339           -0       6.5472
       340       2.7134       6.5405
       343       5.7656       19.345
       356       3.5664        24.65
       365       2.9235       5.5088
       368      0.52423       4.7631
       371           -0    -0.082044
       374           -0        39.51
       375       10.692       27.237
       376           -0       26.765
       379      0.12271        4.657
       381      0.10624       10.537
       385      0.52605       55.224
       390      0.90762       3.0055
       391      0.17268       4.5898
       394           -0        15.28
       398           -0       6.5183
       399      0.11969       8.7744
       401       2.2596       11.242
       407       21.902       105.36
       409       3.5835       13.901
       413       1.9857        8.298
       414      0.16074       6.1885
       416           -0       6.7218
       418       4.4786       5.9095
       421      0.96797       6.0974
       428           -0       4.7907
       429           -0       6.0895
       430       2.1971       8.4569
       431       6.7415       11.278
       432       1.6114       7.1309
       433           -0       4.4648
       437     0.095746       5.4207
       438       11.984        23.75
       439           -0       55.419
       442           -0       6.9539
       449       12.659       65.315
       450       1.0617       5.9243
       451       3.4871       5.7219
       468     0.056753       4.4656
       481           -0       17.884
       482           -0       8.2782
       490       2.0621       8.7997
       498       1.3446        10.31
       501      0.16219       4.6315
       502     0.056063        7.503
       503      0.77243       9.6004
       505      0.45902       6.3723
       506      0.31459       5.7697
       509           -0       14.333
       510           -0        54.83
       512       6.3031       15.902
       516     0.066151       1.4089
       521       5.1198       17.921
       530       5.0882       16.989
       532       54.015       55.548
       533      0.61054       5.9693
       540           -0       12.988
       541       5.7591       11.586
       546           -0       22.107
       547     0.030617       34.919
       548       3.6033       21.783
       550           -0       6.5635
       552       15.825       29.301
       554           -0       15.483
       559           -0       34.069
       561       1.5935       12.634
       562           -0       6.9901
       564       2.9819       14.211
       581       1.6048       4.7299
       593       3.4824       43.954
       597      0.13421       1.7445
       598       13.162       20.275
       604           -0       4.4196
       606       5.8797       6.1798
       620       5.1779       35.155
       621     0.098737       17.865
       622       1.7402       6.0942
       628       5.6747       8.7312
       631      0.48481       17.474
       637           -0       21.199
       638           -0        12.58
       652     0.068559       26.827
       658      0.21571       8.4504
       659       1.8957       5.3824
       661           -0       4.1474
       664     0.065216       5.4908
       669       9.8048       25.511
       672       4.9036       13.833
       689           -0       6.3394
       692       34.386       115.15
       697       4.0961       14.803
       702       2.6513       7.3682
       710      0.10552         4.46
       713       5.6946        8.476
       714      0.29285       10.489
       718           -0       22.838
       719       1.8308        6.289
       721       3.3755       11.023
       729       2.8172       6.8888
       737       14.205       55.519
       740       4.5191       9.2913
       748           -0       2.8319
       749           -0       5.7208
       753       2.8948       5.2352
       760       5.2769       14.763
       762           -0       15.856
       768           -0        4.914
       776      0.02538       4.8013
       779       13.295       59.888
       786           -0       3.3374
       793       1.2636       1.0221
       804     0.056166       8.4528
       805       1.5681       6.0682
       807           -0       11.384
       808           -0       25.245
       809           -0       8.7465
       825           -0       5.2773
       826           -0       13.232
       827           -0       44.658
       837       2.5506       4.2657
       841      0.12562       0.6538
       849     0.019735        5.128
       860       4.8268       30.815
       866       2.2354       9.2645
       867       4.9971       5.3788
       870           -0       59.148
       872     0.074781       25.587
       877           -0       3.1335
       878        7.575        17.01
       881       1.3038       5.0008
       884      0.95054       17.617
       885       27.276       101.21
       886       6.2705       10.173
       892           -0       7.8435
       893       18.838       61.271
       899       1.5868        6.187
       902       9.7472       38.115
       915       3.7004       28.309
       917           -0       29.721
       922       2.5146       4.1126
       923           -0       22.892
       924           -0       5.0831
       926       1.8688       2.4065
       928       1.9829      0.49586
       931           -0       15.864
       934       3.5803       14.795
       937           -0       14.095
       939       48.712        108.9
       950        10.25         22.9
       951       6.3969       7.6214
       960           -0        6.209
       965       2.5696       10.162
       966       2.3589        9.322
       972      0.97909       4.8365
       974      0.11529       2.4824
       994           -0       5.2042
       995       4.3716       6.5933
      1002       11.924       26.478
      1005       7.3814       29.783
      1006       46.188       112.43
      1008       24.952       51.767
      1023           -0       3.0472
      1026      0.88612       8.4983
      1035        2.743       5.1778
      1036           -0       6.4185
      1037           -0       21.046
      1042       1.9338       3.2762
      1053      0.12872       21.328
      1058       2.6794       6.2049
      1064           -0       7.3489
      1075       12.314       27.959
      1076       2.8895       9.0714
      1077       15.046       53.581
      1081           -0       11.301
      1084       52.142       94.365
      1089           -0        20.71
      1091      0.12397       4.0878
      1094       4.6791       20.047
      1101           -0       8.7706
      1102       12.074       24.343
      1103       15.663       27.954
      1104       2.0667       18.379
      1105       12.064       26.702
      1109           -0       21.344
      1113       8.6252       11.067
      1118           -0       8.7655
      1121       2.2967       8.8408
      1123       1.3237       6.6318
      1125           -0       9.7009
      1129      0.11007       4.7909
      1133       2.1337       5.1864
      1135       7.8154        25.62
      1140           -0       11.751
      1141           -0        18.51
      1143       26.357       53.768
      1144       4.0021       5.9159
      1146           -0      0.21462
      1147       3.2897       15.418
      1148       1.3474       23.016
      1150       14.526       18.201
      1159     0.036345       38.467
      1160      0.56324        17.08
      1167      0.63663       4.9773
      1168       3.7247       24.874
      1172           -0       4.2888
      1181      0.11584       6.0226
      1186           -0       11.419
      1202       3.2367       3.5566
      1208       1.3543       5.6209
      1221       13.667       25.255
      1222      0.64052       5.8638
      1225           -0       35.941
