#           _id          snr100      snr160      snr250      snr350      snr500     snr1160       snrIR
#
              6        3.39474       1.342       6.184       3.325       1.837         -99       8.124
             18              0       2.512         -99         -99         -99         -99       2.512
             35        1.49168         -99         -99         -99         -99         -99       1.492
             36        8.65732       6.375       2.422         -99         -99         -99       11.02
             38     2.4259e-05       1.286        2.28       2.107       1.971      0.6755       3.954
             44        1.43147   9.428e-06   1.926e-07   6.441e-08     0.06185   1.272e-10       1.433
             48    2.52812e-05   6.912e-06         -99         -99         -99         -99   2.621e-05
             50        1.77638   1.767e-05         -99         -99         -99         -99       1.776
             56            -99   1.565e-05         -99         -99         -99         -99           0
             64       0.424299       2.136         -99         -99         -99         -99       2.177
             65     3.9127e-05   1.259e-05         -99         -99         -99         -99    4.11e-05
             91       0.714345   1.215e-05         -99         -99         -99         -99      0.7143
             95       0.267141    1.38e-05         -99         -99         -99         -99      0.2671
            106         3.1063   0.0005735       3.101       2.428         -99      0.8756       5.092
            107        4.26281     0.01419         -99         -99         -99         -99       4.263
            112        2.26566       2.313         -99         -99         -99         -99       3.238
            123       0.515001   7.397e-06         -99         -99         -99         -99       0.515
            126    3.67676e-05   1.196e-05         -99         -99         -99         -99   3.866e-05
            127        9.64392           8       8.748       2.606         -99         -99        15.5
            130    2.03239e-05      0.9777       4.195       4.231       5.303   1.555e-10       8.036
            132      0.0304629   1.654e-05         -99         -99         -99         -99     0.03046
            135        1.01687   1.352e-05         -99         -99         -99         -99       1.017
            142        1.33066   1.136e-05       2.429      0.7022         -99   1.915e-10       2.858
            145         4.7372       4.467       1.223         -99         -99         -99       6.625
            152        7.11941       4.219       3.225       1.407         -99         -99       8.993
            158        10.0251       7.792       6.527       2.849         -99       1.679       14.65
            162         71.665       29.61       15.26        4.73       2.297   2.013e-10        79.2
            169    2.77809e-05         -99         -99         -99         -99         -99   2.778e-05
            175        2.38333      0.7932       3.817        1.47         -99         -99         4.8
            179        2.14441       2.315         -99         -99         -99         -99       3.155
            180              0      0.7263         -99         -99         -99         -99      0.7263
            185        3.07371       1.725         -99         -99         -99         -99       3.525
            186        1.76755       1.876         -99         -99         -99         -99       2.577
            207       0.518085       0.901         -99         -99         -99         -99       1.039
            208        1.23842   1.498e-05         -99         -99         -99         -99       1.238
            213        37.7024        15.6       8.394       2.345       3.328      0.8331       41.86
            214        1.93043     0.06877   3.541e-05    2.28e-08         -99      0.8089       2.094
            216        5.51874       3.408      0.4282         -99         -99         -99       6.501
            217        1.83311       2.053      0.8792       1.209         -99       1.425       3.441
            227    2.94313e-05       2.684         -99         -99         -99         -99       2.684
            239     4.2906e-05   2.066e-05         -99         -99         -99       2.318       2.318
            242     2.5748e-05   1.361e-05         -99         -99         -99         -99   2.912e-05
            245       0.342427       2.946         -99         -99         -99         -99       2.966
            247      4.844e-05         -99         -99         -99         -99         -99   4.844e-05
            248        2.25716        2.01         -99         -99         -99         -99       3.022
            254    3.84871e-05    1.03e-05         -99         -99         -99         -99   3.984e-05
            255        8.70735       6.644           0         -99         -99         -99       10.95
            256        6.67135       8.748       4.733       2.126       4.618       1.149       13.06
            257        12.7078       9.419       5.975       2.552         -99   2.214e-10        17.1
            262      0.0650658       1.842         -99         -99         -99         -99       1.843
            264        3.29438     0.07426       2.331         -99         -99         -99       4.036
            270        1.09143   9.657e-06         -99         -99         -99         -99       1.091
            277        1.27822      0.1439       1.235       1.229         -99         -99       2.166
            288        4.35654       0.493         -99         -99         -99         -99       4.384
            289        2.33626      0.8733       4.596       2.123      0.6971   2.192e-10       5.687
            309    2.29503e-05   9.106e-06      0.4293       1.073       0.422   1.833e-10        1.23
            314     3.1873e-05       1.839         -99         -99         -99         -99       1.839
            316    3.47325e-05       1.687         -99         -99         -99         -99       1.687
            317        4.47474       2.089         -99         -99         -99         -99       4.939
            330      0.0447989       1.434      0.4829         -99         -99         -99       1.514
            337       0.424943   2.156e-05         -99         -99         -99         -99      0.4249
            339      0.0132122      0.6562         -99         -99         -99         -99      0.6563
            340       0.606383       2.339         -99         -99         -99         -99       2.416
            343        1.44805       2.098         -99         -99         -99         -99       2.549
            356        5.86218       4.374      0.8273   6.677e-08         -99         -99       7.361
            365       0.209043       1.116         -99         -99         -99         -99       1.135
            368    3.16453e-05    1.09e-05         -99         -99         -99         -99   3.347e-05
            371    3.38503e-05      0.5516       1.349      0.4411   8.269e-08      0.8327       1.735
            374        6.59242       6.572       3.994       1.249         -99         -99       10.21
            375        3.51815       4.177       2.043         -99         -99         -99       5.831
            376         2.4358       3.923       5.202        4.34       2.075       0.629       8.481
            379    5.13643e-05   1.411e-05      0.7919   6.133e-08      0.2746   2.072e-10      0.8382
            381        1.39092       0.612       1.911       1.769      0.1594      0.5604       3.071
            385        3.91008       3.485       7.131       5.059       2.634       1.435       10.62
            390    2.58098e-05   8.406e-06         -99         -99         -99         -99   2.714e-05
            391       0.311524         -99         -99         -99         -99         -99      0.3115
            394         1.6332       2.218         -99         -99         -99         -99       2.754
            398       0.193593   3.031e-05         -99         -99         -99         -99      0.1936
            399        2.27436       1.922         1.3       1.432   5.069e-08   3.164e-10        3.55
            401    4.17753e-05      0.8488         -99         -99         -99         -99      0.8488
            407        15.8495       9.229       8.755       5.267     0.04324       1.128       21.02
            409        1.51964       1.561         -99         -99         -99         -99       2.179
            413        1.15222       3.132       1.258         -99         -99         -99       3.566
            414        2.30037      0.3489         -99         -99         -99         -99       2.327
            416        0.49384       1.528         -99         -99         -99         -99       1.606
            418        2.58569      0.9912         -99         -99         -99         -99       2.769
            421    3.14931e-05      0.2838         -99         -99         -99         -99      0.2838
            428    3.83304e-05       1.914         -99         -99         -99         -99       1.914
            429        2.41674   1.655e-05         -99         -99         -99         -99       2.417
            430        2.14401      0.4911         -99         -99         -99         -99         2.2
            431        2.26903       1.204         -99         -99         -99         -99       2.569
            432        2.43712      0.3147         -99         -99         -99         -99       2.457
            433        1.43028      0.6466         -99         -99         -99   2.706e-10        1.57
            437        2.49375       1.685         -99         -99         -99       2.133       3.689
            438         19.966        10.9      0.7665      0.8788         -99         -99       22.78
            439     3.2661e-05       0.913         -99         -99         -99         -99       0.913
            442        6.24288        9.59       2.004       1.398         -99         -99        11.7
            449        10.8424        11.1       3.588       1.601         -99         -99       16.01
            450         2.7532      0.9118       1.131   5.174e-08      0.4661   3.066e-10       3.148
            451              0       1.388         -99         -99         -99         -99       1.388
            468       0.815844      0.0301   1.383e-07       1.106      0.3742       1.603       2.145
            481        3.20848       1.883         -99         -99         -99         -99        3.72
            482    3.31572e-05   1.615e-05         -99         -99         -99         -99   3.688e-05
            490     4.4715e-05   1.047e-05         -99         -99         -99         -99   4.592e-05
            498        0.90807       1.817       3.936      0.9613      0.4283       1.186       4.705
            501        1.86645       2.658   7.865e-08         -99         -99         -99       3.248
            502    5.00332e-05   2.575e-05         -99         -99         -99         -99   5.627e-05
            503    4.62957e-05   1.673e-05         -99         -99         -99         -99   4.922e-05
            505    4.73139e-05   1.308e-05         -99         -99         -99         -99   4.909e-05
            506         2.1665   2.669e-05         -99         -99         -99         -99       2.166
            509         1.3034      0.6982         -99         -99         -99         -99       1.479
            510        18.1294       13.26       4.197       1.561         -99         -99        22.9
            512        3.22765       1.225         -99         -99         -99         -99       3.452
            516    4.02674e-05      0.3029       1.816       0.485       1.252       0.697       2.383
            521        1.02872       1.287         -99         -99         -99         -99       1.648
            530        2.57633       2.848         -99         -99         -99         -99       3.841
            532        12.6124       15.67       6.986       1.609         -99         -99       21.35
            533        1.48955       1.266         -99         -99         -99         -99       1.955
            540        1.67634       1.009      0.9435         -99         -99         -99       2.172
            541        6.23105       8.923       2.025         -99         -99         -99       11.07
            546        4.35387       5.575       1.545       1.164       1.144      0.6669       7.452
            547        7.63653       7.027       3.082       1.206      0.8664       1.101       10.98
            548        5.71388        4.78       4.706       1.621      0.3769   2.505e-10       8.967
            550    3.62979e-05   1.777e-05         -99         -99         -99         -99   4.042e-05
            552        11.3103       6.833       3.152      0.7369         -99         -99        13.6
            554        2.73593       5.216   6.544e-08         -99         -99         -99        5.89
            559        5.24796       8.307       2.421       1.035         -99         -99       10.17
            561       0.404442   1.475e-05         -99         -99         -99         -99      0.4044
            562        3.35178      0.9679      0.9203         -99         -99         -99       3.608
            564        2.40209        10.8       9.112       5.942       6.329       10.96       20.02
            581    4.90874e-05       1.204         -99         -99         -99         -99       1.204
            593        1.83286       5.771       1.988      0.5107         -99      0.6965       6.431
            597       0.803914   2.836e-05         -99         -99         -99         -99      0.8039
            598        6.32704       4.392       1.929       1.267         -99         -99        8.04
            604    2.12759e-06       0.164         -99         -99         -99         -99       0.164
            606     3.8088e-05   1.421e-05         -99         -99         -99         -99   4.065e-05
            620        3.78689       6.672      0.5003         -99         -99         -99       7.688
