#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1              6        1.51614        1.60816          32.82          1.309          10.88
              0             18       0.866228        1.05294          7.349          5.897          10.19
              1             35       -0.19382       -85.6419           0.64        0.02589            -99
              0             36       0.634679        0.23452          4.312          2.866           9.75
              1             38        2.65753        1.62683          454.5          106.3             10
              1             44        2.55546        1.83148          359.3          89.84          10.25
              0             48        1.58433        2.11606           38.4          27.87          10.89
              0             50        1.23528         1.5415          17.19          9.586          10.55
              0             56        1.17782        1.75703          15.06          15.06          10.39
              0             64        1.12872        1.24278          13.45           9.39          10.19
              0             65        1.23654        1.80329          17.24          10.44          10.56
              0             91      -0.209785       0.155695         0.6169          0.428           9.55
              0             95       0.917243        1.51291          8.265          4.485          10.16
              0            106        2.01536        1.91161          103.6          37.35          10.72
              0            107       0.477411       0.544835          3.002          1.912           9.88
              0            112        1.05154        1.21906          11.26          6.804          10.38
              0            123        1.67834        1.00638          47.68          22.98           9.37
              0            126        1.22943        1.87433          16.96          13.27          10.96
             -1            127        1.01995        1.75448          10.47         0.1855          11.45
              1            130        3.12418        2.37291           1331          201.5          10.91
              0            132         1.0406       0.910259          10.98          6.207           9.71
              0            135        1.06633        1.14176          11.65          9.366          10.05
              0            142        1.94787        1.68043          88.69          44.43          10.31
             -1            145     -0.0509029         0.5342         0.8894        0.02768          10.21
              0            152       0.702861        1.14531          5.045          3.148          10.79
              0            158        2.17173        1.87492          148.5          69.99          10.75
              1            162        2.36021        1.73084          229.2          5.954          10.88
              0            169        1.12483        1.45465          13.33          6.046          10.13
             -1            175        1.72313        1.70926          52.86          12.82          10.57
             -1            179        1.72272         1.6321          52.81          3.474          10.47
              0            180        1.03981        1.88045          10.96          8.555           11.1
              0            185        1.72811        -84.914          53.47          52.92            -99
              0            186        1.16047         1.4322          14.47          6.298           10.5
             -1            207        1.34577        1.41656          22.17            5.8          10.11
             -1            208        1.22968        1.40952          16.97          5.026          10.16
              1            213        1.48244        1.11866          30.37          0.576          10.72
              0            214        1.99423        2.29693          98.68          68.74             11
              0            216      -0.546529      -0.722756         0.2841        0.02359           8.75
              0            217        2.12418        2.82925          133.1          51.48          11.69
              0            227       0.568319       0.621977          3.701          2.388           9.72
              0            239        1.97433        2.24662          94.26           65.4          10.84
              0            242        1.03543        1.49726          10.85          6.795          10.53
              0            245       0.461198       0.474925          2.892           1.01           9.69
              0            247       -2.32066       -1.64181       0.004779       0.004778          7.718
              0            248        1.15442        1.25519          14.27          5.934          10.21
              0            254        1.23477       0.978974          17.17          13.11           9.78
              0            255          1.463        2.14848          29.04          11.15          11.37
              0            256        2.61805         3.0111            415            159          11.95
              1            257        2.33385        1.86443          215.7              0          10.52
              0            262      -0.168514      -0.600499         0.6784         0.3932          8.678
              0            264          1.832        1.86355          67.92          29.41          10.54
              0            270        1.18583       0.983758          15.34          11.79           9.85
              0            277         1.4096        1.61064          25.68           14.9          10.26
              0            288       0.111599        0.54712          1.293         0.8512          10.11
              0            289          2.613         2.3311          410.2            153          10.96
              1            309        3.27577       -84.5199           1887            280            -99
              0            314      -0.176395       -85.6419         0.6662         0.2458            -99
              0            316        1.33666        2.29775          21.71          14.66          11.15
              0            317        0.16938        1.08213          1.477         0.7075          10.79
              0            330        1.77247        1.52108          59.22          50.52           10.1
              0            337         1.6507        1.49689          44.74          36.79          9.928
              0            339       0.423901       0.906488          2.654          1.877          10.04
              0            340        1.06856        1.28927          11.71          6.236          10.21
              0            343        0.82614        1.10319          6.701          3.377          10.36
              0            356        1.42749       0.808705          26.76          9.904          9.718
