#         id350           f350           df350
#
              6        10.9418        3.28962
             38        5.45359        2.58805
             44    2.90529e-07        4.51008
            106        8.84072        3.64122
            127         8.8628        3.40088
            130        20.7901        4.91385
            142        2.73133        3.88859
            152        4.45984        3.16904
            158        9.83708        3.45281
            162        18.8425        3.98259
            175        5.13812        3.49637
            213        27.2462        11.6155
            214    2.90529e-07        12.7384
            217        6.71964        5.55931
            256        13.0033        6.11521
            257        6.49346        2.54418
            277        4.14379        3.37181
            289        7.83918        3.69192
            309        3.20589         2.9894
            356    2.90529e-07        4.35123
            371       0.901739        2.04411
            374        2.45403        1.96427
            376        12.4853        2.87794
            379    2.90529e-07        4.73654
            381        2.80028        1.58299
            385        8.89911         1.7585
            399         4.9232        3.43898
            407        17.7412        3.36767
            438        5.01177        5.70283
            442        5.96877        4.26953
            449        6.79015        4.24032
            450    2.90529e-07         5.6148
            468        5.10165        4.61249
            498        4.27257        4.44457
            510        11.1169        7.12525
            516        2.11171        4.35522
            532        8.19822        5.09429
            546        10.3983        8.93727
            547         10.157         8.4223
            548        7.44966        4.59633
            552        2.01109        2.72918
            559        8.07586        7.80529
            564        29.8588        5.02545
            593        2.12526        4.16091
            598        9.30775        7.34802
            621        4.38108        2.49967
            638        15.1675        3.56475
            658        21.0223        5.13989
            659        4.51761        7.83183
            669        10.3604        3.72892
            692        6.92626        2.22611
            714    2.90529e-07        4.53479
            737        3.83695        3.64721
            807        7.29692        6.52056
            827        21.9542        3.51845
            837    2.90529e-07        6.12983
            841    2.90529e-07        5.18171
            870        5.28555        9.01756
            884        14.4081        7.21047
            893        6.16122        2.87509
            902        7.07529         4.8082
            915        9.04985        6.23213
            917         12.598        3.28684
            923        14.2909        5.89149
            939        11.1419        6.80846
            974        6.30552        5.11761
            995        3.92538        2.34944
           1005        10.7264        6.20599
           1006        14.4945        6.99289
           1008         6.5359        3.99756
           1036    2.90529e-07        6.44538
           1053        1.84532        5.05988
           1076        9.06038        4.23882
           1084        9.66026         2.6984
           1094        5.31243        2.08068
           1105        1.74922        2.81394
           1109        17.0867        8.48313
           1129        2.51123        5.88354
           1135        8.77444        3.88008
           1143        1.27155        2.19413
           1146    2.90529e-07        6.08703
           1148        9.38763        5.25807
           1159        15.6765          2.716
           1167        8.34568        12.8632
           1168        11.8406         13.276
           1225        13.5753        4.42585
           1235    2.90529e-07        14.8632
           1239        10.8646        1.87754
           1248        11.1681        4.58338
           1262        10.8981        13.3746
           1269    2.90529e-07        7.04465
           1284        5.19971         4.0558
           1285        3.52868        3.13796
           1293        6.39099        5.49607
           1341         7.0997        4.15997
           1368        5.09287        1.73227
           1384        5.04764        6.16383
           1387        8.94564        9.27334
           1394    2.90529e-07        9.11805
           1420        12.4721        7.77644
           1445        15.5293        1.57023
           1452        4.12359        8.60192
           1458        2.34336          1.675
           1475        9.72244         1.6765
           1490        9.29757        6.04614
           1491        2.40769        5.88637
           1495         7.2043         5.0077
           1501        7.42271           1.91
           1515        4.67392        1.51211
           1533        6.13943        2.24731
           1556         1.6038        4.06301
           1618        10.5419        2.57551
           1633        9.33183        2.28187
           1648        8.56863        2.18185
           1651        11.5104        3.84888
           1712        2.80272        3.86935
           1735        12.9546        2.68579
           1753        3.52984        2.48472
           1762        8.74324        1.85318
           1921        7.22751        2.86245
           1930        8.33622        2.18208
           1945         7.2212        2.44055
           2056       0.736223        1.75374
           2094        5.94476        1.52752
           2099        1.61627        1.93154
           2135        11.6065        1.74878
           2256        7.82139        1.90761
           2295        11.5867        4.05442
           2320        10.0326        4.10711
           2324       0.094795        1.55231
           2328        4.52973        3.01493
           2336        6.35543        2.82616
           2337        1.28567        4.21263
           2432        5.26948        2.77271
           2440        4.01193        2.41217
           2455        7.95366        1.27453
           2463        7.31185        2.47655
           2488        26.1574        8.40059
           2489        6.64569        8.70486
           2513        1.27373        1.81229
           2525        5.74665        6.29517
           2540        2.84403        3.00484
           2592        15.8983        1.66942
           2625        5.30938        2.08757
           2697    2.90529e-07        7.30896
           2728        13.5732        2.92074
           2738        6.16854        1.80177
           2739        3.35374        2.86692
           2746        4.08483        2.82796
           2841        11.0533        4.01806
           2893        7.63247        6.54572
           2925        32.5351        6.53677
           2994        3.14523        1.44958
           3001        14.1397        4.72211
           3012         3.2089        2.08516
           3022        4.54456        2.16463
           3069         3.9563        1.17929
           3075        2.30392        1.28355
           3083        4.89199        1.44333
           3087        10.7009         1.4111
           3093        5.23239          4.074
           3125        11.8587        4.16915
           3145         5.4566        3.42472
           3196        4.85781        1.22608
           3289        15.8739        1.96221
           3296         6.7862        2.92494
           3393        3.45883        1.40389
           3403        6.89538        1.64639
           3417        3.44026        1.50187
           3455        3.81819        1.36841
           3526       0.101324        1.24103
           3532        11.1417        1.33548
           3535    2.90529e-07        2.07036
           3572        7.26936         3.6111
           3627        6.25061        1.77005
           3654        2.68618        3.50804
           3658        6.47084        3.21856
           3668        20.2984        3.62578
           3718        11.9896        3.12488
           3742        2.30442        1.49143
           3758        5.61786        1.22676
           3780    2.90529e-07        1.20824
           3821        8.63026        1.92658
           3827        17.8516        5.57824
           3870        8.62394        1.51654
           3883        3.53674        3.24238
           3914         9.5144        0.91786
           4004        1.72826        2.52926
           4050        1.70025        1.24939
           4083         3.6155        1.19944
           4108        7.99409         3.2438
           4145       0.318667        1.22713
           4203        6.60962        2.79209
           4211        3.30553        2.44991
           4222        4.21412        2.33984
           4226        1.95129        2.04399
           4235         7.2899        3.36448
           4266        14.4903        4.89598
           4268        1.38211        4.58585
           4270        5.48617        1.85959
           4308        4.03645        2.18902
           4312        11.5428        2.18736
           4314        5.12169        1.94586
           4320         5.0949        1.55721
           4449        10.1337        3.91292
           4456        5.15508        1.88533
           4486        1.37413        1.48411
           4500        9.58973        1.19745
           4580        6.08994        1.95701
           4601        1.31561        1.84308
           4625        6.67459        3.67456
           4633        1.39775        2.62208
           4654        6.49704        2.16013
           4656        3.23796        2.71418
           4663        4.34024        1.45966
           4762         2.6717        3.06629
           4774         3.5076        2.35188
           4799        22.3244        1.45714
           4826        13.5744        3.30638
           4846    2.90529e-07        2.64049
           4865        7.23158        2.31187
           4888         4.0824        1.46527
           4905        5.44902        2.17082
           4937        1.63044        2.29255
           4954        4.29385        3.76494
           4955        3.67901        1.04717
           4990        14.6893        2.08809
           4995        5.28929        2.06943
           4997         5.4152        3.95452
           5007        4.49509        2.71656
           5012        3.87097        1.75226
           5023         19.857         5.2953
           5028        1.71938        3.17377
           5055        3.10447        2.17796
           5067        2.03773        5.94268
           5089        25.6304        9.00788
           5090        2.90165        8.98095
           5097        5.02066        5.45664
           5133        1.66376        4.71644
           5138        2.87981        1.30712
           5147        4.85817        1.57064
           5148        4.71423        2.20356
           5156    2.90529e-07        3.80704
           5171    2.90529e-07        5.83662
           5177        5.77268        3.66372
           5211        6.09485        1.38965
           5215        44.8608        7.27991
           5265        12.1689        6.53515
           5270        5.46925        4.53791
           5321        7.17776        2.82264
           5325        19.6145        2.98471
           5337        10.2639        7.24809
           5346      0.0918255        3.49179
           5347        1.19625        1.16984
           5348        10.6083        1.40276
           5358        3.78858       0.999758
           5375        3.86085        1.89905
           5395       0.966223        1.95699
           5512        8.34292        2.36791
           5526         4.4526        3.64046
           5530        6.27176        2.59179
           5543        4.83108        3.81895
           5588        1.40171        1.90171
           5604        2.02745        1.85321
           5634        2.68759        4.95286
           5685        2.86492        1.69425
           5710    2.90529e-07        3.13301
           5730        20.0389        2.02234
           5735        4.92721        1.77219
           5747        1.60572        4.00362
           5797        5.32318        1.95142
           5802    2.90529e-07        2.78863
           5822        7.42776        2.68751
           5836        8.42289        2.91932
           5849        7.20457        3.02284
           5853        4.44694        1.14561
           5879        6.01371        2.05383
           5916        1.71458        1.46491
           5974        7.10309        2.00724
           5976         6.6311        2.76135
           6005        9.17029        1.26293
           6006        9.60441        4.76966
           6012        3.55928       0.892409
           6015        1.90358        2.04522
           6061        24.5657        1.79167
           6065       0.842495        1.62674
           6084        4.59916        2.65171
           6090        2.21587        2.15158
           6094        7.35816        2.59414
           6096        3.28393        1.08254
           6147        3.04943        2.60481
           6249        7.35928         6.8173
           6251        9.33038        1.85621
           6265        14.3278        4.93938
           6287        9.85789        1.50904
           6296        14.2364         1.6989
           6308        14.1385        1.65409
           6352        4.68262        3.49527
           6383        5.00537        1.32845
           6386    2.90529e-07        3.47349
           6406        9.58548        4.30937
           6409        8.29174        2.41113
           6464        1.32958        2.56941
           6489        9.88942        4.10696
           6509        10.5531        5.07892
           6537        9.65713        1.66023
           6547        10.5374        2.50228
           6558        1.47715        1.73523
           6665        8.20189        2.49509
           6676        4.79121        1.96542
           6710        7.33513        1.30184
           6714         11.794        3.58424
           6724        3.57196        2.51676
           6768        3.13888          3.302
           6782     -0.0813715        1.93859
           6787        8.55464        1.41769
           6820         5.4394        4.67625
           6827        16.5798        6.03377
           6828    2.90529e-07        6.00564
           6845        7.02591        4.08409
           6891        13.3381        1.46358
           6928        5.40144        6.77642
           6934    2.90529e-07        4.83071
           6950        1.89593          1.611
           6984        2.48322        1.18128
           7009        6.67907        2.78432
           7052        17.2163        2.57904
           7053        11.1008        3.38424
           7054        43.0412        2.64262
           7098        5.03761        6.65996
           7172        5.80928         2.0282
           7185        12.7609        1.80321
           7188        4.70809        2.22891
           7196        9.89236        1.71745
           7236        2.58321        1.05392
           7249        3.04862        3.57549
           7353        8.29369         2.2211
           7379        3.45796        1.36531
           7385        28.0831        12.7733
           7386        30.2754        5.67468
           7406        1.58321        1.83463
           7410    2.90529e-07        11.9535
           7426        4.10811        2.77192
           7532         2.2329        1.30691
           7548        6.01524        1.34358
           7568        6.52783        6.60286
           7577        1.21703        1.73623
           7588        8.44231        1.14412
           7598        3.26926         2.4374
           7616        10.4054        13.3663
           7630        5.29839         1.3916
           7642        5.84363        11.9557
           7678        4.42641        1.77037
           7682        9.28569        5.14475
           7683        14.8398        4.71302
           7698       0.126508        2.29625
           7711    2.90529e-07        2.23398
           7716        8.10245        5.21713
           7746    2.90529e-07        4.75781
           7803         2.2342        1.16978
           7840        3.00013        1.37152
           7847        11.4285        1.83155
           7882        3.84613        6.43082
           7897        3.38263        2.97169
           7908       0.928713        1.13423
           7925        7.57782        2.73938
           7958        14.5493        4.74819
           7959        14.3405        4.73979
           7966        2.44257         4.3406
           8027        14.5005        4.62443
           8028        6.14416        5.78102
           8047        5.48517        1.67229
           8051        1.19934        1.62477
           8053        6.16139         1.2796
           8056         3.7319        1.59065
           8065        1.14903        1.61362
           8081        9.81688        4.18841
           8092       0.915881         2.2547
           8099        3.96558         1.7141
           8113        17.3541        1.53549
           8142    2.90529e-07        4.54677
           8167        5.86633         1.7302
           8217        15.3376         5.2029
           8220        5.51609        3.08752
           8267        2.87729        1.72615
           8319        4.60851        2.12772
           8354        2.42314        3.76661
           8377    2.90529e-07        2.81247
           8427          8.851        3.97332
           8433        8.08455        1.65133
           8452        12.5739         2.5987
           8474        1.28349        1.89979
           8484        4.64698        1.38577
           8493        31.8336        5.42442
           8509        8.72299        4.19659
           8535        1.20899         1.1652
           8539         8.0563        3.56026
           8544        6.43196        1.22426
           8586        5.13386        2.05536
           8612        10.9252        6.16375
           8613        10.8308        6.56153
           8662        7.78235        1.75455
           8668        9.56476        2.38911
           8673        2.15832        2.09424
           8704        1.62526        1.40148
           8744        7.12949        5.25479
           8761    2.90529e-07        8.47787
           8764       0.192671        2.02877
           8778        18.5138        5.45965
           8785        2.51484        1.92041
           8814        2.79346        2.12819
           8847    2.90529e-07        3.09902
           8875        7.13565        2.19782
           8908        39.7632        9.06925
           8937    2.90529e-07        6.27004
           8955        5.97371        2.06293
           8965        3.50043        1.29057
           8968        9.71143        2.01566
           8973        8.12832        1.68849
           9012        9.14986        3.23582
           9022    2.90529e-07        3.66451
           9053        13.4841        1.68742
           9056        5.92694        2.46876
           9071       0.121057        2.35532
           9077        10.9832        1.95399
           9109          8.413        2.94005
           9113        7.29136        4.99214
           9153        6.43627        4.16601
           9171    2.90529e-07        7.79199
           9237        2.80581        4.03667
           9252        4.02708        2.73151
           9256        3.32107        2.55314
           9274        5.12779        2.02448
           9286        5.84972        5.39045
           9293        9.88828        1.82227
           9297        4.58336        2.42799
           9306        1.59233         3.2862
