#           _id          snr24        snr20cm         snr100         snr160         snr250         snr350         snr500        snr1160          snrIR         snrIRMM
#
              6        29.8651        3.58838        3.39474        1.34221        6.18369        3.32523        1.83739            -99        8.12385        31.1576
             18        9.71217              0              0        2.51166            -99            -99            -99            -99        2.51166        10.0317
             35         3.0453       0.910959        1.49168            -99            -99            -99            -99            -99        1.49168        3.51124
             36        11.2668        5.40082        8.65732        6.37485        2.42177            -99            -99            -99        11.0206        16.6602
             38    5.89554e-09        4.01242     2.4259e-05        1.28636        2.27997        2.10742        1.97068       0.675523          3.954        5.63326
             44         2.9772        0.75808        1.43147    9.42765e-06    1.92617e-07    6.44124e-08      0.0618486     1.2724e-10        1.43281        3.38989
             48          7.133        1.34748    2.52812e-05    6.91183e-06            -99            -99            -99            -99     2.6209e-05        7.25916
             50        3.72024       0.195419        1.77638    1.76733e-05            -99            -99            -99            -99        1.77638        4.12722
             56       0.354846        2.44865            -99     1.5649e-05            -99            -99            -99            -99              0        2.73101
             64        3.85448        1.15124       0.424299        2.13551            -99            -99            -99            -99        2.17726        5.24738
             65         4.5808              0     3.9127e-05    1.25945e-05            -99            -99            -99            -99    4.11041e-05         4.5808
             91         6.4337       0.269238       0.714345    1.21458e-05            -99            -99            -99            -99       0.714345        6.47883
             95        3.29754              0       0.267141    1.38041e-05            -99            -99            -99            -99       0.267141        3.48064
            106        12.3502        6.22973         3.1063    0.000573529         3.1015        2.42818            -99       0.875614        5.09227          14.74
            107        9.39529        1.19433        4.26281        0.01419            -99            -99            -99            -99        4.26283         10.386
            112        9.62936        2.25895        2.26566        2.31321            -99            -99            -99            -99        3.23793        10.4073
            123        3.05406              0       0.515001    7.39657e-06            -99            -99            -99            -99       0.515001        3.20724
            126        10.4593        2.31956    3.67676e-05    1.19576e-05            -99            -99            -99            -99    3.86631e-05        10.7135
            127        27.9452        5.94949        9.64392         8.0004        8.74826          2.606            -99            -99        15.5027        38.7669
            130            -99        2.90682    2.03239e-05       0.977664        4.19528        4.23077        5.30303    1.55474e-10        8.03603              0
            132        4.69191              0      0.0304629    1.65444e-05            -99            -99            -99            -99      0.0304629        4.69201
            135        6.07706       0.487669        1.01687     1.3524e-05            -99            -99            -99            -99        1.01687        6.18082
            142        29.5322        1.81859        1.33066    1.13555e-05        2.42949       0.702237            -99    1.91547e-10        2.85766        29.7258
            145        24.4669        1.66525         4.7372        4.46689        1.22287            -99            -99            -99        6.62492        26.9554
            152        21.4135         1.3497        7.11941        4.21917        3.22461        1.40738            -99            -99        8.99256        23.2642
            158         24.066        3.77679        10.0251        7.79209        6.52676        2.84883            -99        1.67871        14.6544        28.8708
            162        30.7655        12.6906         71.665        29.6073        15.2584         4.7301        2.29677    2.01323e-10        79.2019        85.9099
            169        2.71257              0    2.77809e-05            -99            -99            -99            -99            -99    2.77809e-05        2.71257
            175        24.4519              2        2.38333        0.79318        3.81715        1.46968            -99            -99            4.8        25.2258
            179        29.7235       0.792886        2.14441        2.31457            -99            -99            -99            -99        3.15527        29.9169
            180        6.79634        1.62237              0       0.726328            -99            -99            -99            -99       0.726328        7.02495
            185        11.0721              0        3.07371        1.72513            -99            -99            -99            -99        3.52474        11.6196
            186        14.5059        1.65058        1.76755        1.87582            -99            -99            -99            -99        2.57739        14.8252
            207        4.42333       0.898593       0.518085       0.900951            -99            -99            -99            -99        1.03929         4.7481
            208        8.80705       0.985284        1.23842    1.49775e-05            -99            -99            -99            -99        1.23842         8.9481
            213        35.2749        17.5811        37.7024        15.6012        8.39423        2.34509         3.3285       0.833111        41.8641         57.498
            214        8.73607        1.55246        1.93043      0.0687681    3.54088e-05    2.28022e-08            -99       0.808946         2.0942        9.11673
            216        24.3421        1.44897        5.51874        3.40834       0.428166            -99            -99            -99        6.50051        25.2368
            217        22.1697        1.84276        1.83311         2.0531       0.879232        1.20885            -99         1.4245         3.4408        22.5714
            227        7.16267        1.06929    2.94313e-05        2.68378            -99            -99            -99            -99        2.68378        7.72333
            239          5.299       0.243177     4.2906e-05    2.06624e-05            -99            -99            -99        2.31787        2.31787        5.78888
            242        3.75512       0.462114     2.5748e-05    1.36119e-05            -99            -99            -99            -99    2.91246e-05        3.78345
            245        7.20111        1.52717       0.342427        2.94595            -99            -99            -99            -99        2.96579        7.93626
            247        4.35849        0.32536      4.844e-05            -99            -99            -99            -99            -99      4.844e-05        4.37062
            248        6.29877       0.943223        2.25716        2.00982            -99            -99            -99            -99        3.02228        7.04971
            254         2.3142        3.92739    3.84871e-05    1.03022e-05            -99            -99            -99            -99    3.98421e-05         4.5585
            255        33.0009        178.514        8.70735         6.6444              0            -99            -99            -99        10.9529        183.345
            256        36.1516        9.45649        6.67135        8.74783        4.73272        2.12592        4.61788        1.14938        13.0612         40.333
            257        30.7873        8.85586        12.7078        9.41882        5.97503        2.55228            -99    2.21391e-10        17.1002        36.3139
            262        15.6237              0      0.0650658        1.84178            -99            -99            -99            -99        1.84293        16.8827
            264        12.5749        2.34371        3.29438      0.0742612         2.3308            -99            -99            -99        4.03622        13.4131
            270        5.29116        1.99438        1.09143    9.65744e-06            -99            -99            -99            -99        1.09143        5.75892
            277         3.1802        2.55805        1.27822       0.143895        1.23542        1.22894            -99            -99         2.1659        4.62044
            288        18.4009         2.0213        4.35654       0.492959            -99            -99            -99            -99        4.38434        19.3332
            289        7.68057        2.70309        2.33626       0.873288        4.59629        2.12324       0.697122    2.19249e-10         5.6869        9.95866
            309        1.60189         3.0799    2.29503e-05    9.10559e-06       0.429279         1.0726       0.421992    1.83305e-10        1.22997        3.68302
            314        13.4297       0.636364     3.1873e-05        1.83891            -99            -99            -99            -99        1.83891        13.5699
            316        6.74525              0    3.47325e-05        1.68702            -99            -99            -99            -99        1.68702        6.98325
            317          19.27        1.58806        4.47474        2.08949            -99            -99            -99            -99        4.93855        21.6443
            330        4.23846        2.57138      0.0447989         1.4344       0.482899            -99            -99            -99        1.51416        5.18355
            337        4.89508              0       0.424943    2.15588e-05            -99            -99            -99            -99       0.424943        5.55947
            339        7.39304       0.670003      0.0132122       0.656202            -99            -99            -99            -99       0.656335         7.4523
            340        7.19074       0.361905       0.606383        2.33902            -99            -99            -99            -99        2.41634        7.89339
            343        20.8278        1.26456        1.44805        2.09792            -99            -99            -99            -99        2.54914        21.6596
            356        25.4218        2.89042        5.86218          4.374       0.827306    6.67663e-08            -99            -99         7.3608        26.9281
            365        6.18372       0.235762       0.209043        1.11559            -99            -99            -99            -99        1.13501        6.74688
            368        4.46328       0.412869    3.16453e-05    1.08996e-05            -99            -99            -99            -99    3.34698e-05        4.56776
            371      0.0325006        3.10287    3.38503e-05       0.551618        1.34863       0.441145    8.26944e-08       0.832691        1.73525        3.55527
            374         34.825        2.25956        6.59242        6.57178        3.99374        1.24949            -99            -99        10.2059          36.36
            375        19.9377        1.76115        3.51815        4.17659        2.04308            -99            -99            -99        5.83056        22.1555
            376        25.8486        7.86842         2.4358         3.9234        5.20191        4.33982        2.07508       0.629038        8.48067        28.3193
            379        5.15721              0    5.13643e-05    1.41097e-05       0.791888    6.13257e-08       0.274616    2.07198e-10       0.838153        5.22488
            381        8.80374        1.06265        1.39092       0.611954        1.91092        1.76879       0.159399        0.56044        3.07065        9.38424
            385        22.3498        6.43336        3.91008        3.48495        7.13076        5.05912        2.63442        1.43466        10.6242        25.5726
            390        3.55089              0    2.58098e-05    8.40596e-06            -99            -99            -99            -99    2.71441e-05        3.68788
            391        4.04664              0       0.311524            -99            -99            -99            -99            -99       0.311524        4.05861
            394        13.1586        0.88199         1.6332        2.21775            -99            -99            -99            -99        2.75422        13.4726
            398        10.3883          0.515       0.193593     3.0308e-05            -99            -99            -99            -99       0.193593        10.4029
            399        10.5561         3.4143        2.27436        1.92159        1.30027        1.43152    5.06854e-08    3.16399e-10        3.55037        11.6494
            401        10.1607       0.137633    4.17753e-05       0.848789            -99            -99            -99            -99       0.848789        10.5458
            407        23.2223        11.5833        15.8495        9.22882        8.75512        5.26722      0.0432375        1.12845         21.025        43.1309
            409        13.4216        3.83305        1.51964        1.56145            -99            -99            -99            -99        2.17886        14.5025
            413        8.68211       0.795616        1.15222        3.13157        1.25788            -99            -99            -99        3.56603        9.69644
            414        4.70324        1.07131        2.30037       0.348873            -99            -99            -99            -99        2.32668        5.35552
            416        5.36385        0.47872        0.49384        1.52775            -99            -99            -99            -99        1.60559        5.61943
            418        3.67649       0.757662        2.58569       0.991168            -99            -99            -99            -99        2.76915        6.88911
            421        4.07807              0    3.14931e-05       0.283811            -99            -99            -99            -99       0.283811        4.13894
            428        5.36515       0.495822    3.83304e-05        1.91358            -99            -99            -99            -99        1.91358        5.71774
            429         6.2362       0.214765        2.41674      1.655e-05            -99            -99            -99            -99        2.41674        6.69156
            430        7.28095        1.30607        2.14401       0.491094            -99            -99            -99            -99        2.19953         8.0662
            431        9.50497        3.52429        2.26903        1.20412            -99            -99            -99            -99        2.56874        12.2647
            432        6.89937       0.338805        2.43712       0.314668            -99            -99            -99            -99        2.45735        7.44957
            433        4.14567              0        1.43028       0.646557            -99            -99            -99    2.70648e-10        1.56963        4.43287
            437        6.08162          1.796        2.49375        1.68454            -99            -99            -99        2.13293        3.68861        7.33604
            438        29.2297        7.63889         19.966        10.9038       0.766513       0.878836            -99            -99        22.7792        38.7252
            439        26.1933       0.467323     3.2661e-05       0.912971            -99            -99            -99            -99       0.912971        26.2133
            442        8.85186         3.1661        6.24288        9.58978        2.00355        1.39789            -99            -99        11.7007        15.0095
            449        29.6854        1.79926        10.8424        11.1028         3.5875        1.60142            -99            -99        16.0083        37.6597
            450        5.74923       0.834453         2.7532       0.911791        1.13116    5.17364e-08       0.466096    3.06607e-10        3.14773        6.68143
            451         6.0005              0              0        1.38822            -99            -99            -99            -99        1.38822        6.67648
            468        3.17935       0.651031       0.815844      0.0301025    1.38319e-07        1.10624       0.374196        1.60307         2.1448        3.89002
            481        19.2556        1.88508        3.20848        1.88335            -99            -99            -99            -99         3.7204        19.7021
            482         10.034        1.36308    3.31572e-05    1.61472e-05            -99            -99            -99            -99    3.68799e-05        10.1262
            490        6.54451        2.85475     4.4715e-05    1.04714e-05            -99            -99            -99            -99    4.59247e-05        7.98568
            498        9.11048        3.49479        0.90807        1.81676        3.93619       0.961305       0.428282        1.18646        4.70468        10.8824
            501        5.28633       0.235488        1.86645        2.65756     7.8652e-08            -99            -99            -99         3.2475        6.20966
            502        8.52721        1.91473    5.00332e-05    2.57464e-05            -99            -99            -99            -99     5.6269e-05        8.73954
            503        8.77818        1.20791    4.62957e-05    1.67256e-05            -99            -99            -99            -99    4.92244e-05        8.88069
            505        6.89717        2.11772    4.73139e-05    1.30776e-05            -99            -99            -99            -99    4.90879e-05        7.25389
            506        6.35432      0.0310641         2.1665    2.66885e-05            -99            -99            -99            -99         2.1665        6.71942
            509        16.1845        2.18388         1.3034       0.698207            -99            -99            -99            -99        1.47863         16.398
            510        27.7498        11.4688        18.1294        13.2588        4.19725         1.5607            -99            -99        22.9025        37.7638
            512         16.412       0.876526        3.22765        1.22469            -99            -99            -99            -99        3.45219        18.5587
            516        1.64664        7.88231    4.02674e-05       0.302851        1.81555        0.48496        1.25205       0.696996        2.38255        8.39755
            521        15.5785        1.86398        1.02872        1.28739            -99            -99            -99            -99        1.64792         17.082
            530        16.2333       0.404986        2.57633        2.84835            -99            -99            -99            -99        3.84065        17.7286
            532        31.8381        7.41176        12.6124        15.6697        6.98573        1.60934            -99            -99        21.3542        44.4588
            533         6.9792         0.2939        1.48955        1.26649            -99            -99            -99            -99        1.95519        7.26252
            540        11.2858        1.27444        1.67634        1.00923       0.943468            -99            -99            -99        2.17228        11.5634
            541        14.5737        3.95683        6.23105        8.92308        2.02525            -99            -99            -99        11.0702        19.5844
            546        22.1386        7.18421        4.35387        5.57465        1.54519         1.1637        1.14369       0.666878        7.45167        24.4388
            547         23.282        7.35294        7.63653        7.02653        3.08225        1.20636       0.866438        1.10075        10.9821        26.7717
            548        19.1289        9.82857        5.71388        4.78013        4.70554        1.62097       0.376942    2.50529e-10        8.96715        23.6556
            550        3.76095       0.886595    3.62979e-05     1.7774e-05            -99            -99            -99            -99     4.0416e-05        3.86404
            552        33.8508        4.72802        11.3103        6.83314        3.15193         0.7369            -99            -99        13.6048        40.1453
            554        25.1753        1.84854        2.73593        5.21639    6.54364e-08            -99            -99            -99        5.89033        25.9212
            559        24.0876          7.175        5.24796        8.30659        2.42075        1.03472            -99            -99        10.1721        27.1139
            561        10.0042       0.936008       0.404442      1.475e-05            -99            -99            -99            -99       0.404442        10.1288
            562        9.13395       0.921844        3.35178        0.96788       0.920292            -99            -99            -99        3.60807        9.86392
            564        13.1644        5.64516        2.40209        10.8012        9.11245        5.94229        6.32933        10.9569        20.0224        24.6935
            581        6.26938        1.11542    4.90874e-05        1.20392            -99            -99            -99            -99        1.20392        6.68452
            593        24.3352        6.24637        1.83286        5.77096        1.98806       0.510695            -99        0.69652         6.4313        26.0844
            597        2.05839        2.81056       0.803914    2.83614e-05            -99            -99            -99            -99       0.803914        3.57526
            598        16.6529        5.03689        6.32704        4.39153        1.92873        1.26674            -99            -99           8.04        22.8557
            604        6.39936        2.82475    2.12759e-06          0.164            -99            -99            -99            -99          0.164          6.997
            606        4.75411        0.76575     3.8088e-05    1.42054e-05            -99            -99            -99            -99    4.06508e-05        7.98612
            620        24.2493        2.76181        3.78689        6.67204       0.500252            -99            -99            -99         7.6881        25.9415
            621        21.5181        5.44097        5.94295        5.63652        2.24633         1.7524            -99        0.52476          8.688        23.8352
            622        5.78583        1.26897        1.96145    1.98403e-05            -99            -99            -99            -99        1.96145        6.35706
            628        10.8055       0.741869    4.71214e-05        2.94185            -99            -99            -99            -99        2.94185        12.5143
            631        16.9991        4.21516        2.34951        1.57143        2.28606            -99            -99            -99        3.63533        17.8917
            637        22.2731         2.9977        3.79801        3.57135        2.31571            -99            -99            -99        5.70455        23.1866
