#           _id      dis_to_MS        flag_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent       Mstar_Chabrier
#
              6      0.0960387             MS      3.282e+11    2.63087e+11          32.82              1.4201              10.642
             18     0.00134945             MS      7.349e+10     7.3262e+10          7.349            0.864879             9.95195
             35            -99        unknown        6.4e+09            -99           0.64                 -99                 -99
             36       0.588215             MS      4.312e+10    1.11292e+10          4.312           0.0464638             9.51195
             38        1.23388             SB      4.706e+12    2.74644e+11          470.6             1.43877             9.76195
             44       0.924074             SB      3.694e+12     4.3997e+11          369.4             1.64342              10.012
             48      -0.343676             MS       3.84e+11    8.47241e+11           38.4             1.92801              10.652
             50      -0.118171             MS      1.719e+11    2.25656e+11          17.19             1.35345              10.312
             56       -0.39115             MS      1.506e+11    3.70659e+11          15.06             1.56897              10.152
             64      0.0740031             MS      1.345e+11    1.13428e+11          13.45             1.05472             9.95195
             65      -0.378693             MS      1.724e+11    4.12316e+11          17.24             1.61523              10.322
             91      -0.177424             MS      6.169e+09    9.28195e+09         0.6169           -0.032361             9.31195
             95      -0.407608             MS      8.265e+10    2.11276e+11          8.265             1.32485             9.92195
            106       0.311879             MS      1.085e+12    5.29116e+11          108.5             1.72355              10.482
            107       0.120632             MS      3.002e+10    2.27394e+10          3.002            0.356779             9.64195
            112      0.0205313             MS      1.126e+11    1.07401e+11          11.26             1.03101              10.142
            123       0.860014             SB      4.768e+11    6.58146e+10          47.68            0.818322             9.13195
            126      -0.456851             MS      1.696e+11    4.85598e+11          16.96             1.68628              10.722
            127      -0.546481             MS      1.047e+11    3.68491e+11          10.47             1.56643              11.212
            130       0.788295             SB      9.165e+12    1.49223e+12          916.5             2.17384              10.672
            132       0.318399             MS      1.098e+11    5.27476e+10          10.98            0.722203             9.47195
            135       0.112624             MS      1.165e+11     8.9888e+10          11.65            0.953702             9.81195
            142       0.458183             MS      8.924e+11    3.10725e+11          89.24             1.49238              10.072
            145      -0.397046             MS      8.894e+09    2.21893e+10         0.8894            0.346143             9.97195
            152      -0.254391             MS      5.045e+10    9.06258e+10          5.045            0.957252              10.552
            158       0.494403             MS      1.534e+12    4.91385e+11          153.4             1.69142              10.512
            162       0.818562             SB      2.298e+12     3.4897e+11          229.8             1.54279              10.642
            169      -0.141763             MS      1.333e+11    1.84754e+11          13.33             1.26659             9.89195
            175       0.201926             MS      5.286e+11    3.32048e+11          52.86              1.5212              10.332
            179       0.278671             MS      5.281e+11       2.78e+11          52.81             1.44404              10.232
            180       -0.65258             MS      1.096e+11    4.92482e+11          10.96             1.69239              10.862
            185            -99        unknown      5.347e+11            -99          53.47                 -99                 -99
            186     -0.0836734             MS      1.447e+11    1.75445e+11          14.47             1.24414              10.262
            207       0.117263             MS      2.217e+11     1.6924e+11          22.17              1.2285             9.87195
            208     0.00821675             MS      1.697e+11    1.66519e+11          16.97             1.22147             9.92195
            213       0.552275             MS       3.04e+11    8.52312e+10           30.4            0.930599              10.482
            214      -0.111141             MS      9.948e+11    1.28492e+12          99.48             2.10888              10.762
            216       0.364284             MS      2.841e+09    1.22797e+09         0.2841           -0.910813             8.51195
            217      -0.494754             MS      1.401e+12    4.37716e+12          140.1             2.64119              11.452
            227       0.134398             MS      3.701e+10    2.71594e+10          3.701            0.433921             9.48195
            239       0.079733             MS      1.407e+12    1.17101e+12          140.7             2.06856              10.602
            242      -0.273773             MS      1.085e+11    2.03799e+11          10.85              1.3092              10.292
            245        0.17433             MS      2.892e+10    1.93583e+10          2.892            0.286868             9.45195
            247      -0.490794             MS      4.779e+07    1.47955e+08       0.004779            -1.82987             7.47995
            248      0.0872882             MS      1.427e+11    1.16717e+11          14.27             1.06714             9.97195
            254       0.443853             MS      1.717e+11    6.17898e+10          17.17            0.790917             9.54195
            255      -0.497423             MS      2.904e+11    9.12893e+11          29.04             1.96042              11.132
            256      -0.198348             MS      4.214e+12    6.65338e+12          421.4             2.82304              11.712
            257       0.662681             SB      2.183e+12    4.74649e+11          218.3             1.67637              10.282
            262       0.620042             SB      6.784e+09    1.62721e+09         0.6784           -0.788556             8.43995
            264       0.156506             MS      6.792e+11    4.73687e+11          67.92             1.67549              10.302
            270       0.390124             MS      1.534e+11    6.24744e+10          15.34            0.795702             9.61195
            277     -0.0129908             MS      2.568e+11    2.64598e+11          25.68             1.42259              10.022
            288      -0.247465             MS      1.293e+10    2.28593e+10          1.293            0.359063             9.87195
            289        0.45306             MS      3.842e+12    1.35362e+12          384.2              2.1315              10.722
            309            -99        unknown      3.987e+12            -99          398.7                 -99                 -99
            314            -99        unknown      6.662e+09            -99         0.6662                 -99                 -99
            316       -0.77303             MS      2.171e+11    1.28733e+12          21.71             2.10969              10.912
            317      -0.724695             MS      1.477e+10    7.83566e+10          1.477            0.894075              10.552
            330       0.439446             MS      5.922e+11    2.15289e+11          59.22             1.33302             9.86195
            337       0.341863             MS      4.474e+11    2.03626e+11          44.74             1.30883             9.68995
            339      -0.294531             MS      2.654e+10    5.22916e+10          2.654            0.718432             9.80195
            340     -0.0326543             MS      1.171e+11    1.26244e+11          11.71             1.10121             9.97195
            343     -0.0889899             MS      6.701e+10    8.22488e+10          6.701            0.915129              10.122
            356       0.806837             SB      2.676e+11    4.17493e+10          26.76            0.620649             9.47995
            365       0.065833             MS      5.935e+10    5.10021e+10          5.935            0.707588             9.63995
            368       0.254657             MS      2.138e+10    1.18946e+10          2.138           0.0753505             9.16195
            371            -99        unknown      3.238e+09            -99         0.3238                 -99                 -99
            374      -0.123758             MS      1.099e+11    1.46135e+11          10.99             1.16476              10.492
            375     -0.0524846             MS      2.638e+11    2.97687e+11          26.38             1.47376              10.552
            376       0.187353             MS      4.386e+12    2.84915e+12          438.6             2.45472              11.172
            379        1.07648             SB      5.284e+12    4.43082e+11          528.4             1.64648             9.99195
            381      -0.421997             MS      3.634e+12    9.60244e+12          363.4             2.98238              11.712
            385       0.492059             MS       2.72e+12    8.76012e+11            272             1.94251              10.582
            390      -0.258933             MS      4.777e+10    8.67138e+10          4.777            0.938088             9.47995
            391      -0.169133             MS      1.923e+11    2.83865e+11          19.23             1.45311              10.032
            394            -99        unknown      1.531e+11            -99          15.31                 -99                 -99
            398      -0.200092             MS      1.468e+10    2.32712e+10          1.468            0.366818             9.30195
            399        0.21901             MS      1.252e+12    7.56126e+11          125.2             1.87859              10.432
            401       0.481318             MS      9.316e+10    3.07547e+10          9.316            0.487911             9.30995
            407       0.433054             MS      1.888e+12    6.96543e+11          188.8             1.84295              10.862
            409      0.0629722             MS      3.503e+10    3.03018e+10          3.503            0.481468             9.72995
            413      0.0230599             MS       2.15e+10    2.03882e+10           2.15            0.309379             9.58195
            414      -0.210769             MS      1.086e+11    1.76441e+11          10.86              1.2466              10.332
            416       0.688496             SB      8.054e+09    1.65012e+09         0.8054           -0.782484             8.40195
            418      -0.348805             MS      1.054e+11    2.35313e+11          10.54             1.37165              10.402
            421       0.254835             MS      8.758e+10    4.87046e+10          8.758             0.68757             9.56995
            428       0.328571             MS      8.414e+10    3.94849e+10          8.414            0.596431             9.42195
            429      0.0383376             MS      6.137e+10    5.61848e+10          6.137            0.749619             9.71195
            430     -0.0950366             MS      7.271e+10    9.04963e+10          7.271            0.956631             9.90195
            431      0.0916645             MS      2.642e+10    2.13928e+10          2.642            0.330268             9.55995
            432       0.366687             MS      3.098e+10    1.33166e+10          3.098            0.124395             9.23995
            433            -99        unknown      5.723e+11            -99          57.23                 -99                 -99
            437      -0.181443             MS      1.393e+12    2.11541e+12          139.3             2.32539              10.962
            438       0.616128             SB      6.045e+11    1.46308e+11          60.45             1.16527              10.182
            439      -0.424953             MS      2.512e+11    6.68301e+11          25.12             1.82497              10.802
            442       0.098724             MS      4.184e+11    3.33325e+11          41.84             1.52287              10.672
            449      -0.593055             MS      7.746e+09    3.03482e+10         0.7746            0.482133              10.242
            450       0.852795             SB      5.071e+12    7.11702e+11          507.1              1.8523              10.252
            451      -0.204109             MS      2.847e+10    4.55509e+10          2.847            0.658497             9.68995
            468       0.629291             SB      5.853e+12    1.37432e+12          585.3             2.13809              10.612
            481       0.766991             SB      1.127e+09    1.92723e+08         0.1127            -1.71507             7.47195
            482      0.0581714             MS      2.933e+11    2.56531e+11          29.33             1.40914             9.99195
            490       0.280497             MS      7.056e+10    3.69881e+10          7.056            0.568062             9.50195
            498       0.820164             SB      5.507e+12    8.33204e+11          550.7             1.92075              10.352
            501       0.348578             MS      5.854e+11    2.62346e+11          58.54             1.41887             9.96195
            502     -0.0838604             MS       2.62e+11    3.17806e+11           26.2             1.50216              10.082
            503      -0.267216             MS      2.133e+11    3.94645e+11          21.33             1.59621              10.232
            505       0.601166             MS       6.05e+11    1.51562e+11           60.5             1.18059             9.56195
            506            -99        unknown      2.833e+11            -99          28.33                 -99                 -99
            509     -0.0868056             MS      1.213e+10    1.48138e+10          1.213            0.170666             9.57195
            510       0.197509             MS      1.952e+11    1.23871e+11          19.52             1.09297              10.522
            512       0.754361             SB      1.048e+11    1.84502e+10          10.48            0.266001             9.14995
            516            -99        unknown      8.163e+12            -99          816.3                 -99                 -99
            521     -0.0128655             MS       9.59e+10    9.87834e+10           9.59            0.994684              10.102
            530      -0.207786             MS      3.169e+10    5.11338e+10          3.169            0.708708              10.072
            532       0.384646             MS      4.228e+11    1.74377e+11          42.28             1.24149              10.462
            533      -0.939186             MS      4.404e+10    3.82854e+11          4.404             1.58303              10.852
            540      -0.121831             MS      5.774e+11    7.64378e+11          57.74             1.88331              10.622
            541      -0.380239             MS      1.206e+11    2.89458e+11          12.06             1.46159              10.882
            546       0.305729             MS      4.602e+12    2.27624e+12          460.2             2.35722              11.012
            547       0.575919             MS      4.337e+12    1.15152e+12          433.7             2.06127              10.722
            548      -0.288284             MS       1.11e+12    2.15579e+12            111             2.33361              11.352
            550        1.02742             SB      7.701e+10    7.22979e+09          7.701           -0.140874             8.52195
            552       0.058456             MS      4.461e+10    3.89921e+10          4.461            0.590976              10.052
            554       0.206673             MS      4.739e+10    2.94452e+10          4.739            0.469014             9.73195
            559      0.0646046             MS      5.645e+11    4.86474e+11          56.45             1.68706              10.822
            561       0.008806             MS      1.472e+11    1.44245e+11          14.72              1.1591              10.072
            562      -0.216651             MS      7.662e+11    1.26181e+12          76.62             2.10099              10.712
            564       0.613463             SB      1.749e+13    4.25919e+12           1749             2.62933              11.252
            581       0.296517             MS      9.252e+10    4.67432e+10          9.252            0.669719             9.50195
            593       0.405932             MS      7.012e+11    2.75366e+11          70.12             1.43991              10.392
            597       0.474261             MS      4.143e+11    1.39013e+11          41.43             1.14305             9.65195
            598     -0.0068327             MS      3.426e+11    3.48033e+11          34.26             1.54162              10.572
            604       0.115306             MS      3.876e+10     2.9722e+10          3.876            0.473078             9.83195
            606      -0.122382             MS      5.353e+10    7.09543e+10          5.353            0.850979             9.94195
            620       0.113046             MS      8.135e+10    6.27064e+10          8.135            0.797312              10.042
            621       0.305866             MS      2.112e+12    1.04431e+12          211.2             2.01883              10.702
            622      -0.117908             MS      1.279e+11    1.67795e+11          12.79             1.22478              10.192
            628      0.0481514             MS      9.087e+10    8.13334e+10          9.087            0.910269             9.84195
            631       0.713413             SB      3.349e+11    6.47891e+10          33.49            0.811502             9.63195
            637      -0.322311             MS      2.971e+10    6.24042e+10          2.971            0.795214              10.312
            638     -0.0551255             MS      2.055e+11    2.33312e+11          20.55             1.36794              10.842
            652       0.198541             MS      3.899e+11    2.46838e+11          38.99             1.39241              10.162
            658       0.502111             MS      7.698e+12    2.42252e+12          769.8             2.38427              10.942
            659       0.115946             MS      7.579e+12    5.80318e+12          757.9             2.76367              11.422
            661       0.248344             MS      6.794e+10    3.83514e+10          6.794            0.583781             9.36195
            664       0.070737             MS      2.915e+11    2.47686e+11          29.15              1.3939             9.94195
            669       0.502274             MS       4.57e+11    1.43761e+11           45.7             1.15764              10.232
            672       -1.02364             MS      4.632e+10    4.89114e+11          4.632             1.68941              11.052
            689     -0.0109395             MS      3.319e+10    3.40366e+10          3.319            0.531947             9.78195
